,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,167833.8,False,False
1,,['TOTAL DEBITS'],,,1115538.81,False,False
2,,['TOTAL CREDITS'],,,1646873.44,False,False
3,,['CLOSING BALANCE'],,,699168.43,False,False
4,,['Balance b/f'],,,167833.8,False,False
5,01/11,"['LOCAL CHEQUE DEPOSIT, , 446212,']",4579.2,Credit,172413.0,False,False
6,01/11,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'BENUM HILL MARKETING, BENUM HILL', 'MARKETING, PV2019-1063']",2211.0,Credit,174624.0,False,False
7,01/11,"['INWARD IBG, ZUELLIG PHARMA SDN BHD-', 'SWP, IBG TRANSACTION, IBG TRANSACTION']",294.0,Credit,174918.0,False,False
8,01/11,"['CASH DEPOSIT, , ,']",7015.0,Credit,181933.0,False,False
9,01/11,"['CMS INTER ACC DR TRF /MISC DEBIT, SYUEN', 'WOH, CMS19305017530, 989114TAAA787']",20000.0,Debit,161933.0,False,False
10,01/11,"['INWARD IBG, ARYZTA FOOD SOLUTIONS (M)', 'S/B, INV I-007562,I007642, I-007657']",198.0,Credit,162131.0,False,False
11,02/11,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'LEE ENG SENG, freestyle success sb,', 'INSTANT TRANSFER']",95.0,Credit,162226.0,False,False
12,03/11,"['CDM CASH DEPOSIT, , ,']",380.0,Credit,162606.0,False,False
13,03/11,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'MUSCHELN ENGINEERING & SER, Dry Ice, to', 'Melaka']",190.0,Credit,162796.0,False,False
14,04/11,"['CMS GIRO DEBIT /MISC DEBIT, AZLAN-', ""SALARY OCT'19, CMS19308023131, 989114"", 'TAAA800']",3310.93,Debit,159485.07,False,False
15,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT, FAEEZ,', 'CMS19308023192, 989114TAAA798']",2774.6,Debit,156710.47,False,False
16,04/11,"['CMS GIRO DEBIT /MISC DEBIT, SHAZWAN-', ""SALARY OCT'19, CMS19308023174, 989114"", 'TAAA794']",2558.54,Debit,154151.93,False,False
17,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'AZEEM, CMS19308023218, 989114TAAA799']",1248.94,Debit,152902.99,False,False
18,04/11,"['CMS GIRO DEBIT /MISC DEBIT, FARID-', ""SALARY OCT'19, CMS19308023231, 989114"", 'TAAA796']",1586.39,Debit,151316.6,False,False
19,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'MARTINOS, CMS19308023186, 989114', 'TAAA804']",2289.45,Debit,149027.15,False,False
20,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT, IMAN,', 'CMS19308023194, 989114TAAA789']",1523.03,Debit,147504.12,False,False
21,04/11,"['CMS GIRO DEBIT /MISC DEBIT, FAIS-SALARY', ""OCT'19, CMS19308023227, 989114TAAA790""]",1739.59,Debit,145764.53,False,False
22,04/11,"['CMS GIRO DEBIT /MISC DEBIT, SHAHDAN-', ""SALARY OCT'19, CMS19308023221, 989114"", 'TAAA797']",1509.9,Debit,144254.63,False,False
23,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'SYAFIQ, CMS19308023241, 989114TAAA805']",707.71,Debit,143546.92,False,False
24,04/11,"['CMS GIRO DEBIT /MISC DEBIT, FAZLI-SALARY', ""OCT'19, CMS19308023237, 989114TAAA807""]",905.29,Debit,142641.63,False,False
25,04/11,"['CMS INTER ACC DR TRF /MISC DEBIT, JAFRI,', 'CMS19308023244, 989114TAAA806']",707.71,Debit,141933.92,False,False
26,04/11,"['CMS GIRO DEBIT /MISC DEBIT, ZEN HER-', 'PAYMENT, CMS19308023931, 989114', 'TAAA813']",130000.0,Debit,11933.92,False,False
