,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,480844.85,False,False
1,,['TOTAL DEBITS'],,,1250531.9,False,False
2,,['TOTAL CREDITS'],,,819132.28,False,False
3,,['CLOSING BALANCE'],,,49445.23,False,False
4,,['Balance b/f'],,,480844.85,False,False
5,01/01,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'TAI YIK SONG, PAYMENT, INSTANT', 'TRANSFER']",2158.0,Credit,483002.85,False,False
6,01/01,"['CASH DEPOSIT CRM /CDM CASH DEPOSIT, , ,']",2170.0,Credit,485172.85,False,False
7,01/01,"['CASH DEPOSIT CRM /CDM CASH DEPOSIT, , ,']",100.0,Credit,485272.85,False,False
8,02/01,"['CMS GIRO DEBIT /MISC DEBIT, LIM POH KAIM-', 'EXCLUSIVE ICON SDN BHD EI27122019,', 'CMS20002004608, 989114TAAA907']",2030.0,Debit,483242.85,False,False
9,02/01,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'MISOLAR GREATWAY ENTERPRIS, Payment', 'Bal August, Dry Ice']",1690.7,Credit,484933.55,False,False
10,02/01,"['CMS INTER ACC TRF /MISC CREDIT, AG', 'MULTI RESOURCES SDN BHD,', 'CMS20002011088, 1094175DAAA154']",300.0,Credit,485233.55,False,False
11,02/01,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'TYF DURIAN LICIOUS TRADI, Tyf, INSTANT', 'TRANSFER']",350.0,Credit,485583.55,False,False
12,02/01,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS20002027790, 989114TAAA908']",469.9,Debit,485113.65,False,False
13,02/01,"['DuitNow CR TRF /MISC CREDIT, QUINN KYRIE', 'ICE CREAM HO, Muar slab dry ice, Slab dry ice']",65.0,Credit,485178.65,False,False
14,03/01,"['CHEQUE ENCASHMENT, , ,']",12000.0,Debit,473178.65,False,False
15,03/01,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,473178.15,False,False
16,03/01,"['INWARD IBG, POISON APPLE SDN BHD,', 'OCT19 N NOV19 INV, OCT19 N NOV19 INV']",585.0,Credit,473763.15,False,False
17,03/01,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'CHU SOK YEE, Dryice, Dryice']",6036.0,Credit,479799.15,False,False
18,03/01,"['CASH DEPOSIT, , ,']",11179.4,Credit,490978.55,False,False
19,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'CHONG SHIN YEI, CMS20003014895, 989114', 'TAAA910']",2357.85,Debit,488620.7,False,False
20,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT, ZITA,', 'CMS20003014913, 989114TAAA911']",2307.85,Debit,486312.85,False,False
21,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS20003014928, 989114TAAA912']",5940.95,Debit,480371.9,False,False
22,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'MARTINOS, CMS20003014884, 989114', 'TAAA909']",2977.45,Debit,477394.45,False,False
23,03/01,"['CMS GIRO DEBIT /MISC DEBIT, AZLAN,', 'CMS20003014934, 989114TAAA913']",3285.93,Debit,474108.52,False,False
24,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'AZEEM, CMS20003014942, 989114TAAA915']",1759.5,Debit,472349.02,False,False
25,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT, FAEEZ,', 'CMS20003014963, 989114TAAA916']",2380.97,Debit,469968.05,False,False
26,03/01,"['CMS GIRO DEBIT /MISC DEBIT, AMALINA,', 'CMS20003015146, 989114TAAA918']",1353.21,Debit,468614.84,False,False
27,03/01,"['CMS GIRO DEBIT /MISC DEBIT, FARID,', 'CMS20003015137, 989114TAAA917']",1770.64,Debit,466844.2,False,False
28,03/01,"['CMS GIRO DEBIT /MISC DEBIT, SHAZWAN,', 'CMS20003015252, 989114TAAA919']",2164.16,Debit,464680.04,False,False
29,03/01,"['CMS GIRO DEBIT /MISC DEBIT, FAIS,', 'CMS20003015381, 989114TAAA921']",3040.05,Debit,461639.99,False,False
30,03/01,"['CMS GIRO DEBIT /MISC DEBIT, FAZLI,', 'CMS20003015375, 989114TAAA920']",2861.19,Debit,458778.8,False,False
31,03/01,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'SUNDAR, CMS20003015388, 989114TAAA922']",3196.53,Debit,455582.27,False,False
