,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,699168.43,False,False
1,,['TOTAL DEBITS'],,,1043039.1,False,False
2,,['TOTAL CREDITS'],,,824715.52,False,False
3,,['CLOSING BALANCE'],,,480844.85,False,False
4,,['Balance b/f'],,,699168.43,False,False
5,01/12,"['CASH DEPOSIT CRM /CDM CASH DEPOSIT, , ,']",2050.0,Credit,701218.43,False,False
6,02/12,"['INWARD IBG, MALINDO AIRWAYS SDN BHD,', 'IFS,']",74941.5,Credit,776159.93,False,False
7,02/12,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS19336004936, 989114TAAA838']",1567.6,Debit,774592.33,False,False
8,02/12,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'AHMAD FARHAN BIN MAS, Dry ice,']",48.0,Credit,774640.33,False,False
9,02/12,"['DuitNow CR TRF /MISC CREDIT, EMILY JANE', 'GALLOWAY, EmilyGalloway, British', 'International School']",95.0,Credit,774735.33,False,False
10,02/12,"['INW AMI CHQ /CHQ PRESENTED, , 661611,']",16418.2,Debit,758317.13,False,False
11,02/12,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,758316.63,False,False
12,03/12,"['DuitNow CR TRF /MISC CREDIT, LT PIPE &', 'FITTING SD, Transfer From LT PIPE, PAYMENT', 'ACC']",485.1,Credit,758801.73,False,False
13,03/12,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 854509,']",1045.0,Credit,759846.73,False,False
14,03/12,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 854473,']",1430.0,Credit,761276.73,False,False
15,03/12,"['DuitNow CR TRF /MISC CREDIT, TANG YIT', 'FAN, Fund transfer,']",4029.3,Credit,765306.03,False,False
16,03/12,"['INW AMI CHQ /CHQ PRESENTED, , 661557,']",6500.0,Debit,758806.03,False,False
17,03/12,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,758805.53,False,False
18,04/12,"['CMS JomPAY Debit /MISC DEBIT, TENAGA', 'NASIONAL BERHAD-210082247308,', 'CMS19338003277, 6C43GGC8']",3281.28,Debit,755524.25,False,False
19,04/12,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'ORIPLUS MAKANAN TRADISI, exclusive icon,', 'INSTANT TRANSFER']",660.0,Credit,756184.25,False,False
20,04/12,"['INWARD IBG, FREESTYLE SUCCESS SDN.', 'BH, FREESTYLE STYLE SB, PRIVATE', 'TRANSACTION']",150.0,Credit,756334.25,False,False
21,04/12,"['INWARD IBG, PERENNUS SDN BHD, INV CS', '004627 004628, 645 753 754 755 756']",455.0,Credit,756789.25,False,False
22,04/12,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000087,']",11324.5,Credit,768113.75,False,False
23,05/12,"['AUTO DEBIT /DEBIT TRANSFER, , AmBank,', 'Auto Debit']",18221.0,Debit,749892.75,False,False
24,05/12,"['AUTO DEBIT /DEBIT TRANSFER, , AmBank,', 'Auto Debit']",14012.0,Debit,735880.75,False,False
25,05/12,"['CMS GIRO DEBIT /MISC DEBIT, SHAZZWAN-', '1296 EXCLUSIVE ICON SDN BHD,', 'CMS19339008815, 989114TAAA840']",1878.0,Debit,734002.75,False,False
26,05/12,"['DuitNow CR TRF /MISC CREDIT, WONG MEI', 'SEAN, CS005147,']",95.0,Credit,734097.75,False,False
27,05/12,"['INWARD IBG, PPG COATINGS MALAYSIA SDN', 'BHD, REF-3813-0218911, CONTACT']",5220.8,Credit,739318.55,False,False
28,05/12,"['INWARD IBG, 3 JOURNEY CAFE, Nov19', 'Statement,']",334.4,Credit,739652.95,False,False
29,05/12,"['INWARD IBG, FREIGHT MARK ASIA (M) SDN', 'BHD, I009149,']",5070.0,Credit,744722.95,False,False
30,05/12,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 379917,']",11404.6,Credit,756127.55,False,False
31,06/12,"['INWARD IBG, JKLM CONCEPTS SDN. BHD.,', 'BEV PURCHASE OCT19, BEV PURCHASE', 'OCT19']",585.0,Credit,756712.55,False,False
32,06/12,"['CMS GIRO DEBIT /MISC DEBIT, TAN BEE', ""CHIN-NOV'19, CMS19340006497, 989114"", 'TAAA860']",6000.0,Debit,750712.55,False,False
33,06/12,"['CMS GIRO DEBIT /MISC DEBIT, LIU XIAOQIN-', ""NOV'19, CMS19340004308, 989114TAAA861""]",4838.35,Debit,745874.2,False,False
34,06/12,"['CMS GIRO DEBIT /MISC DEBIT, UNIVERSAL', 'TRUSTEE-INV/BNC/169592 EXCLUSIVE ICON', 'SDN BHD, CMS19340003903, 989114', 'TAAA866']",5300.0,Debit,740574.2,False,False
35,06/12,"['CMS GIRO DEBIT /MISC DEBIT, FONG KWEE', 'MIN-RENTAL DEC19, CMS19340003900,', '989114TAAA863']",5000.0,Debit,735574.2,False,False
36,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT, MIMI,', 'CMS19340006668, 989114TAAA858']",2357.85,Debit,733216.35,False,False
37,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'MARTINOS, CMS19340006681, 989114', 'TAAA857']",2289.45,Debit,730926.9,False,False
38,06/12,"['CMS GIRO DEBIT /MISC DEBIT, SHAZWAN-', ""NOV'19, CMS19340006685, 989114TAAA856""]",2730.15,Debit,728196.75,False,False
39,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT, ZITA,', 'CMS19340006693, 989114TAAA855']",1807.85,Debit,726388.9,False,False
40,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS19340006665, 989114TAAA859']",5940.95,Debit,720447.95,False,False
41,06/12,"[""CMS GIRO DEBIT /MISC DEBIT, FAZLI-NOV'19,"", 'CMS19340006694, 989114TAAA854']",2875.17,Debit,717572.78,False,False
42,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'SYAFIQ, CMS19340006697, 989114TAAA851']",987.7,Debit,716585.08,False,False
43,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT, JAFRI,', 'CMS19340006698, 989114TAAA853']",1165.57,Debit,715419.51,False,False
44,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'SUNDAR, CMS19340006703, 989114TAAA850']",2880.26,Debit,712539.25,False,False
45,06/12,"['CMS INTER ACC DR TRF /MISC DEBIT, FAEEZ,', 'CMS19340006719, 989114TAAA848']",2812.9,Debit,709726.35,False,False
46,06/12,"[""CMS GIRO DEBIT /MISC DEBIT, FAIS-NOV'19,"", 'CMS19340006710, 989114TAAA849']",2892.73,Debit,706833.62,False,False
