,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,732.07,False,False
1,,['TOTAL DEBITS'],,,1550605.37,False,False
2,,['TOTAL CREDITS'],,,1717707.1,False,False
3,,['CLOSING BALANCE'],,,167833.8,False,False
4,,['Balance b/f'],,,732.07,False,False
5,01/10,"['CMS INTER ACC TRF /MISC CREDIT, AG', 'MULTI RESOURCES SDN BHD,', 'CMS19274001077, 1094175DAAA107']",11000.0,Credit,11732.07,False,False
6,01/10,"['CMS INTER ACC TRF /MISC CREDIT, SYUEN', 'WOH CO2 (MALAYSIA) SDN BHD,', 'CMS19274009397, 729981UAAA298']",1000.0,Credit,12732.07,False,False
7,01/10,"['HOUSE CHEQUE PRESENTED, , 639584,']",400.0,Debit,12332.07,False,False
8,01/10,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,12331.57,False,False
9,01/10,"['Misc Fee /DEBIT TRANSFER, , ,']",25.0,Debit,12306.57,False,False
10,01/10,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'MISOLAR GREATWAY ENTERPRIS, July 2019,', 'Dry Ice']",1690.7,Credit,13997.27,False,False
11,01/10,"['INWARD IBG, ARYZTA FOOD SOLUTIONS (M)', ""S/B, JULY'19 INV, IBG TRANSACTION""]",462.0,Credit,14459.27,False,False
12,01/10,"['INW AMI CHQ /CHQ PRESENTED, , 639546,']",6459.5,Debit,7999.77,False,False
13,01/10,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,7999.27,False,False
14,02/10,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS19275017095, 989114TAAA720']",2500.0,Debit,5499.27,False,False
15,02/10,"['INWARD IBG, LT PIPE & FITTING SD, Transfer', 'From LT, 7/2019, 8/2019']",1670.9,Credit,7170.17,False,False
16,02/10,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000083,']",15097.3,Credit,22267.47,False,False
17,03/10,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'MOHAMMAD RIJALUDDIN, DRY ICE SEPT', '2019,']",715.0,Credit,22982.47,False,False
18,03/10,"['CDM CASH DEPOSIT, , ,']",1000.0,Credit,23982.47,False,False
19,03/10,"['CDM CASH DEPOSIT, , ,']",1070.0,Credit,25052.47,False,False
20,03/10,"['INWARD IBG, GASLINK INDUSTRIAL GASES, I-', '007929, I-007929']",2413.0,Credit,27465.47,False,False
21,03/10,"['INWARD IBG, TOKAI MARINE & TRADING SDN', 'BHD, TOKAI MARINE, BEBK100325873370']",4306.5,Credit,31771.97,False,False
22,03/10,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 854285,']",1210.0,Credit,32981.97,False,False
23,03/10,"['INWARD IBG, NANO LIFE QUEST SDN BHD,', 'AUG2019 INVOICES, NPV 1910 P021']",480.0,Credit,33461.97,False,False
24,03/10,"['INW AMI CHQ /CHQ PRESENTED, , 661567,']",2406.0,Debit,31055.97,False,False
25,03/10,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,31055.47,False,False
26,04/10,"['CMS INTER ACC DR TRF /MISC DEBIT, SYUEN', 'WOH, CMS19277011511, 989114TAAA737']",2000.0,Debit,29055.47,False,False
27,04/10,"['CMS GIRO DEBIT /MISC DEBIT, AZLAN-', ""SEPT'19, CMS19277012747, 989114TAAA729""]",2885.95,Debit,26169.52,False,False
28,04/10,"['CMS INTER ACC DR TRF /MISC DEBIT, FAEEZ,', 'CMS19277012748, 989114TAAA731']",2800.1,Debit,23369.42,False,False
29,04/10,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'AZEEM, CMS19277012750, 989114TAAA726']",1503.14,Debit,21866.28,False,False
