,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,29707.42,False,False
1,,['TOTAL DEBITS'],,,926229.88,False,False
2,,['TOTAL CREDITS'],,,897254.53,False,False
3,,['CLOSING BALANCE'],,,732.07,False,False
4,,['Balance b/f'],,,29707.42,False,False
5,01/09,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'WAN MEE CHAN, tc fruit, carmen tung']",1080.0,Credit,30787.42,False,False
6,01/09,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'TAN SUE YEE, BENJERRYS PYRAMID,']",130.0,Credit,30917.42,False,False
7,02/09,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'FAR EAST IMPORT-EXPORT (SE, RDANG)', 'SDN BHD201909, 3211 dry ic']",1045.0,Credit,31962.42,False,False
8,02/09,"['CDM CASH DEPOSIT, , ,']",900.0,Credit,32862.42,False,False
9,02/09,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'WILLIAM POH, william poh,']",495.0,Credit,33357.42,False,False
10,03/09,"['CMS JomPAY Debit /MISC DEBIT, TELEKOM', 'MALAYSIA BERHAD-1037813357,', 'CMS19243000382, 692NC7I1']",545.35,Debit,32812.07,False,False
11,03/09,"['CMS GIRO DEBIT /MISC DEBIT, AG MULTI', 'RESOURCES SDN-INSTALLMENT AG,', 'CMS19243000385, 989114TAAA650']",13089.0,Debit,19723.07,False,False
12,03/09,"['CMS GIRO DEBIT /MISC DEBIT, FACTORY', 'OUTLET-A-190847, CMS19243000386, 989114', 'TAAA649']",500.0,Debit,19223.07,False,False
13,03/09,"['CMS GIRO DEBIT /MISC DEBIT, AMFA', 'ADVANCE-UBAHSUAI LONGGANG,', 'CMS19243000384, 989114TAAA648']",2000.0,Debit,17223.07,False,False
14,03/09,"['INWARD IBG, AUSTRAL DAIRY GROUP', 'SDN.BHD., CS004246, PV19080059']",135.0,Credit,17358.07,False,False
15,03/09,"['CDM CASH DEPOSIT, , ,']",1330.0,Credit,18688.07,False,False
16,03/09,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'KU LAI MUN, Lee heng kok,']",1188.0,Credit,19876.07,False,False
17,03/09,"['CMS GIRO DEBIT /MISC DEBIT, YIP WEN', 'HARN-ALLEN RFAM, CMS19246026970,', '989114TAAA652']",1900.0,Debit,17976.07,False,False
18,03/09,"['CDM CASH DEPOSIT, , ,']",380.0,Credit,18356.07,False,False
19,03/09,"['INWARD IBG, THE INSIDE SCOOP SDN, I-', '007777, THE INSIDE SCOOP']",130.0,Credit,18486.07,False,False
20,03/09,"['INWARD IBG, NEO KIAN TEE, DRYICE', 'TTV2019, PRIVATE TRANSACTION']",285.0,Credit,18771.07,False,False
21,03/09,"['INW AMI CHQ /CHQ PRESENTED, , 639579,']",44211.42,Debit,25440.35,True,False
22,03/09,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,25440.85,True,False
23,03/09,"['INW AMI CHQ /CHQ PRESENTED, , 639545,']",6459.5,Debit,31900.35,True,False
24,03/09,"['CHEQUE PROCESSING FEE, , ,']",0.5,Debit,31900.85,True,False
25,04/09,"['CMS INTER ACC TRF /MISC CREDIT, SYUEN', 'WOH CO2 (MALAYSIA) SDN BHD,', 'CMS19247000384, 729981UAAA277']",32000.0,Credit,99.15,False,False
26,04/09,"['INWARD RENTAS /MISC CREDIT, GOLDEN', 'SCOOP SDN BHD A-16-1 TWR A NORTHPOINT', 'OFFICE MID VALLEY CITY 1 MEDAN SYD,', '2419090400000016, /ROC/NOT APPLICABLE']",161659.95,Credit,161759.1,False,False
27,04/09,"['INWARD RENTAS /MISC CREDIT, GOLDEN', 'SCOOP SDN BHD A-16-1 TWR A NORTHPOINT', 'OFFICE MID VALLEY CITY 1 MEDAN SYD,', '2419090400000080, /ROC/NOT APPLICABLE']",52324.15,Credit,214083.25,False,False
28,04/09,"['Misc Fee /DEBIT TRANSFER, , ,']",25.0,Debit,214058.25,False,False
29,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, AG', 'MULTI RESOURCES SDN, CMS19247019382,', '989114TAAA675']",13000.0,Debit,201058.25,False,False
30,04/09,"['CMS GIRO DEBIT /MISC DEBIT, FONG KWEE', ""MIN-RENTAL 23A AUGUST'19,"", 'CMS19247019397, 989114TAAA654']",5000.0,Debit,196058.25,False,False
31,04/09,"['CMS GIRO DEBIT /MISC DEBIT, NORA-', ""SALARY AUGUST'19, CMS19247019388,"", '989114TAAA653']",639.13,Debit,195419.12,False,False
32,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, ALEX', 'FAM, CMS19247019414, 989114TAAA657']",5934.95,Debit,189484.17,False,False
33,04/09,"['CMS GIRO DEBIT /MISC DEBIT, ALLIANCE', ""BANK-AUGUST'19, CMS19247019404, 989114"", 'TAAA655']",1544.79,Debit,187939.38,False,False
34,04/09,"['CMS GIRO DEBIT /MISC DEBIT, EXCLUSIVE', 'ICON SDN BHD-INTERNAL TRANSFER,', 'CMS19247019412, 989114TAAA656']",1000.0,Debit,186939.38,False,False
35,04/09,"['CMS GIRO DEBIT /MISC DEBIT, TAN BEE', ""CHIN-SALARY AUGUST'19, CMS19247019427,"", '989114TAAA660']",6000.0,Debit,180939.38,False,False
36,04/09,"['CMS GIRO DEBIT /MISC DEBIT, LIU XIAOQIN-', ""SALARY AUGUST'19, CMS19247019418,"", '989114TAAA658']",4838.3,Debit,176101.08,False,False
37,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, MIMI,', 'CMS19247019419, 989114TAAA659']",2357.85,Debit,173743.23,False,False
38,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, ZITA,', 'CMS19247019437, 989114TAAA661']",1807.85,Debit,171935.38,False,False
39,04/09,"['CMS GIRO DEBIT /MISC DEBIT, UNIVERSAL', ""TRUSTEE-EXCLUSIVE ICON S/D JULY'19,"", 'CMS19247019444, 989114TAAA662']",5700.0,Debit,166235.38,False,False
40,04/09,"['CMS GIRO DEBIT /MISC DEBIT, SHAHDAN-', ""SALARY AUGUST'19, CMS19247019457,"", '989114TAAA664']",2059.19,Debit,164176.19,False,False
41,04/09,"['CMS GIRO DEBIT /MISC DEBIT, AZLAN-', ""SALARY AUGUST'19, CMS19247019459,"", '989114TAAA665']",2578.32,Debit,161597.87,False,False
42,04/09,"['CMS GIRO DEBIT /MISC DEBIT, RITE TIME', 'OFFICE-EXCLUSIVE ICON S/B 00008702,', 'CMS19247019453, 989114TAAA663']",105.0,Debit,161492.87,False,False
43,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, FAEEZ,', 'CMS19247019460, 989114TAAA667']",3025.43,Debit,158467.44,False,False
44,04/09,"['CMS GIRO DEBIT /MISC DEBIT, FARID-', ""SALARY AUGUST'19, CMS19247019474,"", '989114TAAA670']",1929.34,Debit,156538.1,False,False
45,04/09,"['CMS GIRO DEBIT /MISC DEBIT, BABU-SALARY', ""AUGUST'19, CMS19247019475, 989114"", 'TAAA671']",2913.25,Debit,153624.85,False,False
46,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'AZEEM, CMS19247019470, 989114TAAA668']",1483.25,Debit,152141.6,False,False
47,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'MARTINOS, CMS19247019536, 989114', 'TAAA674']",2477.45,Debit,149664.15,False,False
48,04/09,"['CMS INTER ACC DR TRF /MISC DEBIT, IMAN,', 'CMS19247019509, 989114TAAA673']",1891.36,Debit,147772.79,False,False
49,04/09,"['CMS GIRO DEBIT /MISC DEBIT, VEMPAC-', 'V28915 EXCLUSIVE ICON SDN BHD,', 'CMS19247019547, 989114TAAA595']",680.0,Debit,147092.79,False,False
50,04/09,"['CMS GIRO DEBIT /MISC DEBIT, T ENERGY-', 'TEINV19083 EXCLUSIVE ICON SDN BHD,', 'CMS19247019546, 989114TAAA651']",608.0,Debit,146484.79,False,False
51,04/09,"['CMS GIRO DEBIT /MISC DEBIT, BOB-SALARY', ""AUGUST'19, CMS19247019478, 989114"", 'TAAA672']",2170.74,Debit,144314.05,False,False
52,04/09,"['CMS GIRO DEBIT /MISC DEBIT, VEMPAC-', 'V28789 EXCLUSIVE ICON SDN BHD,', 'CMS19247019548, 989114TAAA592']",7480.0,Debit,136834.05,False,False
53,04/09,"['DuitNow CR TRF /MISC CREDIT, LIM SENG', 'KIAT, Bill payment,']",65.0,Credit,136899.05,False,False
54,04/09,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000082,']",13772.1,Credit,150671.15,False,False
55,04/09,"['INWARD IBG, ALLNEX RESINS MALAYSIA', ""SDN BHD (FKA SYNT, JUNE'19 & JULY'19,""]",1210.0,Credit,151881.15,False,False
56,04/09,"['INWARD IBG, LT PIPE & FITTING SDN BHD,', 'ACC 6/2019, PRIVATE TRANSACTION']",534.1,Credit,152415.25,False,False
57,05/09,"['CMS JomPAY Debit /MISC DEBIT, TENAGA', 'NASIONAL BERHAD-210082247308,', 'CMS19248003939, 695GU084']",1358.17,Debit,151057.08,False,False
58,05/09,"['CMS GIRO DEBIT /MISC DEBIT, NATIONWIDE-', 'EXCLUSIVE ICON SDN BHD', '6955249,6947515, CMS19248003950, 989114', 'TAAA679']",25554.92,Debit,125502.16,False,False
