,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,232806.02,False,False
1,,['TOTAL DEBITS'],,,1716998.41,False,False
2,,['TOTAL CREDITS'],,,1513899.81,False,False
3,,['CLOSING BALANCE'],,,29707.42,False,False
4,,['Balance b/f'],,,232806.02,False,False
5,01/08,"['CMS GIRO DEBIT /MISC DEBIT, UNIVERSAL', 'TRUSTEE-INV/BNC/153939 EXCLUSIVE ICON', 'SDN BHD, CMS19213002721, 989114', 'TAAA589']",5100.0,Debit,227706.02,False,False
6,01/08,"['CMS GIRO DEBIT /MISC DEBIT, BSM', 'MACHINERY-10420-19 EXCLUSIVE ICON SDN', 'BHD, CMS19213002723, 989114TAAA593']",600.0,Debit,227106.02,False,False
7,01/08,"['CMS GIRO DEBIT /MISC DEBIT, ZHAORI-', '511442,515961,518176 EXCLUSIVE ICON', 'SDN BHD, CMS19213002724, 989114', 'TAAA594']",13012.43,Debit,214093.59,False,False
8,01/08,"['CMS INTER ACC DR TRF /MISC DEBIT, ALL', 'METAL, CMS19213002726, 989114TAAA590']",29.07,Debit,214064.52,False,False
9,01/08,"['CMS INTER ACC DR TRF /MISC DEBIT, ALL', 'METAL, CMS19213002718, 989114TAAA597']",100000.0,Debit,114064.52,False,False
10,01/08,"['INWARD IBG, PPG COATINGS MALAYSIA SDN', 'BHD, REF-3813-0212003, CONTACT']",3421.6,Credit,117486.12,False,False
11,01/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'ORIPLUS MAKANAN TRADISI, exclusive icon,', 'INSTANT TRANSFER']",870.0,Credit,118356.12,False,False
12,01/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'LAU GEE EEN, Dr Che Azurahanim, Dry Ice']",95.0,Credit,118451.12,False,False
13,01/08,"['INWARD IBG, HUO YAN SHAN RESTAURANT', 'SDN BHD, pay, ice']",760.0,Credit,119211.12,False,False
14,02/08,"['CDM CASH DEPOSIT, , ,']",1600.0,Credit,120811.12,False,False
15,02/08,"['DuitNow CR TRF /MISC CREDIT, CHAN MEI', 'YEN, 3rd Party Transfer, dry ice']",81.5,Credit,120892.62,False,False
16,02/08,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000079,']",12881.8,Credit,133774.42,False,False
17,02/08,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 379888,']",9956.8,Credit,143731.22,False,False
18,04/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'RAUB PRIMA FOOD MANUFACT, 00417,', 'INSTANT TRANSFER']",993.0,Credit,144724.22,False,False
19,05/08,"['INWARD IBG, MALINDO AIRWAYS SDN BHD,', 'IFC,']",67680.0,Credit,212404.22,False,False
20,05/08,"['CMS INTER ACC DR TRF /MISC DEBIT, SYUEN', 'WOH, CMS19217003865, 989114TAAA598']",100000.0,Debit,112404.22,False,False
21,05/08,"['CMS GIRO DEBIT /MISC DEBIT, HELIPRO-', 'IV1907-033409,IV1907-033250 EXCLUSIVE', 'ICON SDN BHD, CMS19217003868, 989114', 'TAAA596']",1515.75,Debit,110888.47,False,False
22,05/08,"['CMS GIRO DEBIT /MISC DEBIT, AG MULTI', 'RESOURCES SDN-INSTALLMENT AG MULTI,', 'CMS19217005796, 989114TAAA599']",13089.0,Debit,97799.47,False,False
23,05/08,"['CDM CASH DEPOSIT, , ,']",60.0,Credit,97859.47,False,False
24,05/08,"['CDM CASH DEPOSIT, , ,']",60.0,Credit,97919.47,False,False
25,05/08,"['CDM CASH DEPOSIT, , ,']",60.0,Credit,97979.47,False,False
26,05/08,"['CDM CASH DEPOSIT, , ,']",60.0,Credit,98039.47,False,False
27,05/08,"['CDM CASH DEPOSIT, , ,']",60.0,Credit,98099.47,False,False
28,05/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'XINFLASH INNOVATIONS GLO, kotabharu dry', 'ice or, kotabharu dry ice or']",95.0,Credit,98194.47,False,False
29,05/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'SITI MAISARAH BINTI, Cs 004147,']",95.0,Credit,98289.47,False,False
30,05/08,"['CASH DEPOSIT, , ,']",6975.2,Credit,105264.67,False,False
31,05/08,"['INWARD IBG, ALLNEX RESINS MALAYSIA', ""SDN BHD (FKA SYNT, JUNE'19,""]",1331.0,Credit,106595.67,False,False
32,05/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'YOOHOO ENTERPRISE, Dry Ice Supply,', 'INSTANT TRANSFER']",65.0,Credit,106660.67,False,False
33,05/08,"['INWARD IBG, LT PIPE & FITTING SDN BHD,', 'ACC 5/2019, PRIVATE TRANSACTION']",323.4,Credit,106984.07,False,False
34,05/08,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 854102,']",1540.0,Credit,108524.07,False,False
35,05/08,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 854144,']",770.0,Credit,109294.07,False,False
36,05/08,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'JUHAFIZA BINTI JAAFA, DRY ICE,']",95.0,Credit,109389.07,False,False
37,06/08,"['INWARD IBG, THE INSIDE SCOOP SDN, I-', '007072, THE INSIDE SCOOP']",65.0,Credit,109454.07,False,False
38,06/08,"['INWARD IBG, THE INSIDE SCOOP SDN, I-', '006761, THE INSIDE SCOOP']",65.0,Credit,109519.07,False,False
39,06/08,"['INWARD IBG, THE INSIDE SCOOP SDN, I-', '006667, THE INSIDE SCOOP']",65.0,Credit,109584.07,False,False
40,06/08,"['CMS INTER ACC DR TRF /MISC DEBIT,', 'AZEEM, CMS19218005222, 989114TAAA609']",1877.73,Debit,107706.34,False,False
41,06/08,"['CMS GIRO DEBIT /MISC DEBIT, SUCCESS', 'HEALTHCARE S/B-SMY 9012 EXCLUSIVE', 'ICON SDN BHD, CMS19218005231, 989114', 'TAAA622']",385.0,Debit,107321.34,False,False
42,06/08,"['CMS GIRO DEBIT /MISC DEBIT, RITE TIME', 'OFFICE-00008531 EXCLUSIVE ICON SDN', 'BHD, CMS19218005232, 989114TAAA620']",962.0,Debit,106359.34,False,False
43,06/08,"['CMS GIRO DEBIT /MISC DEBIT, AZLAN-', 'SALARY JULY19, CMS19218005225, 989114', 'TAAA613']",3167.11,Debit,103192.23,False,False
