,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,657.1,False,False
1,,['TOTAL DEBITS'],,,123617.6,False,False
2,,['TOTAL CREDITS'],,,123666.51,False,False
3,,['CLOSING BALANCE'],,,706.01,False,False
4,,['Balance b/f'],,,657.1,False,False
5,02/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Boss personal']",500.0,Debit,157.1,False,False
6,02/03,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'MOHD ISA BIN OTHMAN, akedselasih,', 'sgkundang']",1800.0,Credit,1957.1,False,False
7,02/03,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 426577,']",57000.0,Credit,58957.1,False,False
8,03/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Paip, Hock Lee', 'Hardware']",405.0,Debit,58552.1,False,False
9,03/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Maeganathan, Buy Sand']",400.0,Debit,58152.1,False,False
10,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Payment for May and', 'Sep, Deep Blue']",1310.0,Debit,56842.1,False,False
11,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Outstanding payment', 'and Deposit, Petron']",10000.0,Debit,46842.1,False,False
12,04/03,"['DEBIT TRANSFER, , own, House Payment']",4000.0,Debit,42842.1,False,False
13,04/03,"['DEBIT TRANSFER, , own, BMW']",2000.0,Debit,40842.1,False,False
14,04/03,"['DEBIT TRANSFER, , own, Ford Ranger']",2000.0,Debit,38842.1,False,False
15,04/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Saravanan Personal']",1000.0,Debit,37842.1,False,False
16,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Contract No 132463,', 'Orix Credit Malaysia']",4467.0,Debit,33375.1,False,False
17,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Inv', 'CS37922andCS38013, Outstanding payment']",1080.0,Debit,32295.1,False,False
18,04/03,"['JomPAY Credit /DEBIT TRANSFER, MAXIS,', '1908992686, 734QMPPP22003041428Y']",1300.6,Debit,30994.5,False,False
19,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Commision, Varinder', 'Singh']",1000.0,Debit,29994.5,False,False
20,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Commision, Harish']",2000.0,Debit,27994.5,False,False
21,04/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, CMF NETWORK ENTERPRI,', 'Commision']",2000.0,Debit,25994.5,False,False
22,04/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Inv 0001 SV01, NVD', 'BALA TRADING']",6720.0,Debit,19274.5,False,False
23,04/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MAEGANATHAN, BUY SAND']",1300.0,Debit,17974.5,False,False
24,05/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Jegatheeswari, Petty Cash Office']",1000.0,Debit,16974.5,False,False
25,05/03,"['JomPAY Credit /DEBIT TRANSFER, TENAGA', 'NASIONAL BERHAD, 210008045507, 735', 'LBFHB22003051119Y']",1000.0,Debit,15974.5,False,False
26,05/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Welding VCR2688,', 'YOO FOON AUTO']",272.0,Debit,15702.5,False,False
27,05/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Outstanding', 'Payment, Juan Aik Auto Spare']",3370.0,Debit,12332.5,False,False
28,05/03,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Buy Sand,', 'Muhammad Khairi Nordin']",292.0,Debit,12040.5,False,False
29,05/03,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Boss Personal']",1000.0,Debit,11040.5,False,False
