,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,250.74,False,False
1,,['TOTAL DEBITS'],,,96765.91,False,False
2,,['TOTAL CREDITS'],,,97077.28,False,False
3,,['CLOSING BALANCE'],,,562.11,False,False
4,,['Balance b/f'],,,250.74,False,False
5,11/11,"['CREDIT TRANSFER, SVN BRILLIANT', 'ENTERPRISE, own, For paid maxis bill']",350.0,Credit,600.74,False,False
6,11/11,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF, S', 'V N BRILLIANT RESOURCE, Svnbrilliant', 'Resour, For maxis payment']",900.0,Credit,1500.74,False,False
7,11/11,"['CREDIT TRANSFER, SVN BRILLIANT', 'ENTERPRISE, own, For maxis']",20.0,Credit,1520.74,False,False
8,11/11,"['JomPAY Credit /DEBIT TRANSFER, MAXIS', 'BROADBAND SDN BHD, 1908992686, 6', 'BBFFFJC21911110826Y']",1506.0,Debit,14.74,False,False
9,12/11,"['CASH DEPOSIT, , ,']",20000.0,Credit,20014.74,False,False
10,12/11,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, outstanding', 'payment, PETRON']",10000.0,Debit,10014.74,False,False
11,12/11,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, saravanan, commision']",2000.0,Debit,8014.74,False,False
12,12/11,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, saravanan,', 'commision']",2772.0,Debit,5242.74,False,False
13,12/11,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, pinjam, petty cash']",1000.0,Debit,4242.74,False,False
14,13/11,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Jegatheewari,', 'Commision']",150.0,Debit,4092.74,False,False
15,13/11,"['FPX PAYMENT /MISC DEBIT, KUMPULAN', 'WANG SIMPANAN', 'PEKERJA1120190020601680C110340227,', '1120190020601680C110,']",2952.0,Debit,1140.74,False,False
16,13/11,"['FPX PAYMENT /MISC DEBIT, PERTUBUHAN', 'KESELAMATAN SOSIAL', 'B3301001826M20191000,', 'B3301001826M20191000,']",248.5,Debit,892.24,False,False
17,13/11,"['FPX PAYMENT /MISC DEBIT, PERTUBUHAN', 'KESELAMATAN SOSIAL-', 'B3301001826M201910E0,', 'B3301001826M201910E0,']",44.2,Debit,848.04,False,False
18,13/11,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Mahaletchumi, Daughter']",700.0,Debit,148.04,False,False
19,14/11,"['CREDIT TRANSFER, SARAVANAN A/L', 'NALATHAMBI, own, PINJAM']",2000.0,Credit,2148.04,False,False
20,14/11,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, KUANG', 'ROCK']",2000.0,Debit,148.04,False,False
21,14/11,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000320,']",12000.0,Credit,12148.04,False,False
22,15/11,"['CREDIT TRANSFER, SARAVANAN A/L', 'NALATHAMBI, own, Pinjam dari boss']",1000.0,Credit,13148.04,False,False
