,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,2599.53,False,False
1,,['TOTAL DEBITS'],,,187168.1,False,False
2,,['TOTAL CREDITS'],,,194250.37,False,False
3,,['CLOSING BALANCE'],,,9681.8,False,False
4,,['Balance b/f'],,,2599.53,False,False
5,02/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, KUANG', 'ROCK PRODUCTS']",1500.0,Debit,1099.53,False,False
6,02/01,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Maeganathan, Duit Sampah']",200.0,Debit,899.53,False,False
7,02/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, WINSON', 'MACHINERY']",500.0,Debit,399.53,False,False
8,02/01,"['FPX PAYMENT /MISC DEBIT, GHL', 'EPAYMENTS SDN', 'BHDEPS000000EPAYWEB4498075,', 'EPS000000EPAYWEB4498,']",100.0,Debit,299.53,False,False
9,02/01,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'TAN CHENG HWA, Usm - Adv pmt, INSTANT', 'TRANSFER']",9500.0,Credit,9799.53,False,False
10,03/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Outstanding', 'payment, Stesyen Minyak Saaimah']",5000.0,Debit,4799.53,False,False
11,03/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, COMMISION,', 'KIRANJIT BAHADUR']",1000.0,Debit,3799.53,False,False
12,03/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, KUANG', 'ROCK PRODUCTS']",2000.0,Debit,1799.53,False,False
13,03/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, COMMISION,', 'VARINDER SINGH']",1000.0,Debit,799.53,False,False
14,04/01,"['ACCOUNT FEE, , ,']",8.0,Debit,791.53,False,False
15,05/01,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Jegatheeswari, Buy office items']",200.0,Debit,591.53,False,False
16,06/01,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, WINSON', 'MACHINERY PARTS']",500.0,Debit,91.53,False,False
17,06/01,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000367,']",14500.0,Credit,14591.53,False,False
18,07/01,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 331398,']",3000.0,Credit,17591.53,False,False
19,07/01,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 800033,']",14286.54,Credit,31878.07,False,False
