,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,562.11,False,False
1,,['TOTAL DEBITS'],,,124013.96,False,False
2,,['TOTAL CREDITS'],,,126051.38,False,False
3,,['CLOSING BALANCE'],,,2599.53,False,False
4,,['Balance b/f'],,,562.11,False,False
5,02/12,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Lee Jin Ley, WIRA Payment']",250.0,Debit,312.11,False,False
6,06/12,"['DuitNow CR TRF /MISC CREDIT, P.LETCHUMY', 'A/P K.PERUMAL, 5580,']",2000.0,Credit,2312.11,False,False
7,06/12,"['INWARD IBG, ASSOCIATED PAN MALAYSIA', 'CEMENT SDN BHD, 1500000838, Interbank', 'GIRO']",5237.82,Credit,7549.93,False,False
8,07/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, lafarge payment, svn', 'trading sdn bhd']",5237.82,Debit,2312.11,False,False
9,10/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, world master card,', 'cimb credit card']",500.0,Debit,1812.11,False,False
10,10/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, visa infinite, cimb', 'credit card']",500.0,Debit,1312.11,False,False
11,10/12,"['CREDIT TRANSFER, SVN BRILLIANT', 'ENTERPRISE, own, puspakom bka 2094']",500.0,Credit,1812.11,False,False
12,10/12,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, 12 dec 2019, puspakom bka', '2094']",1600.0,Debit,212.11,False,False
13,12/12,"['DuitNow CR TRF /MISC CREDIT, P.LETCHUMY', 'A/P K.PERUMAL, CRUSHER RUN,']",2000.0,Credit,2212.11,False,False
14,12/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, kuang rock, advance']",2000.0,Debit,212.11,False,False
15,14/12,"['DuitNow CR TRF /MISC CREDIT, SVN', 'BRILLIANT TRADING SDN. BHD., FOR EPF', 'PAYMENT,']",2000.0,Credit,2212.11,False,False
16,14/12,"['CREDIT TRANSFER, SVN BRILLIANT', 'ENTERPRISE, own, SVN BRILLIANT RESOUR']",2000.0,Credit,4212.11,False,False
17,14/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, SVN BRILLIANT', 'RESOURCES, For EPF Payment']",2000.0,Debit,2212.11,False,False
18,14/12,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Jegatheeswari, For Boss Son']",100.0,Debit,2112.11,False,False
19,14/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Minda Educare, Nov', 'and Dec payment']",290.0,Debit,1822.11,False,False
20,16/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, WEH4864', 'PUSPAKOM, MURUGARAJA']",1350.0,Debit,472.11,False,False
21,16/12,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000366,']",25000.0,Credit,25472.11,False,False
22,17/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Spare parts, QH', 'Lorry Car Auto Parts']",300.0,Debit,25172.11,False,False
23,18/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Deposit, Petron']",8000.0,Debit,17172.11,False,False
24,18/12,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Commision, Success', 'Solution Enterprise']",2789.0,Debit,14383.11,False,False
