,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,9681.8,False,False
1,,['TOTAL DEBITS'],,,131887.66,False,False
2,,['TOTAL CREDITS'],,,122862.96,False,False
3,,['CLOSING BALANCE'],,,657.1,False,False
4,,['Balance b/f'],,,9681.8,False,False
5,02/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Boss personal']",1000.0,Debit,8681.8,False,False
6,02/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MAEGANATHAN, Buy 6x9']",500.0,Debit,8181.8,False,False
7,03/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Outstanding', 'Payment, CELC Cambridge']",400.0,Debit,7781.8,False,False
8,03/02,"['DuitNow CR TRF /MISC CREDIT, MARIYAPPAN', 'A/L MUTU, 5695, deposit']",4000.0,Credit,11781.8,False,False
9,04/02,"['JomPAY Credit /DEBIT TRANSFER, MAXIS,', '1908992686, 724BNYHG22002040927Y']",1298.7,Debit,10483.1,False,False
10,04/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Inv CS005861, Juan', 'Aik Auto Spare']",1321.0,Debit,9162.1,False,False
11,04/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Dec and Jan,', 'ELECTCOM BHD']",650.14,Debit,8511.96,False,False
12,05/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, WEH 4864 Spare', 'parts, QH Lorry Car Auto Parts']",95.0,Debit,8416.96,False,False
13,05/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Monthly Payment,', 'Jegatheeswari']",1000.0,Debit,7416.96,False,False
14,05/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, commision, feb']",500.0,Debit,6916.96,False,False
15,05/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, kwsp n sosco, boss', 'sara']",2537.2,Debit,4379.76,False,False
16,05/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Spare Parts', 'WEH4864, JUAN AIK AUTO PARTS']",1550.0,Debit,2829.76,False,False
17,05/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MAEGANATHAN, Buy sand']",500.0,Debit,2329.76,False,False
18,06/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Boss Personal']",500.0,Debit,1829.76,False,False
19,07/02,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'AMAARA AUTOMOBILE, SVN, INSTANT', 'TRANSFER']",10000.0,Credit,11829.76,False,False
20,07/02,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF,', 'AMAARA AUTOMOBILE, SVN, INSTANT', 'TRANSFER']",5000.0,Credit,16829.76,False,False
21,07/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, DESA MASJAYA, VCG 2688']",1550.0,Debit,15279.76,False,False
22,07/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, WINSON', 'MACHINERY']",1000.0,Debit,14279.76,False,False
23,07/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, DEPOSIT, PETRON']",5000.0,Debit,9279.76,False,False
24,07/02,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Salary Jan, Kasi', 'Visuvanathan']",825.95,Debit,8453.81,False,False
25,07/02,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MOHD SHAH, SALARY JAN']",1311.75,Debit,7142.06,False,False
