,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['OPENING BALANCE'],,,20770.66,False,False
1,,['TOTAL DEBITS'],,,173464.22,False,False
2,,['TOTAL CREDITS'],,,152944.3,False,False
3,,['CLOSING BALANCE'],,,250.74,False,False
4,,['Balance b/f'],,,20770.66,False,False
5,01/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Juta bina, Beli batu block']",1000.0,Debit,19770.66,False,False
6,02/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Stesyen minyak', 'saaimah, Deposit']",10000.0,Debit,9770.66,False,False
7,02/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Daneskumar, Daneskumar']",100.0,Debit,9670.66,False,False
8,03/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Jegatheeswari, Salary', 'September']",2500.0,Debit,7170.66,False,False
9,03/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, WCB 5731 and BHY', '2166, Rtax months']",1642.0,Debit,5528.66,False,False
10,03/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Jegatheeswari, Boss', 'Son Education Fees']",350.0,Debit,5178.66,False,False
11,03/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MAEGANATHAN, SALARY SEPT']",319.9,Debit,4858.76,False,False
12,03/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, KALIAMAL, SALARY SEPT']",1324.85,Debit,3533.91,False,False
13,04/10,"['DEP TO CARD /MISC DEBIT, S V N BRILLIANT', 'RESOURCES, own, Credit card payment']",1000.0,Debit,2533.91,False,False
14,04/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, SARAVANAN,', 'Outstanding payment']",500.0,Debit,2033.91,False,False
15,04/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, SARAVANAN, Buy', 'sand frm TNG']",1000.0,Debit,1033.91,False,False
16,05/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Loy Granite Sdn Bhd,', 'Deposit']",1000.0,Debit,33.91,False,False
17,07/10,"['INWARD IBG, SVN BRILLIANT TRADIN,', 'Interbank GIRO,']",3000.0,Credit,3033.91,False,False
18,07/10,"['JomPAY Credit /DEBIT TRANSFER, MAXIS', 'BROADBAND SDN BHD, 1908992686, 6A7', 'FXXNC21910071739Y']",1348.4,Debit,1685.51,False,False
19,08/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Boss Personal']",500.0,Debit,1185.51,False,False
20,08/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Pusat Tuisyen', 'Akademi, Tuisyen Fees']",240.0,Debit,945.51,False,False
21,09/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Maeganathan, Petty Cash']",500.0,Debit,445.51,False,False
22,10/10,"['CREDIT TRANSFER, SVN BRILLIANT', 'ENTERPRISE, own, Svn Brilliant Resour']",600.0,Credit,1045.51,False,False
23,10/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Loy Granite Sdn Bhd,', 'Deposit']",1000.0,Debit,45.51,False,False
24,10/10,"['CASH DEPOSIT, , ,']",5000.0,Credit,5045.51,False,False
25,10/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Thayabaran,', 'Commision']",1500.0,Debit,3545.51,False,False
26,10/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Varinder Singh,', 'Commision']",1500.0,Debit,2045.51,False,False
27,10/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Azhar, Commision']",2000.0,Debit,45.51,False,False
28,10/10,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 000265,']",10000.0,Credit,10045.51,False,False
29,11/10,"['INWARD IBG, BUDDY CONSTRUCTION S,', 'CRUSHER RUN, C008-R00610/08']",16149.84,Credit,26195.35,False,False
30,11/10,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF, S', 'V N BRILLIANT RESOURCE, Loy Granite Sdn', 'Bhd, Deposit']",1000.0,Credit,27195.35,False,False
31,11/10,"['Inst Trf CR CASA OFI /ATM INTERBANK TRF, S', 'V N BRILLIANT RESOURCE, SVN BRILLIANT', 'RESOUR, SVN BRILLIANT RESOUR']",10000.0,Credit,37195.35,False,False
32,11/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Loy Granite Sdn Bhd,', 'Deposit']",1000.0,Debit,36195.35,False,False
33,11/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, SARAVANAN, Salary Sept']",367.1,Debit,35828.25,False,False
34,11/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, PUNITHA, Petty Cash']",1000.0,Debit,34828.25,False,False
35,11/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, KALAIMAGAL,', 'WEH4864 RTAX']",616.0,Debit,34212.25,False,False
36,11/10,"['DEBIT TRANSFER, , own, Sept payment']",4000.0,Debit,30212.25,False,False
37,11/10,"['DEBIT TRANSFER, , own, Sept Payment']",2000.0,Debit,28212.25,False,False
38,11/10,"['DEBIT TRANSFER, , own, Ford Ranger']",2000.0,Debit,26212.25,False,False
39,11/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, VELU, FRIEND']",100.0,Debit,26112.25,False,False
40,11/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, MAEGANATHAN, Commision']",300.0,Debit,25812.25,False,False
41,11/10,"['CTL OUTWARD CLEARING /LOCAL CHQ', 'DEPOSIT, , 579869,']",12544.92,Credit,38357.17,False,False
42,12/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Winson Machinery', 'Parts, Deposit']",2000.0,Debit,36357.17,False,False
43,12/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, Purchase, For Boss Deepavali']",1200.0,Debit,35157.17,False,False
44,12/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Sanderasegan, Kuil', 'Donation']",1288.0,Debit,33869.17,False,False
45,12/10,"['DEBIT TRANSFER, S V N BRILLIANT', 'RESOURCES, own, Sara Boss personal']",1000.0,Debit,32869.17,False,False
46,12/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Harvinder Kaur,', 'Commision']",1000.0,Debit,31869.17,False,False
47,14/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Sukhdarshan,', 'Commision']",5380.0,Debit,26489.17,False,False
48,14/10,"['DuitNow DR TRF /MISC DEBIT, S V N', 'BRILLIANT RESOURCES, Juan Aik Auto Spare', 'Parts, WCB5731 Spare parts']",950.0,Debit,25539.17,False,False
49,14/10,"['LOCAL CHEQUE RETURNED, , ,']",12544.92,Debit,12994.25,False,False
