,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,135589.41,False,False
2,01/04,"['INWARD IBG', 'CustRef= PV61740APR20', 'Details= SUTRA MEDI-ENVIRON SDN', 'BH']",420.0,Credit,136009.41,False,False
3,01/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1717511']",6300.0,Debit,129709.41,False,False
4,02/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1718432']",1500.0,Debit,128209.41,False,False
5,03/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1719294']",7000.0,Debit,121209.41,False,False
6,06/04,"['DuitNow CR TRF', 'CustRef= INVOICE PAYMENT', 'Details= SEDAFIAT SDN BHD']",13060.0,Credit,134269.41,False,False
7,06/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1720371']",3600.0,Debit,130669.41,False,False
8,07/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1721124']",17737.5,Debit,112931.91,False,False
9,07/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1721125']",12248.19,Debit,100683.72,False,False
10,07/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1721148']",13250.0,Debit,87433.72,False,False
11,07/04,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411514']",37437.0,Credit,124870.72,False,False
12,08/04,"['CASA/TD BGL TRF', 'CMS20080010749']",66.98,Debit,124803.74,False,False
13,08/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1721893']",11965.0,Debit,112838.74,False,False
14,09/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1722663']",3750.0,Debit,109088.74,False,False
15,10/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1723347']",15640.0,Debit,93448.74,False,False
16,13/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1724347']",5685.0,Debit,87763.74,False,False
17,13/04,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1724349']",3731.43,Debit,84032.31,False,False
18,13/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1724333']",8067.44,Debit,75964.87,False,False
19,14/04,"['INWARD IBG', 'Details= TETUAN PERDANA', 'SPECIALIST HOSPITAL SDN B']",1200.0,Credit,77164.87,False,False
20,14/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1725172']",8471.8,Debit,68693.07,False,False
21,15/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1725967']",12160.9,Debit,56532.17,False,False
22,15/04,"['CASA/TD BGL TRF', 'CMS20085007130']",66.66,Debit,56465.51,False,False
23,16/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1726697']",6200.0,Debit,50265.51,False,False
24,17/04,"['CMS INTER ACC TRF', 'CustRef= BCI13MAR202017450000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",1035.0,Credit,51300.51,False,False
25,17/04,"['CASA/TD BGL TRF', 'CMS20098009323']",96.8,Debit,51203.71,False,False
26,17/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1727514']",650.0,Debit,50553.71,False,False
27,17/04,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1727516']",600.0,Debit,49953.71,False,False
28,20/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1728382']",1680.0,Debit,48273.71,False,False
29,20/04,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411602']",22897.0,Credit,71170.71,False,False
30,21/04,"['CASA/TD BGL TRF', 'CMS20091010369']",67.55,Debit,71103.16,False,False
31,21/04,"['CASA/TD BGL TRF', 'CMS20091010372']",67.55,Debit,71035.61,False,False
32,21/04,"['CASA/TD BGL TRF', 'CMS20091010371']",67.55,Debit,70968.06,False,False
33,21/04,"['CASA/TD BGL TRF', 'CMS20091010370']",67.55,Debit,70900.51,False,False
34,21/04,"['CASA/TD BGL TRF', 'CMS20090027645']",67.55,Debit,70832.96,False,False
35,21/04,"['CASA/TD BGL TRF', 'CMS20090027644']",67.55,Debit,70765.41,False,False
36,21/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1729149']",15618.6,Debit,55146.81,False,False
37,22/04,"['CMS INTER ACC TRF', 'CustRef= BCI28FEB202010200000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",13500.0,Credit,68646.81,False,False
38,22/04,"['CASA/TD BGL TRF', 'CMS20098009322']",67.62,Debit,68579.19,False,False
39,22/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1729848']",6730.0,Debit,61849.19,False,False
40,22/04,"['CASA/TD BGL TRF', 'CMS20104011422']",67.62,Debit,61781.57,False,False
41,24/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1731532']",19859.0,Debit,41922.57,False,False
42,27/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1732624']",424.56,Debit,41498.01,False,False
43,27/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1732630']",8286.0,Debit,33212.01,False,False
44,28/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1733471']",7774.5,Debit,25437.51,False,False
45,28/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1733525']",7220.0,Debit,18217.51,False,False
46,29/04,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES KUALA', 'LUMPUR']",1025.0,Credit,19242.51,False,False
47,29/04,"['CMS INTER ACC TRF', 'CustRef= 367778UAAE723', 'Details= MAHARANI SPECIALIST', 'HOSPITAL SDN. BHD.-PV 41004']",16500.0,Credit,35742.51,False,False
48,29/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1734583']",4000.0,Debit,31742.51,False,False
49,29/04,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES MEDINI']",11180.0,Credit,42922.51,False,False
50,30/04,"['CASA/TD BGL TRF', 'CMS20118016311']",66.68,Debit,42855.83,False,False
51,30/04,"['CASA/TD BGL TRF', 'CMS20119009732']",66.69,Debit,42789.14,False,False
52,30/04,"['INWARD IBG', 'CustRef= T HOSPITAL', 'Details= KPJ PUTERI SPECIALIST', 'HOSPIT']",2220.0,Credit,45009.14,False,False
53,30/04,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1735911']",18600.0,Debit,26409.14,False,False
54,30/04,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1735913']",3390.85,Debit,23018.29,False,False
55,30/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1735989']",1690.65,Debit,21327.64,False,False
56,30/04,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1735990']",8474.93,Debit,12852.71,False,False
57,30/04,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411769']",323528.0,Credit,336380.71,False,False
58,30/04,['INT/HB/PFT'],2.55,Credit,336383.26,False,False
59,30/04,['STATEMENT FEE'],1.0,Debit,336382.26,False,False
