,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,400848.25,False,False
2,02/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1602867']",51711.0,Debit,349137.25,False,False
3,03/12,"['CMS INTER ACC TRF', 'CustRef= BCI21NOV201909490000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",14680.0,Credit,363817.25,False,False
4,03/12,"['INWARD IBG', 'CustRef= Parts', 'Details= BIOMEDIX SOLUTIONS SDN.', 'BHD.']",33000.0,Credit,396817.25,False,False
5,03/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1604107']",7354.28,Debit,389462.97,False,False
6,03/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1604110']",1004.64,Debit,388458.33,False,False
7,03/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1604111']",4294.84,Debit,384163.49,False,False
8,03/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1604212']",27628.0,Debit,356535.49,False,False
9,04/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1605536']",35470.0,Debit,321065.49,False,False
10,05/12,"['AUTO DEBIT', 'CustRef= Auto Debit']",1146.0,Debit,319919.49,False,False
11,05/12,"['INWARD IBG', 'CustRef= Outward ACH from ADV', 'Details= ADVANCE PACT S/B']",12200.0,Credit,332119.49,False,False
12,05/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1607059']",96080.3,Debit,236039.19,False,False
13,06/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1608580']",5010.0,Debit,231029.19,False,False
14,06/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1608581']",8350.0,Debit,222679.19,False,False
15,06/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1608602']",52136.99,Debit,170542.2,False,False
16,06/12,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1608604']",31024.06,Debit,139518.14,False,False
17,06/12,"['CTL OUTWARD CLEARING', 'ChqNo= 000000410178']",208246.5,Credit,347764.64,False,False
18,09/12,"['CASA/TD BGL TRF', 'CMS19337017220']",63.65,Debit,347700.99,False,False
19,09/12,"['CASA/TD BGL TRF', 'CMS19337017219']",63.65,Debit,347637.34,False,False
20,09/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1610195']",11894.0,Debit,335743.34,False,False
21,09/12,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1610198']",10734.99,Debit,325008.35,False,False
22,10/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1611604']",28842.0,Debit,296166.35,False,False
23,11/12,"['CMS FPX PAYMENT', 'CustRef= 1912111514570345', 'Details= KUMPULAN WANG', 'SIMPANAN PEKERJA', '1220190020471581C110713903']",4454.0,Debit,291712.35,False,False
24,11/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1612577']",31010.0,Debit,260702.35,False,False
25,11/12,"['INWARD IBG', 'CustRef= Supplier Payment', 'Details= SEDAFIAT SDN BHD']",48835.0,Credit,309537.35,False,False
26,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612893']",3904.88,Debit,305632.47,False,False
27,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612899']",5376.6,Debit,300255.87,False,False
28,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612901']",1891.73,Debit,298364.14,False,False
29,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612902']",30067.2,Debit,268296.94,False,False
30,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612903']",19877.76,Debit,248419.18,False,False
31,12/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1612904']",4071.6,Debit,244347.58,False,False
32,12/12,"['INWARD IBG', 'Details= TETUAN PERDANA', 'SPECIALIST HOSPITAL SDN B']",4000.0,Credit,248347.58,False,False
33,13/12,"['CASA/TD BGL TRF', 'CMS19340016340']",63.33,Debit,248284.25,False,False
34,13/12,"['CASA/TD BGL TRF', 'CMS19340016342']",63.33,Debit,248220.92,False,False
35,13/12,"['CMS FPX PAYMENT', 'CustRef= 1912131608340470', 'Details= LEMBAGA HASIL DALAM', 'NEGERI MAL C 2090928802']",2250.0,Debit,245970.92,False,False
36,13/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1615336']",60372.2,Debit,185598.72,False,False
37,13/12,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES KUALA', 'LUMPUR']",5040.0,Credit,190638.72,False,False
38,13/12,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= PANTAI HOSPITAL CHERAS']",550.0,Credit,191188.72,False,False
39,16/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1616935']",13253.23,Debit,177935.49,False,False
40,16/12,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1616940']",7700.0,Debit,170235.49,False,False
41,17/12,"['CMS INTER ACC TRF', 'CustRef= 42146', 'Details= KEDAH MEDICAL CENTRE', 'SDN BHD']",22490.0,Credit,192725.49,False,False
42,17/12,"['CASA/TD BGL TRF', 'CMS19345015414']",63.35,Debit,192662.14,False,False
43,17/12,"['CASA/TD BGL TRF', 'CMS19345015413']",63.35,Debit,192598.79,False,False
44,17/12,"['CASA/TD BGL TRF', 'CMS19345015412']",63.35,Debit,192535.44,False,False
45,17/12,"['CASA/TD BGL TRF', 'CMS19345015411']",63.35,Debit,192472.09,False,False
46,17/12,"['CASA/TD BGL TRF', 'CMS19345015410']",63.35,Debit,192408.74,False,False
47,17/12,"['CMS INTER ACC TRF', 'CustRef= BCI04DEC201914580000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",138131.75,Credit,330540.49,False,False
48,17/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1618200']",20402.0,Debit,310138.49,False,False
49,18/12,"['CASA/TD BGL TRF', 'CMS19337017218']",94.02,Debit,310044.47,False,False
50,18/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1619557']",46251.0,Debit,263793.47,False,False
51,19/12,['CASHIERS ORDER'],200.0,Debit,263593.47,False,False
52,19/12,['Skim Accum For Trx'],2.0,Debit,263591.47,False,False
53,19/12,['Skim Accum For Trx'],0.15,Debit,263591.32,False,False
54,19/12,['Skim Accum For Trx'],0.5,Debit,263590.82,False,False
55,19/12,['CASHIERS ORDER'],1070.0,Debit,262520.82,False,False
56,19/12,['Skim Accum For Trx'],2.0,Debit,262518.82,False,False
57,19/12,['Skim Accum For Trx'],0.15,Debit,262518.67,False,False
58,19/12,['Skim Accum For Trx'],0.5,Debit,262518.17,False,False
59,19/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1620805']",22564.8,Debit,239953.37,False,False
60,20/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1621708']",5750.0,Debit,234203.37,False,False
61,20/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1622016']",5400.56,Debit,228802.81,False,False
62,20/12,"['CTL OUTWARD CLEARING', 'ChqNo= 000000410430']",300805.25,Credit,529608.06,False,False
63,23/12,"['CASA/TD BGL TRF', 'CMS19354014623']",63.33,Debit,529544.73,False,False
64,23/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1623976']",11195.0,Debit,518349.73,False,False
65,24/12,"['CMS INTER ACC TRF', 'CustRef= BCI18DEC201910350000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",26846.0,Credit,545195.73,False,False
66,24/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1625425']",67957.63,Debit,477238.1,False,False
67,24/12,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1625428']",8490.85,Debit,468747.25,False,False
68,26/12,"['INWARD IBG', 'CustRef= BEBK122426949601', 'Details= MUTIARA SCIENCE MEDICAL', '(PG) SDN BHD']",10000.0,Credit,478747.25,False,False
69,26/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1626866']",40467.0,Debit,438280.25,False,False
70,27/12,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1627355']",2081.22,Debit,436199.03,False,False
71,27/12,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES KUALA', 'LUMPUR']",900.0,Credit,437099.03,False,False
72,27/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1628471']",24352.52,Debit,412746.51,False,False
73,30/12,"['CASA/TD BGL TRF', 'CMS19360026961']",63.07,Debit,412683.44,False,False
74,30/12,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES KOTA', 'KINABALU']",6982.5,Credit,419665.94,False,False
75,30/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1630160']",8180.0,Debit,411485.94,False,False
76,31/12,"['INWARD IBG', 'CustRef= T HOSPITAL', 'Details= KPJ PUTERI SPECIALIST', 'HOSPIT']",17748.0,Credit,429233.94,False,False
77,31/12,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1631859']",1000.0,Debit,428233.94,False,False
78,31/12,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1631855']",35600.0,Debit,392633.94,False,False
79,31/12,"['Inst Trf CR CASA OFI', 'CustRef= INSTANT TRANSFER', 'Details= J. BIO MEDIC MARKETING S']",948.0,Credit,393581.94,False,False
80,31/12,['INT/HB/PFT'],88.04,Credit,393669.98,False,False
81,31/12,['STATEMENT FEE'],1.0,Debit,393668.98,False,False
