,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,375486.03,False,False
2,02/02,"['DuitNow CR TRF', 'Details= MOHD ROSDI BIN SINIS']",250.0,Credit,375736.03,False,False
3,03/02,"['CASA/TD BGL TRF', 'CMS20030017925']",62.78,Debit,375673.25,False,False
4,03/02,"['CASA/TD BGL TRF', 'CMS20030017924']",62.78,Debit,375610.47,False,False
5,03/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1663299']",10950.35,Debit,364660.12,False,False
6,03/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1663903']",47931.0,Debit,316729.12,False,False
7,03/02,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1663904']",1500.0,Debit,315229.12,False,False
8,03/02,"['CTL OUTWARD CLEARING', 'ChqNo= 000000410700']",9704.0,Credit,324933.12,False,False
9,04/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1665212']",34960.0,Debit,289973.12,False,False
10,04/02,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1665215']",4000.0,Debit,285973.12,False,False
11,05/02,"['AUTO DEBIT', 'CustRef= Auto Debit']",1146.0,Debit,284827.12,False,False
12,05/02,"['CMS FPX PAYMENT', 'CustRef= 2002051246590425', 'Details= MERCHANTRADE ASIA SDN', 'BHD 01 129725']",20060.5,Debit,264766.62,False,False
13,05/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1666533']",13427.42,Debit,251339.2,False,False
14,05/02,"['CTL OUTWARD CLEARING', 'ChqNo= 000000405455']",1869.0,Credit,253208.2,False,False
15,05/02,"['CTL OUTWARD CLEARING', 'ChqNo= 000000416286']",1673.46,Credit,254881.66,False,False
16,06/02,['CASHIERS ORDER'],2000.0,Debit,252881.66,False,False
17,06/02,['Skim Accum For Trx'],2.0,Debit,252879.66,False,False
18,06/02,['Skim Accum For Trx'],0.15,Debit,252879.51,False,False
19,06/02,['Skim Accum For Trx'],0.5,Debit,252879.01,False,False
20,06/02,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1667413']",9654.69,Debit,243224.32,False,False
21,06/02,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1667414']",1033.21,Debit,242191.11,False,False
22,06/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1667728']",10189.38,Debit,232001.73,False,False
23,06/02,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1667730']",11010.69,Debit,220991.04,False,False
24,06/02,"['CMS FPX PAYMENT', 'CustRef= 2002061611090132', 'Details= LEMBAGA HASIL DALAM', 'NEGERI MAL C 2090928802']",2250.0,Debit,218741.04,False,False
25,07/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1669249']",4375.0,Debit,214366.04,False,False
26,07/02,"['CTL OUTWARD CLEARING', 'ChqNo= 000000405520']",425.0,Credit,214791.04,False,False
27,11/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1672242']",25700.0,Debit,189091.04,False,False
28,12/02,"['INWARD IBG', 'CustRef= 15085 15253', 'Details= J. BIO MEDIC MARKETING', 'SDN. BHD.']",492.0,Credit,189583.04,False,False
29,13/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1673635']",21589.4,Debit,167993.64,False,False
30,13/02,"['CASA/TD BGL TRF', 'CMS20030017926']",91.71,Debit,167901.93,False,False
31,13/02,"['CASA/TD BGL TRF', 'CMS20037005514']",63.36,Debit,167838.57,False,False
32,13/02,"['CASA/TD BGL TRF', 'CMS20037005515']",63.36,Debit,167775.21,False,False
33,14/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1675641']",22350.0,Debit,145425.21,False,False
34,14/02,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1675648']",3300.0,Debit,142125.21,False,False
35,14/02,"['INWARD IBG', 'CustRef= Interbank GIRO', 'Details= GLENEAGLES KUALA', 'LUMPUR']",14480.0,Credit,156605.21,False,False
36,17/02,"['CMS INTER ACC TRF', 'CustRef= 42487', 'Details= KEDAH MEDICAL CENTRE', 'SDN BHD']",16500.0,Credit,173105.21,False,False
37,17/02,"['CMS INTER ACC TRF', 'CustRef= BCI03FEB202014550000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",29850.0,Credit,202955.21,False,False
38,18/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1678945']",63561.7,Debit,139393.51,False,False
39,19/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1680220']",36273.64,Debit,103119.87,False,False
40,19/02,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1680222']",1200.0,Debit,101919.87,False,False
41,19/02,"['INWARD IBG', 'CustRef= Outward ACH', 'Details= ADVANCE PACT S/B']",43300.0,Credit,145219.87,False,False
42,19/02,"['INWARD IBG', 'CustRef= PVB0000512020', 'Details= EDGENTA HEALTHCARE', 'MANAGEMENT SDN. BHD.']",7650.0,Credit,152869.87,False,False
43,20/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1681446']",55100.0,Debit,97769.87,False,False
44,21/02,"['CMS INTER ACC TRF', 'CustRef= BCI05FEB202012090000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",187550.0,Credit,285319.87,False,False
45,21/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1682796']",90684.76,Debit,194635.11,False,False
46,24/02,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1684175']",16940.0,Debit,177695.11,False,False
47,24/02,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1684247']",62974.45,Debit,114720.66,False,False
48,25/02,['CASHIERS ORDER'],600.0,Debit,114120.66,False,False
49,25/02,['Skim Accum For Trx'],2.0,Debit,114118.66,False,False
50,25/02,['Skim Accum For Trx'],0.15,Debit,114118.51,False,False
51,25/02,['Skim Accum For Trx'],0.5,Debit,114118.01,False,False
52,25/02,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1685592']",42280.0,Debit,71838.01,False,False
53,26/02,"['CMS INTER ACC TRF', 'CustRef= 25022020884865-XB2', 'Details= AMGENERAL INSURANCE', 'BERHAD']",350.0,Credit,72188.01,False,False
