,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,393668.98,False,False
2,02/01,"['INWARD IBG', 'CustRef= PV589131DEC19', 'Details= SUTRA MEDI-ENVIRON SDN', 'BH']",770.0,Credit,394438.98,False,False
3,02/01,"['CMS INTER ACC TRF', 'CustRef= BCI20DEC201917320000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",7200.0,Credit,401638.98,False,False
4,02/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1633534']",1500.0,Debit,400138.98,False,False
5,03/01,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1634754']",20323.3,Debit,379815.68,False,False
6,03/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1634742']",21746.29,Debit,358069.39,False,False
7,03/01,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1634947']",100513.95,Debit,257555.44,False,False
8,03/01,"['CTL OUTWARD CLEARING', 'ChqNo= 000000995627']",758.0,Credit,258313.44,False,False
9,05/01,"['AUTO DEBIT', 'CustRef= Auto Debit']",1146.0,Debit,257167.44,False,False
10,06/01,"['CMS INTER ACC TRF', 'CustRef= BCI24DEC201917380000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",42550.0,Credit,299717.44,False,False
11,06/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1636852']",88724.0,Debit,210993.44,False,False
12,07/01,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1638359']",5188.84,Debit,205804.6,False,False
13,07/01,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1638360']",3101.56,Debit,202703.04,False,False
14,07/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1638449']",20584.1,Debit,182118.94,False,False
15,07/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1638532']",18000.0,Debit,164118.94,False,False
16,08/01,"['CASA/TD BGL TRF', 'CMS20003014676']",62.86,Debit,164056.08,False,False
17,08/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1639835']",40123.66,Debit,123932.42,False,False
18,08/01,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1639840']",1960.0,Debit,121972.42,False,False
19,09/01,"['CASA/TD BGL TRF', 'CMS20007036796']",62.56,Debit,121909.86,False,False
20,09/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1641188']",5000.0,Debit,116909.86,False,False
21,09/01,"['CTL OUTWARD CLEARING', 'ChqNo= 000000410560']",374427.05,Credit,491336.91,False,False
22,10/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1642721']",52918.0,Debit,438418.91,False,False
23,10/01,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1642722']",3300.0,Debit,435118.91,False,False
24,10/01,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1642744']",4009.88,Debit,431109.03,False,False
25,13/01,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1644250']",22841.0,Debit,408268.03,False,False
26,14/01,"['CMS FPX PAYMENT', 'CustRef= 2001141434150933', 'Details= LEMBAGA HASIL DALAM', 'NEGERI MAL C 2090928802']",2250.0,Debit,406018.03,False,False
27,14/01,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1645544']",1075.62,Debit,404942.41,False,False
28,14/01,"['CMS GIRO DEBIT', 'CustRef= CMSDEBIT1645658']",29465.1,Debit,375477.31,False,False
29,14/01,"['INWARD IBG', 'CustRef= Supplier Payment', 'Details= SEDAFIAT SDN BHD']",20070.0,Credit,395547.31,False,False
