,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,20993.12,False,False
2,02/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1691958']",10138.88,Debit,10854.24,False,False
3,02/03,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1691963']",4000.0,Debit,6854.24,False,False
4,02/03,"['INWARD IBG', 'CustRef= Inv 15267', 'Details= J. BIO MEDIC MARKETING', 'SDN. BHD.']",3300.0,Credit,10154.24,False,False
5,03/03,"['INWARD IBG', 'CustRef= APBP20-004757', 'Details= KUALA TERENGGANU', 'SPECIALIST HOSPITAL SDN']",1430.0,Credit,11584.24,False,False
6,03/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1693563']",200.0,Debit,11384.24,False,False
7,03/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411259']",118890.5,Credit,130274.74,False,False
8,03/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411257']",117600.0,Credit,247874.74,False,False
9,04/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1694544']",3800.0,Debit,244074.74,False,False
10,05/03,"['AUTO DEBIT', 'CustRef= Auto Debit']",1146.0,Debit,242928.74,False,False
11,05/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1696396']",63512.2,Debit,179416.54,False,False
12,05/03,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1696400']",4850.0,Debit,174566.54,False,False
13,05/03,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1696457']",10677.35,Debit,163889.19,False,False
14,05/03,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1696458']",15813.34,Debit,148075.85,False,False
15,06/03,"['CASA/TD BGL TRF', 'CMS20065023654']",63.78,Debit,148012.07,False,False
16,06/03,"['CASA/TD BGL TRF', 'CMS20065023653']",63.78,Debit,147948.29,False,False
17,06/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1698022']",37828.78,Debit,110119.51,False,False
18,09/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1699629']",15735.0,Debit,94384.51,False,False
19,10/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1700914']",27653.0,Debit,66731.51,False,False
20,11/03,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1701503']",6148.75,Debit,60582.76,False,False
21,12/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1703319']",10579.64,Debit,50003.12,False,False
22,13/03,['CASHIERS ORDER'],1605.0,Debit,48398.12,False,False
23,13/03,['Skim Accum For Trx'],2.0,Debit,48396.12,False,False
24,13/03,['Skim Accum For Trx'],0.15,Debit,48395.97,False,False
25,13/03,['Skim Accum For Trx'],0.5,Debit,48395.47,False,False
26,13/03,"['CMS FPX PAYMENT', 'CustRef= 2003131515570569', 'Details= LEMBAGA HASIL DALAM', 'NEGERI MAL C 2090928802']",2250.0,Debit,46145.47,False,False
27,13/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1704766']",20524.76,Debit,25620.71,False,False
28,13/03,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1704768']",3000.0,Debit,22620.71,False,False
29,16/03,"['CMS INTER ACC TRF', 'CustRef= 42688', 'Details= KEDAH MEDICAL CENTRE', 'SDN BHD']",8250.0,Credit,30870.71,False,False
30,16/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1705880']",340.3,Debit,30530.41,False,False
31,17/03,"['INWARD IBG', 'CustRef= Parts', 'Details= BIOMEDIX SOLUTIONS SDN.', 'BHD.']",1100.0,Credit,31630.41,False,False
32,17/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1707569']",10356.0,Debit,21274.41,False,False
33,18/03,"['CMS INTER ACC TRF', 'CustRef= BCI25FEB202017000000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",29135.0,Credit,50409.41,False,False
34,18/03,"['CMS INTER ACC TRF', 'CustRef= BCI04MAR202011400000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",96279.0,Credit,146688.41,False,False
35,18/03,"['CMS INTER ACC TRF', 'CustRef= BCI13FEB202016040000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",34052.5,Credit,180740.91,False,False
36,18/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1708731']",43418.75,Debit,137322.16,False,False
37,18/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1708748']",15000.0,Debit,122322.16,False,False
38,19/03,"['DuitNow CR TRF', 'CustRef= INV PAYMENT', 'Details= SEDAFIAT SDN BHD']",8495.0,Credit,130817.16,False,False
39,19/03,"['INWARD IBG', 'CustRef= Outward ACH from ADV', 'Details= ADVANCE PACT S/B']",4400.0,Credit,135217.16,False,False
40,19/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1709562']",7700.0,Debit,127517.16,False,False
41,19/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411263']",130335.0,Credit,257852.16,False,False
42,19/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411260']",134124.5,Credit,391976.66,False,False
43,19/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411261']",50640.5,Credit,442617.16,False,False
44,19/03,"['CTL OUTWARD CLEARING', 'ChqNo= 000000411262']",135453.5,Credit,578070.66,False,False
45,20/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1710362']",43500.0,Debit,534570.66,False,False
46,20/03,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1710364']",5340.34,Debit,529230.32,False,False
47,20/03,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1710419']",13301.31,Debit,515929.01,False,False
48,23/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1711022']",1940.0,Debit,513989.01,False,False
49,23/03,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1711157']",6354.65,Debit,507634.36,False,False
50,23/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1711187']",11428.0,Debit,496206.36,False,False
51,24/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1711775']",3100.0,Debit,493106.36,False,False
52,24/03,"['INWARD IBG', 'CustRef= Deposit', 'Details= ARUS INOVASI SDN BHD']",2500.0,Credit,495606.36,False,False
53,25/03,"['INWARD IBG', 'CustRef= HOSPITAL', 'Details= IPOH SPECIALIST HOSP SDN', 'BHD']",16875.0,Credit,512481.36,False,False
54,25/03,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1712479']",30306.4,Debit,482174.96,False,False
55,25/03,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1712548']",44210.0,Debit,437964.96,False,False
