,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['A/C NAME:', 'DATE', 'DESCRIPTION', 'DEBITS', 'CREDITS', 'BALANCE']",,,21.49,False,False
1,,['Opening Ledger Balance'],,,495788.25,False,False
2,01/11,"['CMS INTER ACC TRF', 'CustRef= BCI23OCT201915340000', 'Details= EDGENTA MEDISERVE SDN', 'BHD']",1550.0,Credit,497338.25,False,False
3,01/11,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1564300']",11098.2,Debit,486240.05,False,False
4,01/11,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1564301']",14385.78,Debit,471854.27,False,False
5,01/11,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1564930']",55645.81,Debit,416208.46,False,False
6,01/11,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1564932']",13935.88,Debit,402272.58,False,False
7,04/11,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1566535']",13555.0,Debit,388717.58,False,False
8,04/11,"['INWARD IBG', 'CustRef= T HOSPITAL', 'Details= KPJ PUTERI SPECIALIST', 'HOSPIT']",5475.0,Credit,394192.58,False,False
9,05/11,"['AUTO DEBIT', 'CustRef= Auto Debit']",1146.0,Debit,393046.58,False,False
10,05/11,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1567909']",24990.0,Debit,368056.58,False,False
11,05/11,"['CMS INTER ACC DR TRF', 'CustRef= CONS_DEBIT_1567912']",1960.0,Debit,366096.58,False,False
12,06/11,"['CASA/TD BGL TRF', 'CMS19304022163']",63.22,Debit,366033.36,False,False
13,06/11,"['CASA/TD BGL TRF', 'CMS19304022162']",63.22,Debit,365970.14,False,False
14,06/11,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1569263']",36727.5,Debit,329242.64,False,False
15,06/11,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1569264']",19920.0,Debit,309322.64,False,False
16,06/11,"['CMS GIRO DEBIT', 'CustRef= CONS_DEBIT_1569391']",68070.0,Debit,241252.64,False,False
