,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,132409.86,False,False
1,02/12,"['CMS INTER ACC TRF', 'CustRef= PV8298', 'Details= GFB AUTOMOTIVE SDN BHD-', 'INV', 'P70978/71056/71090/71122/71123/712', '29']",21524.66,Credit,153934.52,False,False
2,02/12,"['CMS INTER ACC TRF', 'CustRef= 3750', 'Details= PROREKA (M) SDN BHD-INV', 'P70951/70952/70969/71059/71124/711', '25/71126/71149/71184/7']",22507.84,Credit,176442.36,False,False
3,02/12,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783617']",5890.0,Debit,170552.36,False,False
4,02/12,['CHQ PROC FEE'],0.5,Debit,170551.86,False,False
5,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB515', 'Details= MARZIAH BINTI MOKHTAR-JP', 'METAL SDN BHD']",550.0,Debit,170001.86,False,False
6,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB511', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",2000.0,Debit,168001.86,False,False
7,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB517', 'Details= HAFIZ BIN MOHD SALLEH-JP', 'METAL SDN BHD']",600.0,Debit,167401.86,False,False
8,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB520', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD BJD3131(NOTE NO :90010)']",1311.0,Debit,166090.86,False,False
9,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB516', 'Details= VIJAYAN A/L KRISHNA PI-JP', 'METAL SDN BHD']",1000.0,Debit,165090.86,False,False
10,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB513', 'Details= ABD MAJID BIN MAHMUD-JP', 'METAL SDN BHD']",600.0,Debit,164490.86,False,False
11,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB518', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,163940.86,False,False
12,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB514', 'Details= KHAIRUL AMRI BIN KAMAR-', 'JP METAL SDN BHD']",500.0,Debit,163440.86,False,False
13,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB512', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",1575.0,Debit,161865.86,False,False
14,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB523', 'Details= WAH TAT ENGRAVING-JP', 'METAL SDN BHD']",270.0,Debit,161595.86,False,False
15,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB521', 'Details= PAC LEASE BHD-JP METAL', 'SDN BHD AGREEMENT NO.:', 'PC130190002584']",1967.0,Debit,159628.86,False,False
16,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB522', 'Details= ONG SOON HOCK-JP METAL', 'SDN BHD']",1290.0,Debit,158338.86,False,False
17,04/12,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB519', 'Details= B&N AINA ENTERPRISE-JP', 'METAL SDN BHD']",3670.0,Debit,154668.86,False,False
18,04/12,"['CMS FPX PAYMENT', 'CustRef= 1912031413510047', 'Details= FOMEMA SDN BHD 6118733']",1443.0,Debit,153225.86,False,False
19,04/12,"['CMS GIRO RETURNED', 'CustRef= 281843DAAB522', 'Details= JP METAL SDN BHD']",1290.0,Credit,154515.86,False,False
20,04/12,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783618']",30102.85,Debit,124413.01,False,False
21,04/12,['CHQ PROC FEE'],0.5,Debit,124412.51,False,False
22,04/12,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783621']",1965.0,Debit,122447.51,False,False
23,04/12,['CHQ PROC FEE'],0.5,Debit,122447.01,False,False
24,06/12,"['CMS INTER ACC DR TRF', 'CustRef= 281843DAAB525', 'Details= ONG SOON HOCK-JP METAL', 'SDN BHD']",1290.0,Debit,121157.01,False,False
25,06/12,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783620']",143.6,Debit,121013.41,False,False
