,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,113835.02,False,False
1,03/02,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783628']",25568.05,Debit,88266.97,False,False
2,03/02,['CHQ PROC FEE'],0.5,Debit,88266.47,False,False
3,03/02,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783627']",8695.12,Debit,79571.35,False,False
4,03/02,['CHQ PROC FEE'],0.5,Debit,79570.85,False,False
5,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB721', 'Details= ABD MAJID BIN MAHMUD-JP', 'METAL SDN BHD']",600.0,Debit,78970.85,False,False
6,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB725', 'Details= HAFIZ BIN MOHD SALLEH-JP', 'METAL SDN BHD']",600.0,Debit,78370.85,False,False
7,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB723', 'Details= MARZIAH BINTI MOKHTAR-JP', 'METAL SDN BHD']",550.0,Debit,77820.85,False,False
8,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB724', 'Details= VIJAYAN A/L KRISHNA PI-JP', 'METAL SDN BHD']",1000.0,Debit,76820.85,False,False
9,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB722', 'Details= KHAIRUL AMRI BIN KAMAR-', 'JP METAL SDN BHD']",500.0,Debit,76320.85,False,False
10,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB727', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD BJD3131(NOTE NO :90010)']",1311.0,Debit,75009.85,False,False
11,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB728', 'Details= PAC LEASE BHD-JP METAL', 'SDN BHD AGREEMENT NO.:', 'PC130190002584']",1967.0,Debit,73042.85,False,False
12,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB730', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",2000.0,Debit,71042.85,False,False
13,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB726', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,70492.85,False,False
14,04/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB729', 'Details= WAH TAT ENGRAVING-JP', 'METAL SDN BHD']",100.0,Debit,70392.85,False,False
15,04/02,"['INWARD IBG', 'CustRef= Inv Sep 2019', 'Details= BANDO ELECTRONICS', '(MALAYSIA) SDN BHD']",20330.21,Credit,90723.06,False,False
16,06/02,"['DuitNow CR TRF', 'Details= Current Account']",3291.25,Credit,94014.31,False,False
17,06/02,"['INWARD IBG', ""BankRef= INV. OCT'19"", ""CustRef= INV. OCT'19"", 'Details= KUMPULAN JEBCO (M) SDN', 'BHD']",21646.95,Credit,115661.26,False,False
18,07/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB733', 'Details= SIRIM QAS INTERNATIONA-', 'JP METAL SDN BHD']",2385.0,Debit,113276.26,False,False
19,07/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB731', 'Details= ASIA BRIGHT ENGINEERIN-', 'JP METAL SDN BHD']",4400.0,Debit,108876.26,False,False
20,07/02,"['CTL OUTWARD CLEARING', 'ChqNo= 000000107838']",4780.0,Credit,113656.26,False,False
21,07/02,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783629']",1965.0,Debit,111691.26,False,False
22,07/02,['CHQ PROC FEE'],0.5,Debit,111690.76,False,False
23,12/02,"['INWARD IBG', 'CustRef= P72213,P72232,P72289', 'Details= PANASONIC FINANCIAL', 'CENTRE (MALAYSIA) SDN BHD']",29658.2,Credit,141348.96,False,False
24,12/02,"['DuitNow CR TRF', 'Details= Current Account']",11662.15,Credit,153011.11,False,False
25,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB752', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",1031.87,Debit,151979.24,False,False
26,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB751', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD']",1557.85,Debit,150421.39,False,False
27,13/02,"['CMS JomPAY Debit', 'CustRef= 72DP1V30', 'Details= TENAGA NASIONAL', '6057243312']",90.3,Debit,150331.09,False,False
28,13/02,"['CMS JomPAY Debit', 'CustRef= 72D3CEDD', 'Details= TELEKOM MALAYSIA', '003050268253']",475.95,Debit,149855.14,False,False
29,13/02,"['CMS JomPAY Debit', 'CustRef= 72DF1GY4', 'Details= TENAGA NASIONAL', '6057239381']",135.9,Debit,149719.24,False,False
30,13/02,"['CMS JomPAY Debit', 'CustRef= 72DG7YXC', 'Details= WOONGJIN COWAY', '(MALAYSIA) S/B-9400300', 'BR4134297903']",132.0,Debit,149587.24,False,False
31,13/02,"['CMS JomPAY Debit', 'CustRef= 72D8MMMS', 'Details= TENAGA NASIONAL', '6057315538']",26.65,Debit,149560.59,False,False
32,13/02,"['CMS JomPAY Debit', 'CustRef= 72DC0RX0', 'Details= PENGURUSAN AIR', 'SELANGOR S/B-3360880000', '57641565']",859.05,Debit,148701.54,False,False
33,13/02,"['CMS JomPAY Debit', 'CustRef= 72D9IHFX', 'Details= TELEKOM MALAYSIA', 'BERHAD-D907887710309', '008558072073']",197.4,Debit,148504.14,False,False
34,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB748', 'Details= STL CONSULTANCY & SERV-', 'JP METAL SDN BHD']",680.0,Debit,147824.14,False,False
35,13/02,"['CMS JomPAY Debit', 'CustRef= 72D7TNJP', 'Details= MAXIS BROADBAND SDN', '623391840']",1727.9,Debit,146096.24,False,False
36,13/02,"['CMS JomPAY Debit', 'CustRef= 72D8VG1E', 'Details= TENAGA NASIONAL', '6057244309']",172.6,Debit,145923.64,False,False
37,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB747', 'Details= HR 2000 SDN BHD-JP METAL', 'SDN BHD']",1749.0,Debit,144174.64,False,False
38,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB745', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",2182.57,Debit,141992.07,False,False
39,13/02,"['CMS JomPAY Debit', 'CustRef= 72DDABR1', 'Details= TENAGA NASIONAL', '6057267954']",64.65,Debit,141927.42,False,False
40,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB744', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1301.67,Debit,140625.75,False,False
41,13/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB746', 'Details= REDZA SECURITY SDN BHD-', 'JP METAL SDN BHD']",6565.41,Debit,134060.34,False,False
42,17/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB755', 'Details= SUMTAK STEEL SDN BHD-JP', 'METAL SDN BHD']",150.0,Debit,133910.34,False,False
43,17/02,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB749', 'Details= GN HUMAN RESOURCES', 'MAN-JP METAL SDN BHD']",52981.81,Debit,80928.53,False,False
