,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,146165.65,False,False
1,02/01,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783625']",1744.0,Debit,144421.65,False,False
2,02/01,['CHQ PROC FEE'],0.5,Debit,144421.15,False,False
3,03/01,"['CMS INTER ACC TRF', 'CustRef= 3869', 'Details= PROREKA (M) SDN BHD-', 'TOTAL INV RM29,398.75', 'P71346/71392/71367/71432/71431/714', '74/7']",25316.64,Credit,169737.79,False,False
4,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB616', 'Details= VIJAYAN A/L KRISHNA PI-JP', 'METAL SDN BHD']",1000.0,Debit,168737.79,False,False
5,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB614', 'Details= KHAIRUL AMRI BIN KAMAR-', 'JP METAL SDN BHD']",500.0,Debit,168237.79,False,False
6,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB617', 'Details= HAFIZ BIN MOHD SALLEH-JP', 'METAL SDN BHD']",600.0,Debit,167637.79,False,False
7,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB613', 'Details= ABD MAJID BIN MAHMUD-JP', 'METAL SDN BHD']",600.0,Debit,167037.79,False,False
8,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB615', 'Details= MARZIAH BINTI MOKHTAR-JP', 'METAL SDN BHD']",550.0,Debit,166487.79,False,False
9,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB621', 'Details= PAC LEASE BHD-JP METAL', 'SDN BHD AGREEMENT NO.:', 'PC130190002584']",1967.0,Debit,164520.79,False,False
10,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB618', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,163970.79,False,False
11,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB619', 'Details= B&N AINA ENTERPRISE-JP', 'METAL SDN BHD']",3610.0,Debit,160360.79,False,False
12,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB620', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD BJD3131(NOTE NO :90010)']",1311.0,Debit,159049.79,False,False
13,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB624', 'Details= ZURICH GENERAL INSURAN-', 'JP METAL SDN BHD']",735.5,Debit,158314.29,False,False
14,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB622', 'Details= ZURICH GENERAL INSURAN-', 'JP METAL SDN BHD']",50.87,Debit,158263.42,False,False
15,03/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB623', 'Details= ZURICH GENERAL INSURAN-', 'JP METAL SDN BHD']",592.4,Debit,157671.02,False,False
16,06/01,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783623']",29129.9,Debit,128541.12,False,False
17,06/01,['CHQ PROC FEE'],0.5,Debit,128540.62,False,False
18,07/01,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783626']",1965.0,Debit,126575.62,False,False
19,07/01,['CHQ PROC FEE'],0.5,Debit,126575.12,False,False
20,08/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB626', 'Details= WAH TAT ENGRAVING-JP', 'METAL SDN BHD']",700.0,Debit,125875.12,False,False
21,08/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB625', 'Details= MY EG SDN BHD-JP METAL', 'SDN BHD']",10275.0,Debit,115600.12,False,False
22,10/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB628', 'Details= JOTECH METAL FABRICATI-', 'JP METAL SDN BHD']",14271.69,Debit,101328.43,False,False
23,10/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB627', 'Details= JIAN YII TRADING-JP METAL', 'SDN BHD']",1913.6,Debit,99414.83,False,False
24,10/01,"['DuitNow CR TRF', 'Details= PROMACOL STEEL INDUS']",3353.5,Credit,102768.33,False,False
25,13/01,"['CTL OUTWARD CLEARING', 'ChqNo= 000000107767']",3824.0,Credit,106592.33,False,False
26,14/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB630', 'Details= YANKONG STAINLESS STEE-', 'JP METAL SDN BHD']",708.0,Debit,105884.33,False,False
27,14/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB631', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",2000.0,Debit,103884.33,False,False
28,14/01,"['INWARD IBG', 'CustRef= P71830,P71852,P71853', 'Details= PANASONIC FINANCIAL', 'CENTRE (MALAYSIA) SDN BHD']",34049.05,Credit,137933.38,False,False
29,14/01,"['DuitNow CR TRF', 'CustRef= FINAL PAYMENT', 'Details= INNOTET SDN. BHD.']",19200.0,Credit,157133.38,False,False
30,15/01,"['DuitNow CR TRF', 'Details= PROMACOL STEEL', 'INDUSTRY SDN. BHD.']",9925.3,Credit,167058.68,False,False
31,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB634', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",1761.55,Debit,165297.13,False,False
32,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB635', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD']",950.3,Debit,164346.83,False,False
33,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB644', 'Details= JASMINE TONG CHING PEI-', 'JP METAL SDN BHD']",720.0,Debit,163626.83,False,False
34,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB639', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1815.19,Debit,161811.64,False,False
35,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB638', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1532.74,Debit,160278.9,False,False
36,16/01,"['CMS JomPAY Debit', 'CustRef= 71GFHWMA', 'Details= PENGURUSAN AIR', 'SELANGOR S/B-3360880000', '55238969']",818.0,Debit,159460.9,False,False
37,16/01,"['CMS JomPAY Debit', 'CustRef= 71G8D5Y8', 'Details= TENAGA NASIONAL', '6044079541']",59.95,Debit,159400.95,False,False
38,16/01,"['CMS JomPAY Debit', 'CustRef= 71GEE1HW', 'Details= TENAGA NASIONAL', '6043961404']",156.35,Debit,159244.6,False,False
39,16/01,"['CMS JomPAY Debit', 'CustRef= 71GNUGQN', 'Details= TENAGA NASIONAL', '6043956953']",132.75,Debit,159111.85,False,False
40,16/01,"['CMS JomPAY Debit', 'CustRef= 71GUMXMM', 'Details= WOONGJIN COWAY', '(MALAYSIA) S/B-9400300', 'BR4133108997']",132.0,Debit,158979.85,False,False
41,16/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB642', 'Details= ABDUL JALIL YUSUF ENTE-', 'JP METAL SDN BHD']",2510.0,Debit,156469.85,False,False
42,16/01,"['CMS JomPAY Debit', 'CustRef= 71GPD021', 'Details= TELEKOM MALAYSIA', 'BERHAD-D907887710309', '008485371655']",198.75,Debit,156271.1,False,False
43,16/01,"['CMS JomPAY Debit', 'CustRef= 71G8RFQ3', 'Details= MAXIS BROADBAND SDN', '619530655']",1737.2,Debit,154533.9,False,False
44,16/01,"['CMS JomPAY Debit', 'CustRef= 71GNNA4M', 'Details= TELEKOM MALAYSIA', '002994766174']",475.95,Debit,154057.95,False,False
45,16/01,"['CMS JomPAY Debit', 'CustRef= 71GISYJ5', 'Details= TENAGA NASIONAL', '6043960353']",85.05,Debit,153972.9,False,False
46,16/01,"['CMS JomPAY Debit', 'CustRef= 71GT6V63', 'Details= TENAGA NASIONAL', '6044076108']",23.6,Debit,153949.3,False,False
47,16/01,"['CMS FPX PAYMENT', 'CustRef= 2001161553000311', 'Details= FOMEMA SDN BHD 6198959']",543.0,Debit,153406.3,False,False
48,17/01,"['INWARD IBG', 'CustRef= Inv Sep 2019', 'Details= BANDO ELECTRONICS', '(MALAYSIA) SDN BHD']",68876.82,Credit,222283.12,False,False
49,21/01,"['CMS INTER ACC TRF', 'CustRef= A1P 20000043', 'Details= CSE AUTOMOTIVE', 'TECHNOLOGIES SDN BHD', '(142103D)-P72253 17/01/2020']",5377.25,Credit,227660.37,False,False
50,21/01,"['CTL OUTWARD CLEARING', 'ChqNo= 000000918512']",21000.0,Credit,248660.37,False,False
51,22/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB645', 'Details= ASIA BRIGHT ENGINEERIN-', 'JP METAL SDN BHD']",4400.0,Debit,244260.37,False,False
52,22/01,"['INWARD IBG', 'Details= ATRYZ (MALAYSIA) SDN BHD']",23600.0,Credit,267860.37,False,False
53,23/01,"['INWARD IBG', 'CustRef= STAFF', 'Details= APM CLIMATE CONTROL', 'SDN BHD']",36239.03,Credit,304099.4,False,False
54,23/01,"['INWARD IBG', 'CustRef= IBG Payment', 'Details= UNITED OVERSEAS BANK']",76729.03,Credit,380828.43,False,False
55,30/01,"['INWARD IBG', 'Details= TAMURA ELECTRONICS (M)', 'SDN BHD']",23265.11,Credit,404093.54,False,False
56,31/01,"['CMS INTER ACC TRF', 'CustRef= PV8607', 'Details= GFB AUTOMOTIVE SDN BHD-', 'INV19-11-001']",6280.45,Credit,410373.99,False,False
57,31/01,"['CMS INTER ACC TRF', 'CustRef= PV8591', 'Details= GFB AUTOMOTIVE SDN BHD-', 'INV', 'P71857/71858/71859/71976/72022/720', '21/72080/72081/7185']",28669.97,Credit,439043.96,False,False
58,31/01,"['CMS INTER ACC TRF', 'CustRef= 4011', 'Details= PROREKA (M) SDN BHD-INV', 'FOR NOV19 - TTL RM52,244.00', 'CONTRA AUTOV CORP RENTAL FEB']",19374.9,Credit,458418.86,False,False
59,31/01,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB720', 'Details= B&N AINA ENTERPRISE-JP', 'METAL SDN BHD']",3310.0,Debit,455108.86,False,False
