,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,325342.39,False,False
1,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB776', 'Details= DAIDO AMISTAR(M)SB-JP', 'METAL SDN BHD']",13953.5,Debit,311388.89,False,False
2,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB773', 'Details= AMERPAC SDN BHD-JP', 'METAL SDN BHD']",1287.75,Debit,310101.14,False,False
3,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB789', 'Details= LITRO INDUSTRY SDN BHD-', 'JP METAL SDN BHD']",24862.84,Debit,285238.3,False,False
4,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB804', 'Details= WH MACHINERY-JP METAL', 'SDN BHD']",4150.0,Debit,281088.3,False,False
5,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB790', 'Details= MICROREP PRECISION(M)-', 'JP METAL SDN BHD']",250.0,Debit,280838.3,False,False
6,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB772', 'Details= ADVANCE ACCURATE', 'AUTOM-JP METAL SDN BHD']",10341.64,Debit,270496.66,False,False
7,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB774', 'Details= AMITY INDUSTRIAL SUPPL-', 'JP METAL SDN BHD']",2304.0,Debit,268192.66,False,False
8,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB771', 'Details= ACERINOX SC MALAYSIA S-', 'JP METAL SDN BHD']",9144.79,Debit,259047.87,False,False
9,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB796', 'Details= SCENIC ELECTRO TRADING-', 'JP METAL SDN BHD']",581.91,Debit,258465.96,False,False
10,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB784', 'Details= JUN PACK PACKAGING SB-', 'JP METAL SDN BHD']",316.8,Debit,258149.16,False,False
11,02/03,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB779', 'Details= GASLINE TRADING SB-JP', 'METAL SDN BHD']",1218.54,Debit,256930.62,False,False
