,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,157088.34,False,False
1,01/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB403', 'Details= MY EG SDN BHD-JP METAL', 'SDN BHD']",4110.0,Debit,152978.34,False,False
2,01/11,"['CMS JomPAY Debit', 'CustRef= 6B1PITKD', 'Details= AGENSI PJAAN', 'JOBSTREET.COM SB-', 'MYKLSAG190132303 JP METAL SDN', 'BHD']",3286.0,Debit,149692.34,False,False
3,01/11,"['LOCAL CHQ DEPOSIT', 'ChqNo= 000000001826']",2442.71,Credit,152135.05,False,False
4,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB418', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",6278.74,Debit,145856.31,False,False
5,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB412', 'Details= B&N AINA ENTERPRISE-JP', 'METAL SDN BHD']",3670.0,Debit,142186.31,False,False
6,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB406', 'Details= ABD MAJID BIN MAHMUD-JP', 'METAL SDN BHD']",600.0,Debit,141586.31,False,False
7,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB407', 'Details= KHAIRUL AMRI BIN KAMAR-', 'JP METAL SDN BHD']",500.0,Debit,141086.31,False,False
8,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB408', 'Details= MARZIAH BINTI MOKHTAR-JP', 'METAL SDN BHD']",550.0,Debit,140536.31,False,False
9,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB409', 'Details= VIJAYAN A/L KRISHNA PI-JP', 'METAL SDN BHD']",1000.0,Debit,139536.31,False,False
10,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB411', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,138986.31,False,False
11,04/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB410', 'Details= HAFIZ BIN MOHD SALLEH-JP', 'METAL SDN BHD']",600.0,Debit,138386.31,False,False
12,05/11,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783613']",26760.1,Debit,111626.21,False,False
13,05/11,['CHQ PROC FEE'],0.5,Debit,111625.71,False,False
14,08/11,"['INWARD IBG', 'CustRef= Payment Reference', 'Details= DYNAMIC MFG (M) SDN']",662.73,Credit,112288.44,False,False
15,08/11,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783615']",10704.1,Debit,101584.34,False,False
16,08/11,['CHQ PROC FEE'],0.5,Debit,101583.84,False,False
17,11/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB413', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD BJD3131(NOTE NO :90010)']",1311.0,Debit,100272.84,False,False
18,11/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB414', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",35800.0,Debit,64472.84,False,False
19,11/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB421', 'Details= PROJECT-TEAM ENGINEEIN-', 'JP METAL SDN BHD']",300.0,Debit,64172.84,False,False
20,11/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB420', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,63622.84,False,False
21,11/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB422', 'Details= JIAN YII TRADING-JP METAL', 'SDN BHD']",2071.4,Debit,61551.44,False,False
22,11/11,"['CTL OUTWARD CLEARING', 'ChqNo= 000000598987']",1912.0,Credit,63463.44,False,False
23,11/11,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783614']",1965.0,Debit,61498.44,False,False
24,11/11,['CHQ PROC FEE'],0.5,Debit,61497.94,False,False
25,12/11,"['INWARD IBG', 'Details= PANASONIC FINANCIAL', 'CENTRE (MALAYSIA) SDN BHD']",38573.0,Credit,100070.94,False,False
26,13/11,"['DuitNow CR TRF', 'Details= PROMACOL STEEL INDUS']",9703.26,Credit,109774.2,False,False
27,14/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB430', 'Details= WAH TAT ENGRAVING-JP', 'METAL SDN BHD']",400.0,Debit,109374.2,False,False
28,15/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB429', 'Details= REDZA SECURITY SDN BHD-', 'JP METAL SDN BHD']",4843.26,Debit,104530.94,False,False
29,15/11,"['CMS JomPAY Debit', 'CustRef= 6BETAYX5', 'Details= DAGANG NET', 'TECHNOLOGIES SDN BH-HOE16388', 'DB19898124']",5.3,Debit,104525.64,False,False
30,15/11,"['CMS JomPAY Debit', 'CustRef= 6BEJ71B9', 'Details= PENGURUSAN AIR', 'SELANGOR S/B-3360880000']",792.95,Debit,103732.69,False,False
31,15/11,"['CMS JomPAY Debit', 'CustRef= 6BE03D4D', 'Details= TENAGA NASIONAL', '6016719646']",38.6,Debit,103694.09,False,False
32,15/11,"['CMS JomPAY Debit', 'CustRef= 6BEYKE16', 'Details= TELEKOM MALAYSIA', '002886047642']",475.95,Debit,103218.14,False,False
33,15/11,"['CMS JomPAY Debit', 'CustRef= 6BEVFCLI', 'Details= TENAGA NASIONAL', '6015661568']",93.95,Debit,103124.19,False,False
34,15/11,"['CMS JomPAY Debit', 'CustRef= 6BER620F', 'Details= TENAGA NASIONAL', '6015683213']",47.6,Debit,103076.59,False,False
35,15/11,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB427', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1663.82,Debit,101412.77,False,False
36,15/11,"['CMS JomPAY Debit', 'CustRef= 6BE25ECM', 'Details= TELEKOM MALAYSIA', 'BERHAD-D907887710309', '008301742246']",193.55,Debit,101219.22,False,False
37,15/11,"['CMS JomPAY Debit', 'CustRef= 6BEJABY0', 'Details= PENGURUSAN AIR', 'SELANGOR S/B-2000098520010', '49556278']",2.05,Debit,101217.17,False,False
38,15/11,"['CMS JomPAY Debit', 'CustRef= 6BECEV7B', 'Details= MAXIS BROADBAND SDN', '612028242']",1740.05,Debit,99477.12,False,False
39,15/11,"['CMS JomPAY Debit', 'CustRef= 6BE7X92D', 'Details= WOONGJIN COWAY', '(MALAYSIA) S/B-9400300', 'BR4131244347']",132.0,Debit,99345.12,False,False
