,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Ledger Balance'],,,132468.08,False,False
1,01/10,"['INWARD IBG', ""BankRef= PAYMENT FOR INV.JUN'"", ""CustRef= PAYMENT FOR INV.JUN'"", 'Details= KUMPULAN JEBCO (M) SDN', 'BHD']",9618.55,Credit,142086.63,False,False
2,02/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB292', 'Details= SATO AUTO-ID MALAYSIA-JP', 'METAL SDN BHD']",357.0,Debit,141729.63,False,False
3,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB296', 'Details= KHAIRUL AMRI BIN KAMAR-', 'JP METAL SDN BHD']",500.0,Debit,141229.63,False,False
4,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB295', 'Details= ABD MAJID BIN MAHMUD-JP', 'METAL SDN BHD']",600.0,Debit,140629.63,False,False
5,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB302', 'Details= B&N AINA ENTERPRISE-JP', 'METAL SDN BHD']",3490.0,Debit,137139.63,False,False
6,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB300', 'Details= HAFIZ BIN MOHD SALLEH-JP', 'METAL SDN BHD']",600.0,Debit,136539.63,False,False
7,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB301', 'Details= YONG KOON YEIN-JP METAL', 'SDN BHD']",550.0,Debit,135989.63,False,False
8,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB297', 'Details= MARZIAH BINTI MOKHTAR-JP', 'METAL SDN BHD']",550.0,Debit,135439.63,False,False
9,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB303', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD BJD3131(NOTE NO :90010)']",1311.0,Debit,134128.63,False,False
10,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB299', 'Details= VIJAYAN A/L KRISHNA PI-JP', 'METAL SDN BHD']",1000.0,Debit,133128.63,False,False
11,03/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB306', 'Details= SIRIM QAS INTERNATIONA-', 'JP METAL SDN BHD']",2250.0,Debit,130878.63,False,False
12,03/10,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783609']",354.0,Debit,130524.63,False,False
13,03/10,['CHQ PROC FEE'],0.5,Debit,130524.13,False,False
14,07/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB311', 'Details= JIAN YII TRADING-JP METAL', 'SDN BHD']",2062.5,Debit,128461.63,False,False
15,07/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB312', 'Details= WAH TAT ENGRAVING-JP', 'METAL SDN BHD']",360.0,Debit,128101.63,False,False
16,07/10,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783610']",27597.15,Debit,100504.48,False,False
17,07/10,['CHQ PROC FEE'],0.5,Debit,100503.98,False,False
18,08/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB305', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",35800.0,Debit,64703.98,False,False
19,08/10,"['DuitNow CR TRF', 'Details= PROMACOL STEEL INDUS']",8869.3,Credit,73573.28,False,False
20,08/10,"['CTL OUTWARD CLEARING', 'ChqNo= 000000598924']",3346.0,Credit,76919.28,False,False
21,08/10,"['INW AMB CHQ', 'INST TYPE:01', 'ChqNo= 000000783611']",1965.0,Debit,74954.28,False,False
22,08/10,['CHQ PROC FEE'],0.5,Debit,74953.78,False,False
23,09/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB319', 'Details= ZURICH GENERAL INSURAN-', 'JP METAL SDN BHD']",1472.16,Debit,73481.62,False,False
24,09/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB320', 'Details= ZURICH GENERAL INSURAN-', 'JP METAL SDN BHD']",65.99,Debit,73415.63,False,False
25,10/10,"['INWARD IBG', 'Details= PANASONIC FINANCIAL', 'CENTRE (MALAYSIA) SDN BHD']",36939.8,Credit,110355.43,False,False
26,11/10,"['CMS FOREIGN TT', 'CustRef= CMSDEBIT1544920']",29323.67,Debit,81031.76,False,False
27,14/10,"['INWARD IBG', 'CustRef= Inv Jun 2019', 'Details= BANDO ELECTRONICS', '(MALAYSIA) SDN BHD']",30005.09,Credit,111036.85,False,False
28,15/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB328', 'Details= TEE AH BEE-JP METAL SDN', 'BHD']",2000.0,Debit,109036.85,False,False
29,15/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB327', 'Details= YONG KIN CHOON-JP METAL', 'SDN BHD']",1201.1,Debit,107835.75,False,False
30,16/10,"['INWARD IBG', 'BankRef= PAYMENT FOR INV. JUL', 'CustRef= PAYMENT FOR INV. JUL', 'Details= KUMPULAN JEBCO (M) SDN', 'BHD']",14262.61,Credit,122098.36,False,False
31,17/10,"['INWARD IBG', 'CustRef= Inv Jun 2019', 'Details= BANDO ELECTRONICS', '(MALAYSIA) SDN BHD']",53417.44,Credit,175515.8,False,False
32,17/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB337', 'Details= STL CONSULTANCY & SERV-', 'JP METAL SDN BHD']",269.0,Debit,175246.8,False,False
33,17/10,"['CMS JomPAY Debit', 'CustRef= 6AHMR5FX', 'Details= TELEKOM MALAYSIA', '002833070911']",475.95,Debit,174770.85,False,False
34,17/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB336', 'Details= GD EXPRESS SDN BHD-JP', 'METAL SDN BHD']",17.4,Debit,174753.45,False,False
35,17/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB334', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1960.38,Debit,172793.07,False,False
36,17/10,"['CMS JomPAY Debit', 'CustRef= 6AHNXR7X', 'Details= MAXIS BROADBAND SDN', '608387247']",1737.75,Debit,171055.32,False,False
37,17/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB333', 'Details= SHELL MALAYSIA TRADING-', 'JP METAL SDN BHD']",1634.93,Debit,169420.39,False,False
38,17/10,"['CMS GIRO DEBIT', 'CustRef= 281843DAAB335', 'Details= REDZA SECURITY SDN BHD-', 'JP METAL SDN BHD']",6056.42,Debit,163363.97,False,False
39,17/10,"['CMS JomPAY Debit', 'CustRef= 6AHAYDJQ', 'Details= WOONGJIN COWAY', '(MALAYSIA) S/B-9400300', 'BR4129343525']",132.0,Debit,163231.97,False,False
