,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,6644.19,False,False
1,29/04,"['INSTANT TRANSFER', 'Fund transfer', 'GOOI CHIA YEE']",51.8,Credit,13883.49,False,False
2,29/04,"['INSTANT TRANSFER', 'huikie_2206', 'CHANG HUI KIE']",29.9,Credit,13831.69,False,False
3,29/04,"['IBG CREDIT', 'FUND TRANSFER', '956', 'FUND TRANSFER', 'LEE SAY WAN']",149.5,Credit,13801.79,False,False
4,29/04,"['INSTANT TRANSFER', 'choyshan', 'YAP CHOY SHAN']",42.0,Credit,13652.29,False,False
5,29/04,"['INSTANT TRANSFER', 'meiixinn18', 'LIM MEI XIN']",29.9,Credit,13610.29,False,False
6,29/04,"['INSTANT TRANSFER', 'hoiyan1225', 'POH HOI YAN']",79.9,Credit,13580.39,False,False
7,29/04,"['INSTANT TRANSFER', 'Savings', 'KAO SU QI']",119.6,Credit,13500.49,False,False
8,29/04,"['INSTANT TRANSFER', 'CHEAH JIA CHIE']",64.9,Credit,13380.89,False,False
9,29/04,"['IBG CREDIT', 'PURP/13110/GOODS AND', '960', 'PURP/13110/GOODS AND', 'LEE JIA YEE']",281.5,Credit,13315.99,False,False
10,29/04,"['INSTANT TRANSFER', 'carmanspy', 'SOON PEI YOKE']",44.0,Credit,13034.49,False,False
11,29/04,"['INSTANT TRANSFER', 'aileeeelia', 'SEE AI LEE']",59.8,Credit,12990.49,False,False
12,29/04,"['INSTANT TRANSFER', 'tay 508', 'TAY MI XIAO']",29.9,Credit,12930.69,False,False
13,28/04,"['INSTANT TRANSFER', 'ah_theng99', 'CHUA YEE THENG']",35.0,Credit,12900.79,False,False
14,28/04,"['I-FUNDS TR FROM SA', 'Insta: yhiiiiiiee', 'WONG YUAN HUEY']",35.0,Credit,12865.79,False,False
15,28/04,"['INSTANT TRANSFER', 'Sorry', 'CHOO JIA WEI']",29.9,Credit,12830.79,False,False
16,28/04,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",59.8,Credit,12800.89,False,False
17,28/04,"['INSTANT TRANSFER', 'Jocelynthyyy', 'JOCELYN TAN HUI YING']",61.9,Credit,12741.09,False,False
18,28/04,"['INSTANT TRANSFER', 'Lim Xin Ru', 'LIM CHING YUEN']",29.9,Credit,12679.19,False,False
19,28/04,"['I-FUNDS TR FROM SA', 'joey chu', 'CHU WAI YEE']",29.9,Credit,12649.29,False,False
20,27/04,"['INSTANT TRANSFER', 'huixin', 'SAM HUI XIN']",94.8,Credit,12619.39,False,False
21,27/04,"['INSTANT TRANSFER', 'Fund transfer', 'ONG KIAN BOON']",89.7,Credit,12524.59,False,False
22,27/04,"['INSTANT TRANSFER', 'cloth', 'CHONG MING KIEN']",32.0,Credit,12434.89,False,False
23,27/04,"['INSTANT TRANSFER', 'Clothes', 'FAM KAH HUEI']",139.6,Credit,12402.89,False,False
24,27/04,"['INSTANT TRANSFER', 'Lim Xin Ru', 'LIM CHING YUEN']",59.8,Credit,12263.29,False,False
25,27/04,"['INSTANT TRANSFER', 'Sjuan93', 'LIM SAU KIAN']",21.9,Credit,12203.49,False,False
