,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,19496.21,False,False
1,29/02,"['INSTANT TRANSFER', 'carmanspy', 'SOON PEI YOKE']",62.7,Credit,1574.01,False,False
2,29/02,"['INSTANT TRANSFER', 'Dezumodo Fashion', 'WONG KAR LOON']",32.8,Credit,1511.31,False,False
3,29/02,"['INSTANT TRANSFER', 'peiying', 'TING PUI YING']",102.7,Credit,1478.51,False,False
4,29/02,"['I-FUNDS TR FROM SA', 'jeffeniejeff', 'CHUA YIP MAY']",32.8,Credit,1375.81,False,False
5,29/02,"['ATM MEPS IBFT FROM OFI', 'INSTANT TRANSFER', 'LEE HANG HUNG']",55.0,Credit,1343.01,False,False
6,29/02,"['INSTANT TRANSFER', 'Fund transfer', 'AW WING LAM']",34.8,Credit,1288.01,False,False
7,29/02,"['INSTANT TRANSFER', 'Fund transfer', 'ANG WEN HUI']",87.6,Credit,1253.21,False,False
8,29/02,"['INSTANT TRANSFER', 'Dezumundo', 'WONG HUNG NGIIK']",64.9,Credit,1165.61,False,False
9,28/02,['CHQ PROCESSING FEE'],0.5,Debit,1100.71,False,False
10,28/02,"['INSTANT TRANSFER', 'shirt', 'WEE AAI NEE']",93.0,Credit,1101.21,False,False
11,28/02,"['INSTANT TRANSFER', 'Fund transfer', 'TAN UI YIN']",74.8,Credit,1008.21,False,False
12,28/02,['CASH CHQ DR'],15000.0,Debit,933.41,False,False
13,28/02,"['I-FUNDS TR FROM SA', 'yanfei', 'CHAN YAN FEI']",119.7,Credit,15933.41,False,False
14,27/02,"['I-FUNDS TR FROM SA', 'julianachoo', 'JULIANA CHOO CHIA YE']",68.8,Credit,15813.71,False,False
15,27/02,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",107.8,Credit,15744.91,False,False
16,26/02,"['INSTANT TRANSFER', 'Pay for 3rd Party', 'CHAN MUN CHUNG']",184.5,Credit,15637.11,False,False
