,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,1574.01,False,False
1,31/03,"['I-FUNDS TR FROM SA', 'Melville & laurel', 'WONG SOOK CHIAN']",122.2,Credit,6644.19,False,False
2,29/03,"['INSTANT TRANSFER', 'trammie', 'ONG KEAT CHONG']",95.0,Credit,6521.99,False,False
3,27/03,"['I-FUNDS TR FROM SA', 'chulinggg_', 'HONG CHU LING']",53.8,Credit,6426.99,False,False
4,26/03,"['IBG CREDIT', '__ANDRREEAA_', '733', '__ANDRREEAA_', 'ANDREA QUEK MENG LI']",104.2,Credit,6373.19,False,False
5,25/03,"['INSTANT TRANSFER', 'Peiyu', 'WONG PEI YU']",87.9,Credit,6268.99,False,False
6,24/03,"['I-FUNDS TR FROM SA', 'Dezu Mondo', 'LIOW WEI JIA']",140.1,Credit,6181.09,False,False
7,24/03,"['INSTANT TRANSFER', 'pjiun_99', 'HOW PEI JIUN']",98.8,Credit,6040.99,False,False
8,24/03,"['INSTANT TRANSFER', 'k.ching12', 'HENG KEI CHING']",107.8,Credit,5942.19,False,False
9,24/03,"['INSTANT TRANSFER', 'Xiiao xii', 'CHUAN PEI YIN']",50.3,Credit,5834.39,False,False
10,24/03,"['INSTANT TRANSFER', 'huikie_2206', 'CHANG HUI KIE']",71.9,Credit,5784.09,False,False
11,24/03,"['INSTANT TRANSFER', 'Fund transfer', 'ANG YAN SHUANG']",43.9,Credit,5712.19,False,False
12,23/03,"['INSTANT TRANSFER', 'Xiiao xii', 'CHUAN PEI YIN']",71.9,Credit,5668.29,False,False
13,23/03,"['I-FUNDS TR FROM SA', 'aileeeelia', 'SEE AI LEE']",71.9,Credit,5596.39,False,False
14,23/03,"['I-FUNDS TR FROM SA', '__urgh', 'LEE CARMEN']",68.2,Credit,5524.49,False,False
15,23/03,"['I-FUNDS TR FROM SA', 'poslaju', 'WONG JIA NING']",8.0,Credit,5456.29,False,False
16,23/03,"['INSTANT TRANSFER', '_a.i.l.i.n', 'LIM AI LIN']",62.8,Credit,5448.29,False,False
17,23/03,"['INSTANT TRANSFER', 'Fund transfer', 'POH BOON KIAT']",68.2,Credit,5385.49,False,False
18,22/03,"['INSTANT TRANSFER', 'Fund transfer', 'AMY LOW LEE HSA']",89.7,Credit,5317.29,False,False
19,22/03,"['I-FUNDS TR FROM SA', 'aileeeelia', 'SEE AI LEE']",86.2,Credit,5227.59,False,False
20,22/03,"['I-FUNDS TR FROM SA', 'Insta: yhiiiiiiee', 'WONG YUAN HUEY']",104.0,Credit,5141.39,False,False
21,22/03,"['INSTANT TRANSFER', '3rd Party Transfer', 'KWAN YONG QI']",62.8,Credit,5037.39,False,False
22,22/03,"['INSTANT TRANSFER', 'shirt', 'LEE JIA LIN/LEE KC']",100.5,Credit,4974.59,False,False
23,22/03,"['INSTANT TRANSFER', 'Lau Hui Qian', 'LAU HUI QIAN']",53.8,Credit,4874.09,False,False
24,21/03,"['INSTANT TRANSFER', 'Ray_508', 'TAY MI XIAO']",71.8,Credit,4820.29,False,False
25,21/03,"['INSTANT TRANSFER', 'dezumondo', 'SONG PEI XIN']",71.8,Credit,4748.49,False,False
26,21/03,"['I-FUNDS TR FROM SA', 'EcyeChan (FB)', 'EUNICE CHAN YI EN']",143.8,Credit,4676.69,False,False
27,21/03,"['INSTANT TRANSFER', 'chen.wennn', 'TAN CHEN WEN']",100.5,Credit,4532.89,False,False
28,21/03,"['INSTANT TRANSFER', 'xuan', 'LIEW JING XUAN']",86.0,Credit,4432.39,False,False
29,21/03,"['I-FUNDS TR FROM SA', 'online shopping', 'CHIA WEI KHEE CHRIST']",62.8,Credit,4346.39,False,False
30,21/03,"['I-FUNDS TR FROM SA', '_huisun', 'NG HUI SUN']",82.6,Credit,4283.59,False,False
31,21/03,"['I-FUNDS TR FROM SA', 'reisssss_ (insta)', 'REIS LIEW YIE CHENG']",68.2,Credit,4200.99,False,False
32,21/03,"['I-FUNDS TR FROM SA', 'insta/yiqing96', 'LEE YI QING']",89.8,Credit,4132.79,False,False
33,21/03,"['INSTANT TRANSFER', 'cwy0212', 'CHAN WAN YEE']",64.6,Credit,4042.99,False,False
34,21/03,"['I-FUNDS TR FROM SA', 'shirt', 'ANNIE YAP WEN JUN']",80.73,Credit,3978.39,False,False
35,20/03,"['INSTANT TRANSFER', 'ooi', 'WONG YOKE MEI/OOI W']",63.9,Credit,3897.66,False,False
36,20/03,"['INSTANT TRANSFER', 'Bill payment', 'CHEAH JIA CHIE']",253.2,Credit,3833.76,False,False
37,20/03,"['INSTANT TRANSFER', 'ruoqilee_', 'LEE RUO QI']",62.8,Credit,3580.56,False,False
38,20/03,"['INSTANT TRANSFER', 'TOP198 and TOP206', 'CHUA CHAO EN']",68.2,Credit,3517.76,False,False
39,20/03,"['INSTANT TRANSFER', 'efentann', 'TAN EE FEN']",86.2,Credit,3449.56,False,False
40,20/03,"['I-FUNDS TR FROM SA', 'jesseytan', 'TAN JIE XIN']",39.9,Credit,3363.36,False,False
41,19/03,"['INSTANT TRANSFER', 'Clothes', 'VERNA WONG VUN NA']",119.2,Credit,3323.46,False,False
42,19/03,"['I-FUNDS TR FROM SA', 'insta-cheongxx', 'CHEONG XIN YI']",91.5,Credit,3204.26,False,False
43,19/03,"['I-FUNDS TR FROM SA', 'kl.hooi', 'HOOI KEEN LENG']",100.5,Credit,3112.76,False,False
44,19/03,"['INSTANT TRANSFER', 'Fund transfer', 'NG ZE YING']",77.2,Credit,3012.26,False,False
45,18/03,"['INSTANT TRANSFER', 'dezumondo', 'SONG PEI XIN']",86.2,Credit,2935.06,False,False
46,18/03,"['INSTANT TRANSFER', 'Bill payment', 'REBECCA HIU']",59.2,Credit,2848.86,False,False
47,18/03,"['INSTANT TRANSFER', 'huikie_2206', 'CHANG HUI KIE']",125.65,Credit,2789.66,False,False
48,17/03,"['INSTANT TRANSFER', 'Vincy_ccy', 'CHONG CHEE YEE']",98.75,Credit,2664.01,False,False
49,17/03,['CHQ PROCESSING FEE'],0.5,Debit,2565.26,False,False
50,17/03,"['I-FUNDS TR FROM SA', 'dezu', 'OOI SHIRLEY']",116.8,Credit,2565.76,False,False
51,17/03,"['I-FUNDS TR FROM SA', 'Zining', 'CHONG CHEE NING']",29.9,Credit,2448.96,False,False
52,17/03,['CASH CHQ DR'],6300.0,Debit,2419.06,False,False
53,16/03,"['INSTANT TRANSFER', 'Xiiao xii', 'CHUAN PEI YIN']",89.8,Credit,8719.06,False,False
54,16/03,"['I-FUNDS TR FROM CA', 'dezu cloth', 'TAN SOO FERN']",80.75,Credit,8629.26,False,False
55,16/03,"['INSTANT TRANSFER', '15 MAC ONLINE', 'SIM YI LEEN']",4557.7,Credit,8548.51,False,False
56,16/03,"['INSTANT TRANSFER', 'TAN CHI YIN']",37.9,Credit,3990.81,False,False
57,16/03,"['INSTANT TRANSFER', 'shiying_grace', 'LOO SHI YING']",157.7,Credit,3952.91,False,False
58,15/03,"['I-FUNDS TR FROM SA', 'jesseytan', 'TAN JIE XIN']",65.8,Credit,3795.21,False,False
59,15/03,"['INSTANT TRANSFER', '10mac online', 'SIM YI LEEN']",907.8,Credit,3729.41,False,False
60,15/03,"['INSTANT TRANSFER', 'Fund transfer', 'CHONG SI WEI']",153.7,Credit,2821.61,False,False
61,14/03,"['I-FUNDS TR FROM SA', 'JOYCE', 'OWEE SIEW KHIM']",127.8,Credit,2667.91,False,False
62,14/03,"['INSTANT TRANSFER', 'zining', 'CHONG CHEE NING']",81.6,Credit,2540.11,False,False
63,13/03,"['INSTANT TRANSFER', 'Fund transfer', 'CHEAH BEE HONG']",43.9,Credit,2458.51,False,False
