,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,13883.49,False,False
1,31/05,"['I-FUNDS TR FROM SA', 'vivian_vivy_', 'KOK ZHI LENG']",55.9,Credit,2662.79,False,False
2,31/05,"['I-FUNDS TR FROM SA', 'Insta: yhiiiiiiee', 'WONG YUAN HUEY']",65.8,Credit,2606.89,False,False
3,31/05,"['INSTANT TRANSFER', 'meaganlim', 'LIM PUI SAN']",299.2,Credit,2541.09,False,False
4,31/05,"['INSTANT TRANSFER', 'Bill Payment', 'CHONG JING TOONG']",99.8,Credit,2241.89,False,False
5,31/05,"['INSTANT TRANSFER', 'zyingg', 'LOH ZI YING']",65.8,Credit,2142.09,False,False
6,30/05,"['INSTANT TRANSFER', 'yukiiic', 'YUKI CHONG']",4.0,Credit,2076.29,False,False
7,29/05,"['INSTANT TRANSFER', 'yukiiic', 'YUKI CHONG']",26.0,Credit,2072.29,False,False
8,29/05,"['INSTANT TRANSFER', 'meiixinn_18', 'LIM MEI XIN']",93.9,Credit,2046.29,False,False
9,29/05,"['I-FUNDS TR FROM SA', 'xuan', 'LIEW JING XUAN']",18.0,Credit,1952.39,False,False
10,28/05,"['IBG CREDIT', 'PURP/21201/PERSONAL', '498', 'PURP/21201/PERSONAL', 'LEE JIA YEE']",53.1,Credit,1934.39,False,False
11,28/05,"['I-FUNDS TR FROM SA', 'joey chu', 'CHU WAI YEE']",26.0,Credit,1881.29,False,False
12,27/05,"['INSTANT TRANSFER', 'zt99925', 'CHAN ZHU TENG']",67.9,Credit,1855.29,False,False
13,27/05,"['I-FUNDS TR FROM SA', 'KOH HUI WEN', 'KOH HUI WEN']",52.0,Credit,1787.39,False,False
14,27/05,"['INSTANT TRANSFER', 'Ying3533', 'TAN YIN YIM']",199.8,Credit,1735.39,False,False
15,26/05,"['I-FUNDS TR FROM SA', 'ig-victoriamxy', 'MAK XIN YII']",44.0,Credit,1535.59,False,False
16,25/05,"['I-FUNDS TR FROM SA', 'Mandy', 'MANDY SIM MUN YEE']",26.0,Credit,1491.59,False,False
17,25/05,"['INSTANT TRANSFER', 'Top', 'CHOO JIA WEI']",67.9,Credit,1465.59,False,False
18,25/05,"['INSTANT TRANSFER', 'ig jinny_57', 'TAN TUAN KIM']",40.0,Credit,1397.69,False,False
19,24/05,"['I-FUNDS TR FROM SA', 'Joeychu', 'CHU WAI YEE']",56.0,Credit,1357.69,False,False
20,23/05,"['I-FUNDS TR FROM SA', 'weiwei hah', 'HAH FUNG WEI']",52.0,Credit,1301.69,False,False
21,23/05,"['I-FUNDS TR FROM SA', 'carrotmilk___', 'LEONG MUN YEE']",73.9,Credit,1249.69,False,False
22,23/05,"['I-FUNDS TR FROM SA', 'phei520', 'JESSLYN LIM XIN PHEI']",29.9,Credit,1175.79,False,False
23,23/05,"['INSTANT TRANSFER', 'yukiiiic__', 'YUKI CHONG']",56.0,Credit,1145.89,False,False
24,23/05,"['INSTANT TRANSFER', 'Xinyeechoong', 'CHOONG XIN YEE']",55.9,Credit,1089.89,False,False
25,22/05,"['INSTANT TRANSFER', 'TEE004 Basic White', 'ANDREA QUEK MENG LI']",29.9,Credit,1033.99,False,False
26,22/05,"['INSTANT TRANSFER', 'choyshan', 'YAP CHOY SHAN']",99.9,Credit,1004.09,False,False
27,22/05,"['INSTANT TRANSFER', 'WONG JING YI', 'WONG JING YI']",29.9,Credit,904.19,False,False
28,22/05,"['INSTANT TRANSFER', 'Savings', 'TER CHEN HUI']",88.0,Credit,874.29,False,False
29,22/05,"['I-FUNDS TR FROM SA', 'joeychu', 'CHU WAI YEE']",34.0,Credit,786.29,False,False
30,22/05,"['INSTANT TRANSFER', 'WONG JING YI', 'WONG JING YI']",26.0,Credit,752.29,False,False
