,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,66137.99,False,False
1,31/01,['CREDIT PROFIT/HIBAH'],5.45,Credit,59789.08,False,False
2,30/01,"['IBG CREDIT', 'BALANCE PAYMENT FOR', '915', 'BALANCE PAYMENT FOR', 'PRISM TECH PRIVATE L']",6477.68,Credit,59783.63,False,False
3,28/01,"['AUTOPAY CR', 'BIZ BOOSTER NB(DEC19)', 'BIZ BOOSTER NB(DEC19', 'CIMB BANK BERHAD - C']",14.87,Credit,53305.95,False,False
4,24/01,"['TR IBG', 'cheong huei ling', 'PETTY CASH']",5000.0,Debit,53291.08,False,False
5,24/01,"['OTHER TRANSFER FEE', 'PETTY CASH', 'PETTY CASH']",0.1,Debit,58291.08,False,False
6,24/01,"['TR IBG', 'Loo Wan Er', 'payroll adj 202001']",88.3,Debit,58291.18,False,False
7,24/01,"['OTHER TRANSFER FEE', 'payroll adj 202001 payroll adj 202001']",0.1,Debit,58379.48,False,False
8,24/01,"['TR IBG', 'PERBADANAN PENGURUSA', 'c1009n08']",1145.3,Debit,58379.58,False,False
9,24/01,"['OTHER TRANSFER FEE', 'c1009n08', '10008609n10n496n7']",0.1,Debit,59524.88,False,False
10,24/01,"['TR IBG', 'PHANG KAH MENG', 'payroll adj 202001']",576.0,Debit,59524.98,False,False
11,24/01,"['OTHER TRANSFER FEE', 'payroll adj 202001 payroll adj 202001']",0.1,Debit,60100.98,False,False
12,24/01,"['I-PAYMENT', 'Pay to INDAH WATER: 99279689', '1118']",58.0,Debit,60101.08,False,False
13,24/01,"['TR IBG', 'JJ PROVIDER SDN BHD', 'diif sum deposit']",600.0,Debit,60159.08,False,False
14,24/01,"['OTHER TRANSFER FEE', 'diif sum deposit diif sum deposit']",0.1,Debit,60759.08,False,False
15,24/01,"['I-PAYMENT', 'Pay to INDAH WATER: 99279671', '1073']",58.0,Debit,60759.18,False,False
16,24/01,"['TR TO SAVINGS', 'CHAN LI XIN', 'CHRISTMAS GIFT WIN']",682.38,Debit,60817.18,False,False
17,23/01,['AUTOPAY CHARGES'],1.6,Debit,61499.56,False,False
18,23/01,['AUTOPAY CHARGES'],0.3,Debit,61501.16,False,False
19,23/01,"['AUTOPAY DR', 'U2020012304487', 'RTB2001230061850896.TXT', '2001230061850896']",81708.09,Debit,61501.46,False,False
20,21/01,['CHQ PROCESSING FEE'],0.5,Debit,143209.55,False,False
21,21/01,['HOUSE CHQ DR'],20629.86,Debit,143210.05,False,False
22,21/01,"['IBG CREDIT', 'PY11777582', '701', 'PY11777582', 'INSTAREM MALAYSIA SD']",101250.03,Credit,163839.91,False,False
23,21/01,"['IBG CREDIT', 'DAQ GLOBAL', '795', 'DAQ GLOBAL', 'DAQ LOGISTICS SDN BH']",3900.0,Credit,62589.88,False,False
24,21/01,"['TR IBG', 'phang kah meng', 'MBB CC VISA']",1255.44,Debit,58689.88,False,False
25,21/01,"['OTHER TRANSFER FEE', 'MBB CC VISA', 'MBB CC VISA']",0.1,Debit,59945.32,False,False
26,21/01,"['TR IBG', 'phang kah meng', 'MBB CC AMEX']",250.0,Debit,59945.42,False,False
27,21/01,"['OTHER TRANSFER FEE', 'MBB CC AMEX', 'MBB CC AMEX']",0.1,Debit,60195.42,False,False
28,21/01,"['INSTANT TRANSFER', '00390203', 'DESIRE LIFESTYLE SDN']",3500.0,Credit,60195.52,False,False
29,20/01,['CHQ PROCESSING FEE'],0.5,Debit,56695.52,False,False
30,20/01,['CLRG CHQ DR'],1420.0,Debit,56696.02,False,False
