,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,35754.21,False,False
1,30/06,['CREDIT PROFIT/HIBAH'],5.51,Credit,4805.33,False,False
2,30/06,"['TR FROM CA', 'BMS Fest', 'BMS Fest', 'THE GOLDEN ERA SDN.']",2500.0,Credit,4799.82,False,False
3,30/06,['AUTOPAY CHARGES'],1.6,Debit,2299.82,False,False
4,30/06,['AUTOPAY CHARGES'],0.4,Debit,2301.42,False,False
5,30/06,"['AUTOPAY DR', 'U2020063005119', 'RTB2006300070408424.TXT', '2006300070408424']",73280.03,Debit,2301.82,False,False
6,30/06,"['TR TO SAVINGS', 'CHEONG HUEI LING', 'cash']",10584.63,Debit,75581.85,False,False
7,30/06,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', '20200629152612_80950']",1612.5,Debit,86166.48,False,False
8,30/06,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'PETF20001705']",6727.6,Debit,87778.98,False,False
9,30/06,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', '20200629152851_26072']",286.8,Debit,94506.58,False,False
10,30/06,"['I-PAYMENT', 'FPXPAY KUMPULAN WANG SIMPANAN', 'PEKERJA', '0620200019310035C113']",25149.0,Debit,94793.38,False,False
11,29/06,"['TR TO SAVINGS', 'CHEONG HUEI LING', 'cash']",7820.93,Debit,119942.38,False,False
12,25/06,"['IBG CREDIT', 'BLISS WEBSITE DESIGN', '078', 'BLISS WEBSITE DESIGN', 'BLISS COMMERCE SDN B']",2500.0,Credit,127763.31,False,False
13,24/06,"['TR FROM CA', 'MORANE GLOBAL', 'MORANE GLOBAL', 'MORANE GLOBAL SDN.']",6360.0,Credit,125263.31,False,False
14,23/06,"['INSTANT TRANSFER', '00414474', 'VANZO ASIA SDN. BHD.']",6678.0,Credit,118903.31,False,False
15,22/06,"['INSTANT TRANSFER', 'Fund transfer', 'LIM KIAN HENG']",127.2,Credit,112225.31,False,False
16,22/06,"['REMITTANCE CR', '/ROC/EMAIL MARKETIN BOBBY', 'GADGET PTE. LT', 'EMAIL MARKETING', 'BOBBY GADGET PTE. LT']",42779.86,Credit,112098.11,False,False
17,18/06,"['IBG CREDIT', '202006-00009', '220', '202006-00009', 'DMB TECH SDN BHD']",12243.0,Credit,69318.25,False,False
18,17/06,"['JOMPAY', '1030850273', '76H1NRQ08888', '76H1NRQ08888', '1030850273']",348.75,Debit,57075.25,False,False
19,17/06,"['TR IBG', 'BLUE SOLUTIONS SDN B', 'mr193350 n999']",281.7,Debit,57424.0,False,False
20,17/06,"['OTHER TRANSFER FEE', 'mr193350 n999 mr193350sapr may']",0.1,Debit,57705.7,False,False
21,17/06,"['I-PAYMENT', 'FPXPAY TT DOTCOM SDN BHD 01', 'FPX03652622249270507']",358.28,Debit,57705.8,False,False
22,16/06,"['INSTANT TRANSFER', '00294214', 'DESIRE LIFESTYLE SDN']",2000.0,Credit,58064.08,False,False
23,15/06,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'C 2396517900']",5834.0,Debit,56064.08,False,False
24,15/06,"['INSTANT TRANSFER', 'inv202005-00009', 'AMAZING BABY STUDIO']",3339.0,Credit,61898.08,False,False
25,15/06,"['INSTANT TRANSFER', 'Kedaz Inv wavely apr', 'HENG ZH FENG']",4611.0,Credit,58559.08,False,False
26,12/06,"['REMITTANCE CR', '/ROC/INV-2020006-00 PRISM TECH', 'PRIVATE L', 'INV-2020006-00001 TH', 'PRISM TECH PRIVATE L']",16313.22,Credit,53948.08,False,False
27,10/06,"['IBG CREDIT', 'PY13184951', '544', 'PY13184951', 'NIUM SDN. BHD.']",5751.45,Credit,37634.86,False,False
28,10/06,"['TR IBG', 'JJ PROVIDER SDN BHD', 'nexisc1009jun']",3290.0,Debit,31883.41,False,False
29,10/06,"['OTHER TRANSFER FEE', 'nexisc1009jun nexisc1009jun']",0.1,Debit,35173.41,False,False
30,10/06,"['TR IBG', 'ZAINUDIN BIN KARJAN', 'nexisc1008jun']",3700.0,Debit,35173.51,False,False
31,10/06,"['OTHER TRANSFER FEE', 'nexisc1008jun nexisc1008jun']",0.1,Debit,38873.51,False,False
32,05/06,"['INSTANT TRANSFER', '00123966', 'DESIRE LIFESTYLE SDN']",990.0,Credit,38873.61,False,False
33,04/06,['2D LOCAL CHQ'],3180.0,Credit,37883.61,False,False
34,02/06,"['TR IBG', 'LEE KE XIN', 'FB Account Rental']",200.0,Debit,34703.61,False,False
35,02/06,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,34903.61,False,False
36,02/06,"['TR IBG', 'CHIN YUEN KUAN', 'FB Account Rental']",200.0,Debit,34903.71,False,False
37,02/06,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,35103.71,False,False
38,02/06,"['TR IBG', 'TAN YONG KIM', 'FB Account Rental']",200.0,Debit,35103.81,False,False
39,02/06,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,35303.81,False,False
40,02/06,"['TR IBG', 'ANNABELLE LEONG KAR', 'FB Account Rental']",200.0,Debit,35303.91,False,False
