,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,3347.86,False,False
1,31/05,['CREDIT PROFIT/HIBAH'],5.5,Credit,35754.21,False,False
2,31/05,"['TR FROM CA', 'BMS Fest', 'BMS Fest', 'THE GOLDEN ERA SDN.']",2500.0,Credit,35748.71,False,False
3,29/05,['AUTOPAY CHARGES'],1.7,Debit,33248.71,False,False
4,29/05,['AUTOPAY CHARGES'],0.3,Debit,33250.41,False,False
5,29/05,"['AUTOPAY DR', 'U2020052904027', 'RTB2005290068550695.TXT', '2005290068550695']",93772.86,Debit,33250.71,False,False
6,29/05,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'PETE20003398']",6907.8,Debit,127023.57,False,False
7,29/05,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', '20200529155559_25746']",284.8,Debit,133931.37,False,False
8,29/05,"['I-PAYMENT', 'FPXPAY KUMPULAN WANG SIMPANAN', 'PEKERJA', '0520200019310035C112']",25954.0,Debit,134216.17,False,False
9,29/05,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', '20200529155239_73461']",1601.2,Debit,160170.17,False,False
10,28/05,"['IBG CREDIT', 'PY12945779', '649', 'PY12945779', 'NIUM SDN. BHD.']",67500.07,Credit,161771.37,False,False
11,28/05,"['IBG CREDIT', 'PY12945780', '646', 'PY12945780', 'NIUM SDN. BHD.']",67500.07,Credit,94271.3,False,False
12,27/05,"['INSTANT TRANSFER', '00407500', 'VANZO ASIA SDN. BHD.']",3339.0,Credit,26771.23,False,False
13,27/05,"['TR IBG', 'Sin Jun Luo', 'inv 001 fb rent']",450.0,Debit,23432.23,False,False
14,27/05,"['OTHER TRANSFER FEE', 'inv 001 fb rent inv 001 fb rent']",0.1,Debit,23882.23,False,False
15,27/05,"['TR IBG', 'PHANG KAH MENG', 'profit']",25000.0,Debit,23882.33,False,False
16,27/05,"['OTHER TRANSFER FEE', 'profit', 'profit']",0.1,Debit,48882.33,False,False
17,27/05,"['TR IBG', 'PHANG KAH MENG', 'cash']",5706.28,Debit,48882.43,False,False
18,27/05,"['OTHER TRANSFER FEE', 'cash', 'cash']",0.1,Debit,54588.71,False,False
19,27/05,"['TR IBG', 'PHANG KAH MENG', 'dell laptop']",7298.99,Debit,54588.81,False,False
20,27/05,"['OTHER TRANSFER FEE', 'dell laptop dell laptop']",0.1,Debit,61887.8,False,False
21,27/05,"['TR IBG', 'Liew Sen Yik', 'profit']",25000.0,Debit,61887.9,False,False
22,27/05,"['OTHER TRANSFER FEE', 'profit', 'profit']",0.1,Debit,86887.9,False,False
23,21/05,"['REMITTANCE CR', '/ROC/INV-202005-000 PRISM TECH', 'PRIVATE L', 'INV-202005-0005 PAYM', 'PRISM TECH PRIVATE L']",12983.3,Credit,86888.0,False,False
24,18/05,"['TR IBG', 'vixcom technology so', 'IV17409']",420.0,Debit,73904.7,False,False
25,18/05,"['OTHER TRANSFER FEE', 'IV17409', 'IV17409']",0.1,Debit,74324.7,False,False
26,18/05,"['INSTANT TRANSFER', 'Bal payment 20200400005', 'AMAZING BABY STUDIO']",1590.0,Credit,74324.8,False,False
27,16/05,"['INSTANT TRANSFER', '00245807', 'DESIRE LIFESTYLE SDN']",2000.0,Credit,72734.8,False,False
28,16/05,"['INSTANT TRANSFER', '00245788', 'DESIRE LIFESTYLE SDN']",850.0,Credit,70734.8,False,False
29,15/05,"['I-PAYMENT', 'FPXPAY JABATAN KASTAM DIRAJA', 'MALAYSIA', '20200515014026']",5430.68,Debit,69884.8,False,False
30,15/05,"['MISCELLANEOUS CHARGES', 'FPXPAY JABATAN KASTAM DIRAJA', 'MALAYSIA']",1.0,Debit,75315.48,False,False
31,15/05,"['TR IBG', 'vixcom technology so', 'iv17404n5']",735.0,Debit,75316.48,False,False
32,15/05,"['OTHER TRANSFER FEE', 'iv17404n5', 'iv17404n5']",0.1,Debit,76051.48,False,False
33,14/05,"['TR IBG', 'ZAINUDIN BIN KARJAN', '202005c1008']",3400.0,Debit,76051.58,False,False
34,14/05,"['OTHER TRANSFER FEE', '202005c1008', '202005c1008']",0.1,Debit,79451.58,False,False
35,13/05,"['IBG CREDIT', 'INV-202005-00001 PAY', '418', 'INV-202005-00001 PAY', 'PRISM TECH PRIVATE L']",5182.28,Credit,79451.68,False,False
36,12/05,"['TR IBG', 'PERBADANAN PENGURUSA', 'C1008N09']",1278.75,Debit,74269.4,False,False
37,12/05,"['OTHER TRANSFER FEE', 'C1008N09', 'MAR APR']",0.1,Debit,75548.15,False,False
38,12/05,"['TR IBG', 'BLUE SOLUTIONS SDN B', 'MR192645']",559.47,Debit,75548.25,False,False
39,12/05,"['OTHER TRANSFER FEE', 'MR192645', 'DECTOMAR']",0.1,Debit,76107.72,False,False
40,12/05,"['TR TO C/A', '98992000356023 COWAY (MALAYSIA)', 'SD', '98992000356023 BR413']",132.0,Debit,76107.82,False,False
