,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,59789.08,False,False
1,29/02,['CREDIT PROFIT/HIBAH'],6.63,Credit,58228.39,False,False
2,28/02,['HSE CHQ DEPOSIT'],1500.0,Credit,58221.76,False,False
3,28/02,"['TR IBG', 'PHANG KAH MENG', 'repay']",45000.0,Debit,56721.76,False,False
4,28/02,"['OTHER TRANSFER FEE', 'repay', 'repay']",0.1,Debit,101721.76,False,False
5,28/02,"['INSTANT TRANSFER', 'INV-202002-00016', 'ZMG MOTORS SDN. BHD.']",4000.0,Credit,101721.86,False,False
6,28/02,['AUTOPAY CHARGES'],1.7,Debit,97721.86,False,False
7,28/02,['AUTOPAY CHARGES'],0.3,Debit,97723.56,False,False
8,28/02,"['AUTOPAY DR', 'U2020022804203', 'RTB2002280063950795.TXT', '2002280063950795']",122643.84,Debit,97723.86,False,False
9,28/02,"['TR TO SAVINGS', 'CHEONG HUEI LING', 'petty cash']",4000.0,Debit,220367.7,False,False
10,28/02,"['TR IBG', 'LIM PEI WEN', 'feb copy writing']",90.0,Debit,224367.7,False,False
11,28/02,"['OTHER TRANSFER FEE', 'feb copy writing feb copy writing']",0.1,Debit,224457.7,False,False
12,27/02,['2D LOCAL CHQ'],10000.0,Credit,224457.8,False,False
13,26/02,"['IBG CREDIT', 'PY12068074', '521', 'PY12068074', 'INSTAREM MALAYSIA SD']",67500.04,Credit,214457.8,False,False
14,26/02,['2D LOCAL CHQ'],5883.0,Credit,146957.76,False,False
15,25/02,"['INSTANT TRANSFER', 'softsnug and supermama', 'T&L SLIMMING GLOBAL']",12515.0,Credit,141074.76,False,False
16,24/02,"['TR TO C/A', 'ZEN NETWORK RESOURC', 'ZQ20021']",300.0,Debit,128559.76,False,False
17,19/02,"['INSTANT TRANSFER', '00014', 'AMAZING BABY STUDIO']",6042.0,Credit,128859.76,False,False
18,18/02,"['IBG CREDIT', 'PY11957264', '375', 'PY11957264', 'INSTAREM MALAYSIA SD']",67499.89,Credit,122817.76,False,False
19,18/02,"['INSTANT TRANSFER', '00298453', 'DESIRE LIFESTYLE SDN']",2000.0,Credit,55317.87,False,False
20,17/02,"['INSTANT TRANSFER', '00276927', 'VANZO ASIA SDN. BHD.']",600.0,Credit,53317.87,False,False
