,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,118479.61,False,False
1,30/04,['CREDIT PROFIT/HIBAH'],6.09,Credit,3347.86,False,False
2,30/04,"['I-PAYMENT', 'FPXPAY KUMPULAN WANG SIMPANAN', 'PEKERJA', '0420200019310035C112']",27243.0,Debit,3341.77,False,False
3,30/04,"['INSTANT TRANSFER', 'MYCN200430612269', '6IXTY MEDIA PLT']",24000.0,Credit,30584.77,False,False
4,30/04,"['INSTANT TRANSFER', 'CIMB', 'WAVELY LABS SDN. BHD']",5000.0,Credit,6584.77,False,False
5,30/04,"['TR IBG', 'SHAZA NURMELINA BINT', 'BM Freelance Writer']",120.0,Debit,1584.77,False,False
6,30/04,"['OTHER TRANSFER FEE', 'BM Freelance Writer BM Freelance Writer']",0.1,Debit,1704.77,False,False
7,30/04,"['TR IBG', 'TAN YONG KIM', 'FB Account Rental']",200.0,Debit,1704.87,False,False
8,30/04,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,1904.87,False,False
9,30/04,"['TR IBG', 'FOONG QIAO-HUI', 'FB Account Rental']",200.0,Debit,1904.97,False,False
10,30/04,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,2104.97,False,False
11,30/04,"['TR IBG', 'CHIN YUEN KUAN', 'FB Account Rental']",200.0,Debit,2105.07,False,False
12,30/04,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,2305.07,False,False
13,30/04,"['TR IBG', 'ANNABELLE LEONG KAR', 'FB Account Rental']",200.0,Debit,2305.17,False,False
14,30/04,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,2505.17,False,False
15,30/04,"['TR IBG', 'LEE KE XIN', 'FB Account Rental']",200.0,Debit,2505.27,False,False
16,30/04,"['OTHER TRANSFER FEE', 'FB Account Rental FB Account Rental']",0.1,Debit,2705.27,False,False
17,30/04,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', 'CP20200429174036_134']",1676.5,Debit,2705.37,False,False
18,30/04,"['TR FROM CA', 'BMS Fest', 'BMS Fest', 'THE GOLDEN ERA SDN.']",4000.0,Credit,4381.87,False,False
19,29/04,['AUTOPAY CHARGES'],1.7,Debit,381.87,False,False
20,29/04,['AUTOPAY CHARGES'],0.3,Debit,383.57,False,False
21,29/04,"['AUTOPAY DR', 'U2020042902580', 'RTB2004290066919500.TXT', '2004290066919500']",96552.02,Debit,383.87,False,False
22,29/04,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'PETD20003060']",6923.65,Debit,96935.89,False,False
23,29/04,"['I-PAYMENT', 'FPXPAY PERTUBUHAN KESELAMATAN', 'SOSIAL', '20200429173714_25405']",298.2,Debit,103859.54,False,False
24,23/04,"['INSTANT TRANSFER', '00241237', 'DESIRE LIFESTYLE SDN']",2500.0,Credit,104157.74,False,False
25,22/04,"['INSTANT TRANSFER', '00229749', 'VANZO ASIA SDN. BHD.']",5088.0,Credit,101657.74,False,False
26,21/04,"['AUTOPAY CR', 'BIZ BOOSTER NB(FEB20)', 'BIZ BOOSTER NB(FEB20', 'CIMB BANK BERHAD - C']",84.49,Credit,96569.74,False,False
27,20/04,"['REMITTANCE CR', '/ROC/EMAIL MARKETIN BOBBY', 'GADGET PTE. LT', 'EMAIL MARKETING 1219', 'BOBBY GADGET PTE. LT']",37419.0,Credit,96485.25,False,False
28,20/04,"['TR IBG', 'Liew Sen Yik', 'DIV']",15000.0,Debit,59066.25,False,False
29,20/04,"['OTHER TRANSFER FEE', 'DIV', 'DIV']",0.1,Debit,74066.25,False,False
30,20/04,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'C 2396517900']",5834.0,Debit,74066.35,False,False
31,20/04,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'C 2396517900']",5834.0,Debit,79900.35,False,False
32,20/04,"['I-PAYMENT', 'FPXPAY LEMBAGA HASIL DALAM', 'NEGERI MAL', 'C 2396517900']",5834.0,Debit,85734.35,False,False
33,20/04,"['TR IBG', 'PHANG KAH MENG', 'DIV']",15000.0,Debit,91568.35,False,False
34,20/04,"['OTHER TRANSFER FEE', 'DIV', 'DIV']",0.1,Debit,106568.35,False,False
35,15/04,['2D LOCAL CHQ'],6360.0,Credit,106568.45,False,False
36,13/04,"['TR FROM CA', 'MORANE GLOBAL', 'MORANE GLOBAL', 'MORANE GLOBAL SDN.']",10600.0,Credit,100208.45,False,False
37,11/04,"['INSTANT TRANSFER', '00131681', 'DESIRE LIFESTYLE SDN']",2000.0,Credit,89608.45,False,False
38,09/04,"['TR FROM CA', 'INV 202003 00003', 'INV 202003 00003', 'LYC MOTHER & CHILD C']",636.0,Credit,87608.45,False,False
39,09/04,"['IBG CREDIT', 'PY12487117', '544', 'PY12487117', 'NIUM SDN. BHD.']",67500.03,Credit,86972.45,False,False
40,08/04,"['TR IBG', 'phang kah meng', 'mbb corp visa']",1944.61,Debit,19472.42,False,False
41,08/04,"['OTHER TRANSFER FEE', 'mbb corp visa mbb corp visa']",0.1,Debit,21417.03,False,False
42,07/04,"['TR IBG', 'JJ PROVIDER SDN BHD', 'rental 202004']",4700.0,Debit,21417.13,False,False
43,07/04,"['OTHER TRANSFER FEE', 'rental 202004 rental 202004']",0.1,Debit,26117.13,False,False
44,07/04,"['TR IBG', 'ZAINUDIN BIN KARJAN', 'rental 202004']",4000.0,Debit,26117.23,False,False
45,07/04,"['OTHER TRANSFER FEE', 'rental 202004 rental 202004']",0.1,Debit,30117.23,False,False
46,02/04,"['IBG CREDIT', 'BRINGS MARKETING', '707', 'BRINGS MARKETING', 'BRINGS MARKETING']",3180.0,Credit,30117.33,False,False
47,01/04,"['INSTANT TRANSFER', 'inv202003-00012', 'AMAZING BABY STUDIO']",6360.0,Credit,26937.33,False,False
48,01/04,['AUTOPAY CHARGES'],1.7,Debit,20577.33,False,False
49,01/04,['AUTOPAY CHARGES'],0.4,Debit,20579.03,False,False
50,01/04,"['AUTOPAY DR', 'U2020040102473', 'RTB2004010065803519.TXT', '2004010065803519']",97900.18,Debit,20579.43,False,False
51,,['CLOSING BALANCE'],,,3347.86,False,False
52,,['Total Withdrawal'],,,289865.36,False,False
53,,['Total Deposits'],,,174733.61,False,False
