,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,266825.65,False,False
1,26/11,['Cheque Processing Fee'],0.5,Debit,266825.15,False,False
2,26/11,"['Cr Adv -Returned Interbank GIRO', 'INV-0415-15007', 'R04Account not found', 'IBGCMSPBB25112019424114']",1104.0,Credit,267929.15,False,False
3,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,267929.05,False,False
4,29/11,"['Connect BIZ IBG', 'INV 2019-0011', 'STELLAR AVL SOLUTION', 'IBGCMSMBB29112019512726']",1952.0,Debit,265977.05,False,False
5,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,265976.95,False,False
6,29/11,"['Connect BIZ IBG', 'INV2019-0010', 'STELLAR AVL SOLUTION', 'IBGCMSMBB29112019512652']",7779.05,Debit,258197.9,False,False
7,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,258197.8,False,False
8,29/11,"['Connect BIZ IBG', 'AJU82 SERVICE', 'LOW MIEW FONG', 'IBGCMSHSBC29112019512532']",650.65,Debit,257547.15,False,False
9,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,257547.05,False,False
10,29/11,"['Connect BIZ IBG', 'I-B16*INV303014', 'SAMSUNG TV', 'ONKING CHAIN-STORE (', 'IBGCMSPBB29112019512488']",7660.0,Debit,249887.05,False,False
11,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,249886.95,False,False
12,29/11,"['Connect BIZ IBG', 'INV 00988', 'SAM AUDIO VIDEO SERV', 'IBGCMSPBB29112019512266']",150.0,Debit,249736.95,False,False
13,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,249736.85,False,False
14,29/11,"['Connect BIZ IBG', 'oct salary', 'cheng ten siong', 'IBGCMSHSBC29112019518260']",4422.35,Debit,245314.5,False,False
15,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,245314.4,False,False
16,29/11,"['Connect BIZ IBG', 'oct salary', 'low miew fong', 'IBGCMSHSBC29112019518206']",2649.35,Debit,242665.05,False,False
17,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,242664.95,False,False
18,29/11,"['Connect BIZ IBG', 'visa credit card', 'low miew fong', 'IBGCMSHSBC29112019518176']",1602.4,Debit,241062.55,False,False
19,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,241062.45,False,False
20,29/11,"['Connect BIZ IBG', 'office renovation', 'wong wei sun', 'IBGCMSPBB29112019518132']",2800.0,Debit,238262.45,False,False
21,29/11,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,238262.35,False,False
22,29/11,"['Connect BIZ IBG', 'bgn 66', 'eight two audio cons', 'IBGCMSPBB29112019518632']",2600.0,Debit,235662.35,False,False
23,29/11,"['Connect BIZ Loan Repayment', 'LOW MIEW FONG']",3500.0,Debit,232162.35,False,False
24,29/11,"['Fund Transfer at DIO', 'I-001692', 'FINAL INSTALMENT', 'GREATFUN ENTERTAINMENT SDN BHD']",9600.0,Credit,241762.35,False,False
25,30/11,"['Instant Transfer at KLM', 'Seong Renovation', 'Refund RM1400', 'WONG WEI SUN', '20191130PBBEMYKL010ORB01196559']",1400.0,Credit,243162.35,False,False
26,02/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,243162.25,False,False
27,02/12,"['Connect BIZ IBG', '1021178P/MY00017348', 'INV M001889764', 'SHELL MALAYSIA TRADI', 'IBGCMSSCB02122019548786']",1320.0,Debit,241842.25,False,False
28,02/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,241842.15,False,False
29,02/12,"['Connect BIZ IBG', 'PETTY CASH', 'LOW MIEW FONG', 'IBGCMSHSBC02122019548638']",771.0,Debit,241071.15,False,False
30,03/12,"['416113', 'Inclearing-Cheque']",1725.0,Debit,239346.15,False,False
31,04/12,['Cheque Processing Fee'],0.5,Debit,239345.65,False,False
32,04/12,"['254716', 'Local Cheque (RPC) at PCJ']",20601.6,Credit,259947.25,False,False
33,05/12,"['Connect BIZ Fund Transfer', 'klinik lee', 'KLINIK LEE']",148.0,Debit,259799.25,False,False
34,05/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,259799.15,False,False
