,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,244806.86,False,False
1,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,244806.76,False,False
2,27/12,"['Connect BIZ IBG', 'CNY GIFT', 'JACKY LOW CHIN FAI', 'IBGCMSMBB27122019914220']",596.0,Debit,244210.76,False,False
3,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,244210.66,False,False
4,27/12,"['Connect BIZ IBG', 'I-1527/19', 'QUICKSTORM IT SOLUTI', 'IBGCMSMBB27122019914428']",2170.0,Debit,242040.66,False,False
5,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,242040.56,False,False
6,27/12,"['Connect BIZ IBG', 'IV-12497', 'SUPER 56 SDN BHD', 'IBGCMSMBB27122019914506']",864.5,Debit,241176.06,False,False
7,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,241175.96,False,False
8,27/12,"['Connect BIZ IBG', 'I-50845/I-50824', 'CCL ELECTRIC (M) SDN', 'IBGCMSMBB27122019914606']",1140.0,Debit,240035.96,False,False
9,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,240035.86,False,False
10,27/12,"['Connect BIZ IBG', 'hlb credit card', 'low miew fong', 'IBGCMSHSBC27122019914656']",2023.6,Debit,238012.26,False,False
11,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,238012.16,False,False
12,27/12,"['Connect BIZ IBG', 'I-50795', 'CCL ELECTRIC (M) SDN', 'IBGCMSMBB27122019914726']",4110.0,Debit,233902.16,False,False
13,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,233902.06,False,False
14,27/12,"['Connect BIZ IBG', 'I-1410/19', 'QUICKSTORM IT SOLUTI', 'IBGCMSMBB27122019914886']",2300.0,Debit,231602.06,False,False
15,27/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,231601.96,False,False
16,27/12,"['Connect BIZ IBG', 'IV-13390', 'SUPER 56 SDN BHD', 'IBGCMSMBB27122019914998']",882.0,Debit,230719.96,False,False
17,27/12,"['334062', 'Local Cheque (RPC) at TEQ']",20939.0,Credit,251658.96,False,False
18,31/12,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,251658.86,False,False
19,31/12,"['Connect BIZ IBG', 'INV1905114', 'RAINBOW TEN ENTERPRI', 'IBGCMSPBB31122019970941']",1087.2,Debit,250571.66,False,False
