,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,100477.37,False,False
1,26/09,"['FPX B2B1', '0420190018773961C109675029', 'KUMPULAN WANG SIMPANAN PEKERJA', '1909261415300861']",480.0,Debit,99997.37,False,False
2,26/09,"['FPX B2B1', '0520190018773961C109675048', 'KUMPULAN WANG SIMPANAN PEKERJA', '1909261421350247']",744.0,Debit,99253.37,False,False
3,26/09,"['FPX B2B1', '0620190018773961C109675056', 'KUMPULAN WANG SIMPANAN PEKERJA', '1909261423220810']",960.0,Debit,98293.37,False,False
4,26/09,"['205813', 'Local Cheque (RPC) at PCJ']",2000.0,Credit,100293.37,False,False
5,27/09,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,100293.27,False,False
6,27/09,"['Connect BIZ IBG', 'I-01-0919', 'PL EQUIPMENTS SDN BH', 'IBGCMSMBB27092019565526']",10000.0,Debit,90293.27,False,False
7,27/09,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,90293.17,False,False
8,27/09,"['Connect BIZ IBG', 'UTILITY CHARGES', 'LOW MIEW FONG', 'IBGCMSHSBC27092019565204']",2090.2,Debit,88202.97,False,False
9,27/09,"['Cr Adv-Interbank GIRO at KLM', 'INV APR 2019', 'STRONGHOLD CYCLES SDN BHD']",23035.0,Credit,111237.97,False,False
10,28/09,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,111237.87,False,False
11,28/09,"['Connect BIZ IBG', 'JULY STATEMENT', 'STELLAR AVL SOLUTION', 'IBGCMSMBB28092019574722']",10000.0,Debit,101237.87,False,False
12,30/09,"['Cr Adv -Returned Interbank GIRO', 'JULY STATEMENT', 'R04Account not found', 'IBGCMSMBB28092019574722']",10000.0,Credit,111237.87,False,False
13,30/09,"['ATM Interbank Funds Trf to CA', 'INVOICE 001749', 'STELLAR AVL SOLUTION']",450.0,Credit,111687.87,False,False
14,01/10,"['FPX B2B1', '0720190018773961C109704965', 'KUMPULAN WANG SIMPANAN PEKERJA', '1910011302420605']",4416.0,Debit,107271.87,False,False
15,01/10,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,107271.77,False,False
16,01/10,"['Connect BIZ IBG', 'NO 28 JALAN LE 2', 'CHENG TEN SIONG', 'IBGCMSCITI01102019624521']",2540.0,Debit,104731.77,False,False
17,01/10,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,104731.67,False,False
18,01/10,"['Connect BIZ IBG', 'PETTY CASH', 'LOW MIEW FONG', 'IBGCMSHSBC01102019625787']",444.64,Debit,104287.03,False,False
19,01/10,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,104286.93,False,False
20,01/10,"['Connect BIZ IBG', 'REF#19035', 'BLUESBRED MUSIC', 'IBGCMSMBB01102019625505']",600.0,Debit,103686.93,False,False
21,02/10,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,103686.83,False,False
22,02/10,"['Connect BIZ IBG', 'JULY STATEMENT', 'STELLAR AVL SOLUTION', 'IBGCMSMBB02102019639545']",10000.0,Debit,93686.83,False,False
23,02/10,['Serv Charge-IBG/TT/Rentas/Misc'],0.1,Debit,93686.73,False,False
24,02/10,"['Connect BIZ IBG', 'MY00017348', '1021178-P', 'SHELL MALAYSIA TRADI', 'IBGCMSSCB02102019642845']",321.31,Debit,93365.42,False,False
25,02/10,"['FPX B2B1', 'C 2370057501', 'LEMBAGA HASIL DALAM NEGERI MAL', '1910021551060008']",666.0,Debit,92699.42,False,False
26,02/10,"['FPX B2B1', 'C 2370057501', 'LEMBAGA HASIL DALAM NEGERI MAL', '1910021549340552']",666.0,Debit,92033.42,False,False
