,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,28294.94,False,False
1,02/04,['Serv Charge-IBG/TT/Rentas/Misc at KLM'],0.1,Debit,28294.84,False,False
2,02/04,"['CIB IBG CA Debit Advice at KLM', 'SALARY MARCH 2020', 'KONG POH WEI', 'KONG POH WEI', 'IBGCMPPBBB2004020000196']",1000.0,Debit,27294.84,False,False
3,03/04,"['CIB Instant Transfer at DIO', 'GDAILY SUPPLY', 'EXPENSESE CLAIM', 'KOH HUI SHAN', '20200403HLBBMYKL010OCB04438130']",1000.0,Debit,26294.84,False,False
4,06/04,"['CIB Instant Transfer at DIO', 'G DAILY SUPPPLY SDN BHD', 'A0294', 'OCCASION FLOWERS', '20200406HLBBMYKL010OCB06038043']",256.0,Debit,26038.84,False,False
5,06/04,"['008603', 'Inclearing-Cheque']",13675.75,Debit,12363.09,False,False
6,07/04,['Cheque Processing Fee'],0.5,Debit,12362.59,False,False
7,08/04,['CA Debit Service Charge (RPC) at SEL'],10.0,Debit,12352.59,False,False
8,08/04,"['CIB Instant Transfer at DIO', 'INV7589', 'COMPACT INV7589', 'COMPACT GENERATION SDN BHD', '20200408HLBBMYKL010OCB07133695']",1244.0,Debit,11108.59,False,False
9,08/04,"['007454', 'House Cheque Debit (RPC) at SEL']",2600.0,Debit,8508.59,False,False
10,08/04,"['007487', 'House Cheque Debit (RPC) at SEL']",1650.0,Debit,6858.59,False,False
11,08/04,"['008604', 'Inclearing-Cheque']",2201.5,Debit,4657.09,False,False
12,08/04,"['008610', 'House Cheque Debit (RPC) at SEL']",1650.0,Debit,3007.09,False,False
13,08/04,"['008611', 'Inclearing-Cheque']",750.0,Debit,2257.09,False,False
14,08/04,"['000019', 'House Cheque (RPC) at SEL']",35777.48,Credit,38034.57,False,False
15,08/04,"['008610', 'House Cheque Return (HCC) at SEL']",1650.0,Credit,39684.57,False,False
16,09/04,['Cheque Processing Fee'],2.5,Debit,39682.07,False,False
17,09/04,"['008612', 'Inclearing-Cheque']",675.0,Debit,39007.07,False,False
18,09/04,"['Cr Adv-Interbank GIRO at KLM', ""INV FEB'20"", 'IV-20-00365,84,448', 'BEST MARINE PRODUCTS SUPPLY SB']",9411.0,Credit,48418.07,False,False
19,10/04,['Cheque Processing Fee'],0.5,Debit,48417.57,False,False
20,13/04,"['CIB Instant Transfer at DIO', 'INVSI204414', 'HARUMI BRANDS SDN BHD', 'DING CHIN LOONG', '20200413HLBBMYKL010OCB09743264']",660.0,Debit,47757.57,False,False
21,13/04,"['008614', 'Inclearing-Cheque']",325.0,Debit,47432.57,False,False
22,13/04,"['000021', 'House Cheque (RPC) at SEL']",24717.64,Credit,72150.21,False,False
23,13/04,"['000136', 'Local Cheque (RPC) at SEL']",295.0,Credit,72445.21,False,False
24,14/04,['Cheque Processing Fee'],0.5,Debit,72444.71,False,False
25,14/04,"['008616', 'Inclearing-Cheque']",5800.0,Debit,66644.71,False,False
26,15/04,['Cheque Processing Fee'],0.5,Debit,66644.21,False,False
27,15/04,"['Fund Transfer at DIO', 'KOH HUI SHAN', 'CHONG MEIN CHEAK', 'CHONG MEIN CHEAK']",10000.0,Debit,56644.21,False,False
28,15/04,"['CIB Instant Transfer at DIO', 'SALARY APRIL 2020', 'KOH HUI SHAN SALARY APRIL', 'KOH HUI SHAN', '20200415HLBBMYKL010OCB10614963']",13322.35,Debit,43321.86,False,False
29,15/04,"['CIB Instant Transfer at DIO', 'G DAILY SUPPLY SDN BHD ELVA', 'JANES PRODUCTION', 'JANES PRODUCTION', '20200415HLBBMYKL010OCB10614979']",5000.0,Debit,38321.86,False,False
30,15/04,"['CIB Instant Transfer at DIO', 'SALARY', 'KOH ENG PART TIME SALARY', 'KOH ENG', '20200415HLBBMYKL010OCB10615011']",1000.0,Debit,37321.86,False,False
31,15/04,"['FPX B2B1', '0420200021684651C112393575', 'KUMPULAN WANG SIMPANAN PEKERJA']",4458.0,Debit,32863.86,False,False
