,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,107164.42,False,False
1,01/02,['Cheque Processing Fee'],0.5,Debit,107163.92,False,False
2,03/02,"['006345', 'House Cheque Debit (RPC) at NLI']",36040.0,Debit,71123.92,False,False
3,03/02,"['007369', 'Inclearing-Cheque']",581.75,Debit,70542.17,False,False
4,03/02,"['007385', 'Inclearing-Cheque']",394.38,Debit,70147.79,False,False
5,03/02,"['007405', 'Inclearing-Cheque']",4339.4,Debit,65808.39,False,False
6,03/02,"['007408', 'Inclearing-Cheque']",629.78,Debit,65178.61,False,False
7,03/02,"['007410', 'Inclearing-Cheque']",98.0,Debit,65080.61,False,False
8,03/02,"['ATM Interbank Funds Trf to CA', 'IV-20-00252', 'INSTANT TRANSFER', 'LOW LAI AN', 'INSTANT TRANSFER']",180.0,Credit,65260.61,False,False
9,03/02,"['032652', 'Local Cheque (RPC) at SLY']",5806.75,Credit,71067.36,False,False
10,04/02,['Cheque Processing Fee'],3.0,Debit,71064.36,False,False
11,04/02,"['007374', 'Inclearing-Cheque']",360.0,Debit,70704.36,False,False
12,04/02,"['007380', 'Inclearing-Cheque']",100.0,Debit,70604.36,False,False
13,04/02,"['Cr Adv-Interbank GIRO at KLM', 'PLOY PYMT FOR DEC19', 'PLOY SDN. BHD.']",4692.8,Credit,75297.16,False,False
14,04/02,"['Cr Adv-Interbank GIRO at KLM', '067 158 237', 'BEBK020427405436', 'MIZUYA (M) SDN BHD']",3102.95,Credit,78400.11,False,False
15,05/02,['Cheque Processing Fee'],1.0,Debit,78399.11,False,False
16,05/02,"['007411', 'House Cheque Debit (RPC) at SLY']",1246.0,Debit,77153.11,False,False
17,05/02,"['Instant Transfer at KLM', 'VECTORY INNOVATION', 'VECTORY INNOVATION SDN BH', '20200205MBBEMYKL010ORB08887998']",1320.0,Credit,78473.11,False,False
18,06/02,['Cheque Processing Fee'],0.5,Debit,78472.61,False,False
