,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,132782.14,False,False
1,01/07,['Cheque Processing Fee'],0.5,Debit,132781.64,False,False
2,01/07,"['CIB Instant Transfer at DIO', 'SALARY JUNE 2019', 'HAIRUL JUNE SALARY', 'NORHAIRUL BIN RIDZUA', '20200701HLBBMYKL010OCB58119698']",1942.95,Debit,130838.69,False,False
3,01/07,"['CIB Instant Transfer at DIO', 'G DAILY SUPPLY', 'FNB CONSULTANT FEE', 'LEE BENG HUAT', '20200701HLBBMYKL010OCB58119706']",5000.0,Debit,125838.69,False,False
4,01/07,"['CIB Instant Transfer at DIO', 'G DAILY SUPPLY', 'HOU KEONG CONSTRUCTION', 'HOU KEONG CONSTRUCTION S', '20200701HLBBMYKL010OCB58119710']",100000.0,Debit,25838.69,False,False
5,01/07,"['007542', 'Inclearing-Cheque']",6600.0,Debit,19238.69,False,False
6,01/07,"['008656', 'Inclearing-Cheque']",27.0,Debit,19211.69,False,False
7,01/07,"['Instant Transfer at KLM', 'SABA FISH', 'IN THE CLOUDS CAKES & EVE', '20200701MBBEMYKL010ORB01587392']",255.0,Credit,19466.69,False,False
8,01/07,"['Cr Adv-Interbank GIRO at KLM', 'IV-20-00851', 'WONDERFUL AQUATIC', 'WONDERFUL AQUATIC SD']",11906.0,Credit,31372.69,False,False
9,01/07,"['Instant Transfer at KLM', 'G DAILY', 'CREAMY CROPS SDN BHD', '20200701MBBEMYKL010ORB02881180']",198.0,Credit,31570.69,False,False
10,01/07,"['Cr Adv-Interbank GIRO at KLM', 'M2020070109330935112', 'AXIATA DIGITAL ECODE SDN. BHD.']",151.0,Credit,31721.69,False,False
11,02/07,['Cheque Processing Fee'],1.0,Debit,31720.69,False,False
12,02/07,"['CIB Instant Transfer at DIO', 'JUNE 2020 SALARY', 'TAN JIA YIN SALARY JUNE 2020', 'TAN JIA YIN', '20200702HLBBMYKL010OCB58856812']",2501.75,Debit,29218.94,False,False
13,02/07,"['Fund Transfer at DIO', 'IV-00654,850,868,917', 'SAMONYU SDN BHD']",13373.0,Credit,42591.94,False,False
14,02/07,"['Cr Adv-Interbank GIRO at KLM', 'M2020070209532153796', 'AXIATA DIGITAL ECODE SDN. BHD.']",156.8,Credit,42748.74,False,False
15,02/07,"['000827', 'Local Cheque (RPC) at PNT']",3241.15,Credit,45989.89,False,False
16,02/07,"['030596', 'Local Cheque (RPC) at MVL']",7002.09,Credit,52991.98,False,False
17,02/07,"['031513', 'Local Cheque (RPC) at PNT']",1528.08,Credit,54520.06,False,False
18,03/07,"['007539', 'Inclearing-Cheque']",3776.53,Debit,50743.53,False,False
19,03/07,"['007541', 'Inclearing-Cheque']",2583.04,Debit,48160.49,False,False
20,03/07,['CDM Deposit at SEL'],10000.0,Credit,58160.49,False,False
21,03/07,['CDM Deposit at SEL'],10000.0,Credit,68160.49,False,False
22,03/07,['CDM Deposit at SEL'],9950.0,Credit,78110.49,False,False
23,03/07,['CDM Deposit at SEL'],15400.0,Credit,93510.49,False,False
24,03/07,['CDM Deposit at SEL'],2150.0,Credit,95660.49,False,False
25,03/07,"['Cr Adv-Interbank GIRO at KLM', 'pei chen unagi', 'BEBK070290529930', 'ANG PEI CHEN']",1375.0,Credit,97035.49,False,False
26,03/07,"['Instant Transfer at KLM', 'PAYMENT OF JUN20', 'Y SEN FOOD VENTURE SDN BHD', '20200703PBBEMYKL010OCB17348839']",3120.0,Credit,100155.49,False,False
27,03/07,"['Cr Adv-Interbank GIRO at KLM', 'IG200703628723', 'Outward ACH from FIS', 'FISH & CO. RESTAURANTS (M) SDN BHD']",4940.0,Credit,105095.49,False,False
28,04/07,['Cheque Processing Fee'],1.0,Debit,105094.49,False,False
29,04/07,"['Instant Transfer at KLM', 'JM RETAILS MANAGEMENT (US', '20200704MBBEMYKL010ORB07449806']",330.0,Credit,105424.49,False,False
30,05/07,"['CIB Instant Transfer at DIO', 'SALARY JUNE 2020', 'KOH HUI SHAN SALARY JUNE', 'KOH HUI SHAN', '20200705HLBBMYKL010OCB61247867']",12390.1,Debit,93034.39,False,False
31,05/07,"['CIB Instant Transfer at DIO', 'GDAILY SUPPLY', 'KOH HUI SHAN', 'KOH HUI SHAN', '20200705HLBBMYKL010OCB61356776']",12382.02,Debit,80652.37,False,False
32,06/07,"['008663', 'Inclearing-Cheque']",4115.12,Debit,76537.25,False,False
33,06/07,"['008664', 'House Cheque Debit (RPC)']",5820.69,Debit,70716.56,False,False
34,06/07,"['Fund Transfer at DIO', 'IV-20-000954,840,897', 'IV-20-00725,CN-00036', 'SAMONYU SDN BHD']",27475.96,Credit,98192.52,False,False
35,06/07,"['Instant Transfer at KLM', 'Joloko inv 20 00899', 'A MILLION SCOVILLE S', '20200706MFBBMYKL010OCB30803889']",345.0,Credit,98537.52,False,False
36,06/07,"['Instant Transfer at KLM', 'JM RETAILS MANAGEMENT (US', '20200706MBBEMYKL010ORB01234230']",330.0,Credit,98867.52,False,False
37,06/07,"['Cr Adv-Interbank GIRO at KLM', 'M2020070609560296351', 'AXIATA DIGITAL ECODE SDN. BHD.']",122.9,Credit,98990.42,False,False
38,07/07,['Cheque Processing Fee'],1.0,Debit,98989.42,False,False
39,07/07,"['Fund Transfer at DIO', 'IV-20-00987', 'CN-00038', 'SAMONYU SDN BHD']",4934.0,Credit,103923.42,False,False
40,08/07,"['678697', 'Local Cheque (RPC) at JKL']",1352.87,Credit,105276.29,False,False
41,09/07,"['007548', 'Inclearing-Cheque']",100000.0,Debit,5276.29,False,False
42,09/07,"['Cr Adv-Interbank GIRO at KLM', 'Dexter fish', 'BEBK070877543990', 'CHOW YIN MEI']",348.0,Credit,5624.29,False,False
43,09/07,"['Cr Adv-Interbank GIRO at KLM', 'M2020070910064686377', 'AXIATA DIGITAL ECODE SDN. BHD.']",16.9,Credit,5641.19,False,False
44,09/07,"['030622', 'Local Cheque (RPC) at MVL']",11240.15,Credit,16881.34,False,False
45,10/07,['Cheque Processing Fee'],0.5,Debit,16880.84,False,False
46,10/07,"['007523', 'Inclearing-Cheque']",10612.0,Debit,6268.84,False,False
47,10/07,"['007524', 'Inclearing-Cheque']",4021.1,Debit,2247.74,False,False
48,10/07,"['008674', 'Inclearing-Cheque']",1440.75,Debit,806.99,False,False
49,10/07,"['Cr Adv-Interbank GIRO at KLM', 'M2020071009460139246', 'AXIATA DIGITAL ECODE SDN. BHD.']",16.9,Credit,823.89,False,False
50,10/07,"['010857', 'House Cheque (RPC) at SBJ']",850.0,Credit,1673.89,False,False
51,11/07,['Cheque Processing Fee'],1.5,Debit,1672.39,False,False
52,11/07,"['Instant Transfer at KLM', 'JM RETAILS MANAGEMENT (US', '20200711MBBEMYKL010ORB09756355']",470.0,Credit,2142.39,False,False
