,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,31336.3,False,False
1,01/06,"['008647', 'House Cheque Debit (RPC)']",60447.49,Debit,29111.19,True,False
2,01/06,"['008648', 'House Cheque Debit (RPC)']",40038.6,Debit,69149.79,True,False
3,01/06,"['Fund Transfer at DIO', 'pre payment', 'SAMONYU SDN BHD']",100000.0,Credit,30850.21,False,False
4,01/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060111483660057', 'AXIATA DIGITAL ECODE SDN. BHD.']",224.8,Credit,31075.01,False,False
5,01/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060111503531215', 'AXIATA DIGITAL ECODE SDN. BHD.']",289.0,Credit,31364.01,False,False
6,02/06,['Cheque Processing Fee'],1.0,Debit,31363.01,False,False
7,02/06,"['CIB Instant Transfer at DIO', 'G DAILY SUPPLY', 'EPICURIOUS REFUND', 'EPICURIOUS ENTERPRIS', '20200602HLBBMYKL010OCB39473686']",3358.97,Debit,28004.04,False,False
8,02/06,"['CIB Instant Transfer at DIO', 'salary May 2020', 'HAIRUL Salary May 2020', 'NORHAIRUL BIN RIDZUA', '20200602HLBBMYKL010OCB39808940']",1942.95,Debit,26061.09,False,False
9,02/06,"['CIB Instant Transfer at DIO', 'INV 2006-0024', 'WONDERFUL INV2006-0024', 'WONDERFUL AQUATIC S/B', '20200602HLBBMYKL010OCB39808978']",12879.95,Debit,13181.14,False,False
10,02/06,"['008643', 'Inclearing-Cheque']",1373.75,Debit,11807.39,False,False
11,02/06,"['008646', 'Inclearing-Cheque']",19884.24,Debit,8076.85,True,False
12,02/06,"['008649', 'Inclearing-Cheque']",552.0,Debit,8628.85,True,False
13,02/06,"['008650', 'Inclearing-Cheque']",1812.0,Debit,10440.85,True,False
14,02/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060211171782330', 'AXIATA DIGITAL ECODE SDN. BHD.']",362.1,Credit,10078.75,True,False
15,02/06,"['030528', 'Local Cheque (RPC) at TSG']",9902.23,Credit,176.52,True,False
16,03/06,['Cheque Processing Fee'],2.0,Debit,178.52,True,False
17,03/06,"['CA Debit Advice', 'RECLRD #0008646']",50.0,Debit,228.52,True,False
18,03/06,"['Fund Transfer at DIO', 'IV-20-00772', 'SAMONYU SDN BHD']",11660.0,Credit,11431.48,False,False
19,03/06,"['Fund Trf fr CA to CA-Internet', 'Bill payment', 'Adeline Gee', 'GEE SHAN SHAN']",178.5,Credit,11609.98,False,False
20,03/06,"['Cr Adv-Interbank GIRO at KLM', 'MARCH BALANCE', 'PRIVATE TRANSACTION', 'ABC FROZEN TRADING SDN.BH']",10786.65,Credit,22396.63,False,False
21,03/06,"['Instant Transfer at KLM', 'Partial pymt of Jan20', 'TEIEN RESTAURANT SDN BHD', '20200603PBBEMYKL010OCB16495109']",2242.22,Credit,24638.85,False,False
22,03/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060309423070252', 'AXIATA DIGITAL ECODE SDN. BHD.']",178.2,Credit,24817.05,False,False
23,04/06,"['CIB Instant Transfer at DIO', 'GGHV200194', 'GGHV200194', 'GOOD GOURMET HARVEST SDN. BHD.', '20200604HLBBMYKL010OCB40921068']",796.4,Debit,24020.65,False,False
24,04/06,"['CIB Instant Transfer at DIO', 'SALARY MAY 2020', 'HUI SHAN MAY 2020', 'KOH HUI SHAN', '20200604HLBBMYKL010OCB40984529']",9065.65,Debit,14955.0,False,False
25,04/06,"['Connect BIZ Bulk Payment', 'GESB', 'P202006023', 'GLOBAL EDUCARE SDN BHD']",119.6,Credit,15074.6,False,False
26,04/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060409532264227', 'AXIATA DIGITAL ECODE SDN. BHD.']",976.1,Credit,16050.7,False,False
27,05/06,"['007501', 'Inclearing-Cheque']",976.96,Debit,15073.74,False,False
28,05/06,"['Cr Adv-Interbank GIRO at KLM', 'Fudo Feb20 acc', 'BEBK060571877187', 'KHOO PEH CHING']",8830.0,Credit,23903.74,False,False
29,05/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060506523330493', 'AXIATA DIGITAL ECODE SDN. BHD.']",636.0,Credit,24539.74,False,False
30,06/06,['Cheque Processing Fee'],0.5,Debit,24539.24,False,False
31,06/06,"['Fund Trf fr CA to CA-Internet', 'Savings', 'HAW LEE LEE']",396.0,Credit,24935.24,False,False
32,06/06,"['ATM Interbank Funds Trf to CA', 'salmon', 'INSTANT TRANSFER', 'MOON SZE FUI', 'INSTANT TRANSFER']",1537.5,Credit,26472.74,False,False
33,09/06,"['007502', 'House Cheque Debit (RPC)']",760.0,Debit,25712.74,False,False
34,09/06,"['007505', 'House Cheque Debit (RPC)']",708.0,Debit,25004.74,False,False
35,09/06,"['Instant Transfer at KLM', 'glass house', 'LIM BIN HAO', '20200609MBBEMYKL010ORM07206834']",12000.0,Credit,37004.74,False,False
36,09/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060910044814595', 'AXIATA DIGITAL ECODE SDN. BHD.']",224.5,Credit,37229.24,False,False
37,09/06,"['000002', 'Local Cheque (RPC) at SEL']",460.0,Credit,37689.24,False,False
38,09/06,"['000777', 'Local Cheque (RPC) at SS2']",7109.45,Credit,44798.69,False,False
39,09/06,"['225823', 'Local Cheque (RPC) at CRS']",1127.85,Credit,45926.54,False,False
40,09/06,"['276789', 'Local Cheque (RPC) at SEL']",1167.0,Credit,47093.54,False,False
41,10/06,['Cheque Processing Fee'],1.0,Debit,47092.54,False,False
42,10/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020060918222384831', 'AXIATA DIGITAL ECODE SDN. BHD.']",165.0,Credit,47257.54,False,False
43,11/06,"['007504', 'Inclearing-Cheque']",8250.0,Debit,39007.54,False,False
44,11/06,"['Instant Transfer at KLM', 'PAYMENT MAR20', 'Y SEN FOOD VENTURE SDN BHD', '20200611PBBEMYKL010OCB12517950']",3139.0,Credit,42146.54,False,False
45,11/06,"['ATM Interbank Funds Trf to CA', 'Acid Birthday', '11/06/2020', 'YONG YEN PENG AND', '11/06/2020']",958.8,Credit,43105.34,False,False
46,11/06,"['Fund Transfer at DIO', 'IV-20-00722', 'SAMONYU SDN BHD']",39516.3,Credit,82621.64,False,False
47,11/06,"['030541', 'Local Cheque (RPC) at MVL']",8886.79,Credit,91508.43,False,False
48,11/06,"['426255', 'Local Cheque (RPC) at MVL']",6197.33,Credit,97705.76,False,False
49,11/06,"['883887', 'Local Cheque (RPC) at MVL']",2387.27,Credit,100093.03,False,False
50,12/06,['Cheque Processing Fee'],0.5,Debit,100092.53,False,False
51,12/06,"['Fund Transfer at DIO', 'IV20-00616', 'SAMONYU SDN BHD']",1674.0,Credit,101766.53,False,False
52,12/06,"['Fund Trf fr CA to CA-Internet', 'Fund transfer', 'TAN JIA HUI']",670.0,Credit,102436.53,False,False
53,12/06,"['Cr Adv-Interbank GIRO at KLM', 'APR 2020', 'PRIVATE TRANSACTION', 'ABC FROZEN TRADING SDN.BH']",2340.0,Credit,104776.53,False,False
54,12/06,"['000781', 'Local Cheque (RPC) at PNT']",1849.1,Credit,106625.63,False,False
55,14/06,"['Fund Trf fr CA to CA-Internet', 'Fund transfer', 'TAN JIA HUI']",26.6,Credit,106652.23,False,False
56,15/06,"['007503', 'Inclearing-Cheque']",1319.0,Debit,105333.23,False,False
57,15/06,"['Instant Transfer at KLM', 'Joloko inv 2000766', 'A MILLION SCOVILLE S', '20200615MFBBMYKL010OCB28855941']",225.5,Credit,105558.73,False,False
58,15/06,"['Fund Trf fr SA to CA-Internet', 'Fund transfer', 'TAN TOH YEN']",5371.0,Credit,110929.73,False,False
59,15/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020061509344580462', 'AXIATA DIGITAL ECODE SDN. BHD.']",76.6,Credit,111006.33,False,False
60,15/06,"['Cr Adv-Interbank GIRO at KLM', 'PBB-PBCS AC 3']",675.46,Credit,111681.79,False,False
61,15/06,"['Cr Adv-Interbank GIRO at KLM', 'PLOY 50 PYMT MAR20', 'PLOY SDN. BHD.']",738.25,Credit,112420.04,False,False
62,15/06,"['223200', 'Local Cheque (RPC) at PIN']",905.0,Credit,113325.04,False,False
63,16/06,['Cheque Processing Fee'],0.5,Debit,113324.54,False,False
64,16/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020061518423103927', 'AXIATA DIGITAL ECODE SDN. BHD.']",158.4,Credit,113482.94,False,False
65,16/06,"['Cr Adv-Interbank GIRO at KLM', 'M2020061609331167837', 'AXIATA DIGITAL ECODE SDN. BHD.']",19.9,Credit,113502.84,False,False
66,17/06,"['007506', 'Inclearing-Cheque']",1228.4,Debit,112274.44,False,False
67,17/06,"['007508', 'House Cheque Debit (RPC)']",507.0,Debit,111767.44,False,False
