,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Balance from previous statement'],,,44967.83,False,False
1,02/03,"['007453', 'Inclearing-Cheque']",8366.08,Debit,36601.75,False,False
2,02/03,"['007459', 'Inclearing-Cheque']",1766.35,Debit,34835.4,False,False
3,02/03,"['007463', 'Inclearing-Cheque']",1942.95,Debit,32892.45,False,False
4,02/03,"['007466', 'Inclearing-Cheque']",1716.0,Debit,31176.45,False,False
5,02/03,"['007467', 'House Cheque Debit (RPC) at SLY']",2160.0,Debit,29016.45,False,False
6,02/03,"['007468', 'Inclearing-Cheque']",15000.0,Debit,14016.45,False,False
7,02/03,"['Connect BIZ Bulk Payment', 'Jan 2020 (1U)', 'Robataya Sdn Bhd', 'ROBATAYA SDN BHD']",1710.08,Credit,15726.53,False,False
8,02/03,"['ATM Interbank Funds Trf to CA', 'IV-20-00454', 'INSTANT TRANSFER', 'LOW LAI AN', 'INSTANT TRANSFER']",232.0,Credit,15958.53,False,False
9,02/03,"['Cr Adv-Interbank GIRO at KLM', '271 280 338 405 439', 'MERU', 'MIZUYA (M) SDN BHD']",4293.54,Credit,20252.07,False,False
10,02/03,"['Cr Adv-Interbank GIRO at KLM', 'PBB-PBCS AC 3']",16.82,Credit,20268.89,False,False
11,02/03,"['030443', 'Local Cheque (RPC)']",42575.33,Credit,62844.22,False,False
12,02/03,"['032677', 'Local Cheque (RPC)']",5637.36,Credit,68481.58,False,False
13,02/03,"['426223', 'Local Cheque (RPC)']",7490.53,Credit,75972.11,False,False
14,03/03,['Cheque Processing Fee'],3.0,Debit,75969.11,False,False
15,03/03,"['007389', 'Inclearing-Cheque']",34600.0,Debit,41369.11,False,False
16,03/03,"['007469', 'House Cheque Debit (RPC) at SLY']",946.0,Debit,40423.11,False,False
17,03/03,"['Instant Transfer at KLM', 'TOP DELIGHT SDN BHD', 'DO NO 2000437', 'LIM SWEE KENG', '20200303MBBEMYKL010ORB02704007']",950.0,Credit,41373.11,False,False
18,03/03,"['Cr Adv-Interbank GIRO at KLM', 'M2020030310361779507', 'AXIATA DIGITAL ECODE SDN. BHD.']",6.9,Credit,41380.01,False,False
19,03/03,"['107178', 'Local Cheque (RPC)']",1175.0,Credit,42555.01,False,False
20,03/03,"['116839', 'Local Cheque (RPC)']",465.0,Credit,43020.01,False,False
21,03/03,"['117081', 'Local Cheque (RPC)']",2061.6,Credit,45081.61,False,False
22,03/03,"['225681', 'Local Cheque (RPC)']",1062.4,Credit,46144.01,False,False
23,03/03,"['771380', 'Local Cheque (RPC) at PNT']",9634.48,Credit,55778.49,False,False
24,04/03,['Cheque Processing Fee'],1.0,Debit,55777.49,False,False
25,04/03,"['CIB Instant Transfer at DIO', 'G DAILY SUPPLY', 'MIXRICE', 'KEDAI MAKANAN SEDAP GOH', '20200304HLBBMYKL010OCB89025216']",555.0,Debit,55222.49,False,False
26,04/03,"['Fund Transfer at DIO', 'G DAILY SUPPLY', 'INV 16172', 'MOK SIEW CHING']",45.0,Debit,55177.49,False,False
27,04/03,"['007461', 'House Cheque Debit (RPC) at PCG']",1501.45,Debit,53676.04,False,False
28,04/03,"['007470', 'Inclearing-Cheque']",1408.0,Debit,52268.04,False,False
29,05/03,['Cheque Processing Fee'],1.0,Debit,52267.04,False,False
30,05/03,"['007464', 'Inclearing-Cheque']",1000.0,Debit,51267.04,False,False
31,05/03,"['007471', 'Inclearing-Cheque']",1524.85,Debit,49742.19,False,False
32,05/03,"['007474', 'Inclearing-Cheque']",468.0,Debit,49274.19,False,False
33,05/03,"['Cr Adv-Interbank GIRO at KLM', 'Fudo Pay Jan20', 'BEBK030526727625', 'KHOO PEH CHING']",8027.0,Credit,57301.19,False,False
