,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,133.39,False,False
1,,['Deposits'],,,20652.0,False,False
2,,['Withdrawals'],,,15816.25,False,False
3,,['Ending Balance'],,,4969.14,False,False
4,,['B/F BALANCE'],,,133.39,False,False
5,02/02,"['21793', 'CDT CASH DEPOSIT']",450.0,Credit,583.39,False,False
6,05/02,"['761', 'IBK INSTANT TRF DR', 'CIK NURUL AZIRA BINTI ROSLI', '3rd Party Transfer', 'Ai']",141.0,Debit,442.39,False,False
7,05/02,"['6572', 'IBK INSTANT TRF DR', 'E MAX FASHION SDN. B', '3rd Party Transfer', 'Stock']",450.0,Debit,7.61,True,False
8,05/02,"['16982', 'ATM INST CR AT MEPS', 'HAFIZAH BINTI MOHD AKIL', 'Baju Fizah', 'Baju Fizah 4 Feb 20']",110.0,Credit,102.39,False,False
9,06/02,"['6720', 'IBK INSTANT TRF DR', 'MOHD ZHARIFF SHAZANI', '3rd Party Transfer', 'Jv']",3450.0,Debit,3347.61,True,False
10,06/02,"['7728', 'IBK INSTANT TRF DR', 'CHE WAN NORULNADIA B', '3rd Party Transfer', 'Wall chart']",20.0,Debit,3367.61,True,False
11,06/02,"['9208', 'RPP INWARD INST TRF CR', 'WAN ADZRUL HELMI BIN WAN', 'RM2k', 'RM2k']",2000.0,Credit,1367.61,True,False
12,06/02,"['11108', 'CDT CASH DEPOSIT']",600.0,Credit,767.61,True,False
13,06/02,"['13004', 'ATM INST CR AT MEPS', 'TENGKU NUR LIYANA BINTI TE', 'Yana', 'INSTANT TRANSFER']",1000.0,Credit,232.39,False,False
14,06/02,"['38995', 'MYDEBIT -', 'POPULAR-BERJAYA MEG', 'KUANTAN', 'MY CARD 3031']",6.6,Debit,225.79,False,False
15,07/02,"['3612', 'RPP INWARD INST TRF CR', 'FILZAH FATIN BINTI MOHD A', 'Baju cotton']",337.0,Credit,562.79,False,False
