,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,116386.81,False,False
1,,['Deposits'],,,1600346.75,False,False
2,,['Withdraws'],,,1583766.42,False,False
3,,['Ending Balance'],,,132967.14,False,False
4,01/03,"['RPP INWARD INST TRF', 'CITY BEE SDN BHD', '/ 00000515']",2000.0,Credit,118386.81,False,False
5,02/03,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",106.0,Credit,118492.81,False,False
6,02/03,"['IBG RTN E- CHNL', 'IBG RETURN/ 2502 W6602G']",190.1,Credit,118682.91,False,False
7,02/03,"['IBG RTN E- CHNL', 'IBG RETURN/ 2402 BAL TRIP W6603G']",378.61,Credit,119061.52,False,False
8,02/03,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",1179.6,Credit,120241.12,False,False
9,02/03,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",5204.05,Credit,125445.17,False,False
10,02/03,"['RPP INWARD INST TRF', 'LIM CHEE CHUN', '/ BILLION']",5996.4,Credit,131441.57,False,False
11,02/03,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 27/02/2020/']",15624.5,Credit,147066.07,False,False
12,02/03,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 29/02/2020/']",16909.2,Credit,163975.27,False,False
13,02/03,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 28/02/2020/']",18172.4,Credit,182147.67,False,False
14,02/03,"['REFLEX SERVICE CHARG', '/']",0.0,,182147.67,False,False
15,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.57,False,False
16,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.47,False,False
17,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.37,False,False
18,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.27,False,False
19,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.17,False,False
20,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182147.07,False,False
21,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.97,False,False
22,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.87,False,False
23,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.77,False,False
24,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.67,False,False
25,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.57,False,False
26,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.47,False,False
27,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.37,False,False
28,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.27,False,False
29,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.17,False,False
30,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182146.07,False,False
31,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.97,False,False
32,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.87,False,False
33,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.77,False,False
34,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.67,False,False
35,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.57,False,False
36,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.47,False,False
37,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.37,False,False
38,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.27,False,False
39,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.17,False,False
40,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182145.07,False,False
41,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182144.97,False,False
42,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182144.87,False,False
43,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182144.77,False,False
44,02/03,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,182144.67,False,False
