,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,120.2,False,False
1,,['Deposits'],,,2467034.73,False,False
2,,['Withdraws'],,,2170756.11,False,False
3,,['Ending Balance'],,,524315.15,False,False
4,01/01,"['RPP INWARD INST TRF', 'NORMAN YEOW BOON LEO', '/ Norman']",44.28,Credit,228080.81,False,True
5,01/01,"['MBK INSTANT TRF DR', 'MUHAMAD ZUBAIR BIN A', '/ Advance salary']",2000.0,Debit,226080.81,False,False
6,01/01,"['MBK FUND TRF DR', 'PARIMALA DEVI A/P RA', '/ K28 modal 010120']",2500.0,Debit,223580.81,False,False
7,02/01,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",136.5,Credit,223717.31,False,False
8,02/01,"['RPP INWARD INST TRF', 'NORMAN YEOW BOON LEO', '/ Norman']",800.81,Credit,224518.12,False,False
9,02/01,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",1046.5,Credit,225564.62,False,False
10,02/01,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",3971.05,Credit,229535.67,False,False
11,02/01,"['LOCAL CHQ DEP', '606466 BMMB/']",4558.0,Credit,234093.67,False,False
12,02/01,"['LOCAL CHQ DEP', '606294 BMMB/']",5226.0,Credit,239319.67,False,False
13,02/01,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', '1463 Etika Delta/']",5664.05,Credit,244983.72,False,False
14,02/01,"['LOCAL CHQ DEP', '606411 BMMB/']",6514.0,Credit,251497.72,False,False
15,02/01,"['LOCAL CHQ DEP', '606353 BMMB/']",8804.0,Credit,260301.72,False,False
16,02/01,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 31/12/2019/']",13641.9,Credit,273943.62,False,False
17,02/01,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 30/12/2019/']",18250.8,Credit,292194.42,False,False
18,02/01,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'PENANG BILLION_317 6/']",57400.89,Credit,349595.31,False,False
19,02/01,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'BILLION_831/']",79783.86,Credit,429379.17,False,False
20,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429379.07,False,False
21,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.97,False,False
22,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.87,False,False
23,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.77,False,False
24,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.67,False,False
25,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.57,False,False
26,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.47,False,False
27,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.37,False,False
28,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.27,False,False
29,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.17,False,False
30,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429378.07,False,False
31,02/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,429377.97,False,False
32,02/01,"['MBK FUND TRF DR', 'MUHAMMAD RASYDAN SHA', '/ AHG7199 bal trip']",200.0,Debit,429177.97,False,False
33,02/01,"['REFLEX SINGLE IBG DR', 'TONG TAT YOONG', 'van20/7 3/8 9/8 7/9/ 19123049420 7']",600.0,Debit,428577.97,False,False
34,02/01,"['MBK FUND TRF DR', 'MOHD ZAMANI BIN POHM', '/ WB3011C bal trip']",1237.6,Debit,427340.37,False,False
35,02/01,"['REFLEX SINGLE IBG DR', 'ADIBS MARKETING', 'CHARTER 17/12-24/12/ 20010258281 1']",1522.2,Debit,425818.17,False,False
36,02/01,"['REFLEX SINGLE IBG DR', 'FARIES ENTERPRIS E', '21/12/19 - 26/12/19/ 20010258285 6']",2283.14,Debit,423535.03,False,False
37,02/01,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 030120']",2500.0,Debit,421035.03,False,False
