,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,259652.52,False,False
1,,['Deposits'],,,1002898.5,False,False
2,,['Withdraws'],,,1051318.84,False,False
3,,['Ending Balance'],,,211232.18,False,False
4,01/07,"['CDT CASH DEPOSIT', '/']",200.0,Credit,259852.52,False,False
5,01/07,"['CDT CASH DEPOSIT', '/']",300.0,Credit,260152.52,False,False
6,01/07,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",3753.05,Credit,263905.57,False,False
7,01/07,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'PENANG BILLION_317 6/']",14108.8,Credit,278014.37,False,False
8,01/07,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'BILLION _831/']",22108.52,Credit,300122.89,False,False
9,01/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,300122.79,False,False
10,01/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,300122.69,False,False
11,01/07,"['REFLEX- BULK IBG CHGS', '/']",1.2,Debit,300121.49,False,False
12,01/07,"['REFLEX BULK PYMT CHR', '/']",3.0,Debit,300118.49,False,False
13,01/07,"['REFLEX SINGLE IBG DR', 'Moores Rowland Consu', 'BSES D no applicatio/ 20060489088 4']",185.5,Debit,299932.99,False,False
14,01/07,"['REFLEX- BULK PYMT DR', '20063069086 0', '20063069086 0/ 3006201744']",2315.37,Debit,297617.62,False,False
15,01/07,"['REFLEX- BULK PYMT DR', '20063069058 8', '20063069058 8/ 3006201731']",5826.81,Debit,291790.81,False,False
16,01/07,"['REFLEX SINGLE IBG DR', 'SCANIA CREDIT (M) SD', '6BUSES INSTALLMEN T/ 20062553129 5']",16317.0,Debit,275473.81,False,False
17,02/07,"['RPP INWARD INST TRF', 'NOOR ATIKAH AZILA BI', '/ Amendment fees']",15.0,Credit,275488.81,False,False
18,02/07,"['RPP INWARD INST TRF', 'PUANESVA RAN A/L V SU', '/ Surcharge']",15.0,Credit,275503.81,False,False
19,02/07,"['RPP INWARD INST TRF', 'SARANYA A/P ROSA SIN', '/ Fund transfer']",15.0,Credit,275518.81,False,False
20,02/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",200.0,Credit,275718.81,False,False
21,02/07,"['INWARD IBG', 'MELAKA SENTRAL SDN B', 'TIKET SALES/']",720.3,Credit,276439.11,False,False
22,02/07,"['INWARD IBG', 'PERKESO SIP- BAYARAN', 'C5102057816 X/']",43200.0,Credit,319639.11,False,False
23,02/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,319639.01,False,False
24,02/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,319638.91,False,False
25,02/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,319638.81,False,False
26,02/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,319638.71,False,False
27,02/07,"['REFLEX SINGLE IBG DR', 'Pua Yoke Fang & Them', '560C July rental/ 20062758392 9']",496.77,Debit,319141.94,False,False
28,02/07,"['MBK INSTANT TRF DR', 'PETRON FUEL I S/B- FL', '/ Acc 700871']",9999.0,Debit,309142.94,False,False
29,02/07,"['REFLEX DR', 'Hap Seng', 'PPC9111 Jun 20070276392 9', 'SINGLE IBG Credit Sdn', 'instalme/', 'instalme00010/']",14080.0,Debit,295062.94,False,False
30,02/07,"['REFLEX DR', 'Hap Seng', 'BQA6111 Jun 20070276381 3', 'SINGLE IBG Credit Sdn', 'installm/', 'installm00010/']",14080.0,Debit,280982.94,False,False
31,02/07,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00017484 May usage/ 20063069555 7']",47136.39,Debit,233846.55,False,False
32,03/07,"['ATM INST CR AT MEPS', 'MUHAMMAD ZAKI BIN MO', 'ATM9603 SERV CHRG RM000.0/ bas']",15.0,Credit,233861.55,False,False
33,03/07,"['RPP INWARD INST TRF', 'NURIN ADLINA BINTI B', '/ Khairul']",15.0,Credit,233876.55,False,False
34,03/07,"['RPP INWARD INST TRF', 'CITY BEE SDN BHD', '/ 00090134']",2000.0,Credit,235876.55,False,False
35,03/07,"['REFLEX SERVICE CHARG', '/']",0.0,,235876.55,False,False
36,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235876.45,False,False
37,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235876.35,False,False
38,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235876.25,False,False
39,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235876.15,False,False
40,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235876.05,False,False
41,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235875.95,False,False
42,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235875.85,False,False
43,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235875.75,False,False
44,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,235875.65,False,False
45,03/07,"['REFLEX SINGLE IBG DR', 'ADVANCE LASER ENTERP', 'JAN2020/ 20061728072 6']",642.2,Debit,235233.45,False,False
46,03/07,"['REFLEX SINGLE IBG DR', 'NG BEE LIN', 'DRIVER HOSTEL/ 20060178402 8']",850.0,Debit,234383.45,False,False
47,03/07,"['REFLEX DR', 'ZAM O LIMA', 'bal 6565/ 20053073730 3', 'SINGLE IBG SDN BHD', 'jan7930+feb2 00010/']",4495.0,Debit,229888.45,False,False
48,03/07,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TRANSP', 'NCC-4th Jan20/']",4867.0,Debit,225021.45,False,False
49,03/07,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00017476 Mar 1/6/ 20063069603 0']",5000.0,Debit,220021.45,False,False
50,03/07,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00013231 Mar 1/19/ 20063069614 8']",5000.0,Debit,215021.45,False,False
51,03/07,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00008840 Mar parti/ 20063069563 9']",5000.0,Debit,210021.45,False,False
52,03/07,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00017477 Mar 1/8/ 20063069590 4']",5000.0,Debit,205021.45,False,False
53,03/07,"['REFLEX SINGLE IBG DR', 'FHI SALES & SERVICES', 'dec19/ 20061728070 9']",5000.0,Debit,200021.45,False,False
54,03/07,"['REFLEX SINGLE IBG DR', 'ROCK AUTO LUBE SDN B', 'FEB2020/ 20061728072 9']",19175.0,Debit,180846.45,False,False
55,04/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",200.0,Credit,181046.45,False,False
56,04/07,"['ATM INST CR AT MEPS', 'MUHAMAD ZUBAIR BIN A', 'ATM9603 SERV CHRG RM000.0/ PPD3111']",5500.0,Credit,186546.45,False,False
57,04/07,"['REFLEX- BULK IBG CHGS', '/']",0.3,Debit,186546.15,False,False
58,04/07,"['REFLEX- BULK IBG CHGS', '/']",0.5,Debit,186545.65,False,False
59,04/07,"['REFLEX- BULK IBG CHGS', '/']",0.7,Debit,186544.95,False,False
60,04/07,"['REFLEX BULK PYMT CHR', '/']",1.1,Debit,186543.85,False,False
61,04/07,"['REFLEX BULK PYMT CHR', '/']",1.1,Debit,186542.75,False,False
62,04/07,"['REFLEX BULK PYMT CHR', '/']",1.1,Debit,186541.65,False,False
63,04/07,"['REFLEX- BULK PYMT DR', '20070379322 2', '20070379322 2/ 0307200318']",410.17,Debit,186131.48,False,False
64,04/07,"['REFLEX- BULK PYMT DR', '20070379322 4', '20070379322 4/ 0307200324']",827.92,Debit,185303.56,False,False
65,04/07,"['REFLEX- BULK PYMT DR', '20070379322 3', '20070379322 3/ 0307200321']",1097.16,Debit,184206.4,False,False
66,04/07,"['REFLEX- BULK PYMT DR', '20070379322 1', '20070379322 1/ 0307200322']",1512.7,Debit,182693.7,False,False
67,04/07,"['REFLEX- BULK PYMT DR', '20070379321 9', '20070379321 9/ 0307200319']",1574.68,Debit,181119.02,False,False
68,04/07,"['REFLEX- BULK PYMT DR', '20070379321 8', '20070379321 8/ 0307200316']",1618.75,Debit,179500.27,False,False
69,05/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",200.0,Credit,179700.27,False,False
70,05/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",400.0,Credit,180100.27,False,False
71,05/07,"['ATM INST CR AT MEPS', 'MUHAMAD ZUBAIR BIN A', 'ATM9603 SERV CHRG RM000.0/ DDQ8111']",5500.0,Credit,185600.27,False,False
72,06/07,"['RPP INWARD INST TRF', 'BRIAN TAN YEN HANN', '/ Fund transfer']",30.0,Credit,185630.27,False,False
73,06/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",200.0,Credit,185830.27,False,False
74,06/07,"['ATM INST CR AT MEPS', 'TEH OOI KEONG', 'ATM9603 SERV CHRG RM000.0/ INSTANT TRANSFER']",300.0,Credit,186130.27,False,False
75,06/07,"['LOCAL CHQ DEP', '612443 BMMB/']",2047.0,Credit,188177.27,False,False
76,06/07,"['LOCAL CHQ DEP', '612313 BMMB/']",2065.0,Credit,190242.27,False,False
77,06/07,"['LOCAL CHQ DEP', '612231 BMMB/']",2171.0,Credit,192413.27,False,False
78,06/07,"['RPP INWARD INST TRF', 'BUSONLINE TICKET SDN', '/ BSEPG 2006290705 BOT']",2401.2,Credit,194814.47,False,False
79,06/07,"['LOCAL CHQ DEP', '612190 BMMB/']",2465.0,Credit,197279.47,False,False
80,06/07,"['LOCAL CHQ DEP', '612272 BMMB/']",2536.0,Credit,199815.47,False,False
81,06/07,"['LOCAL CHQ DEP', '612149 BMMB/']",2708.0,Credit,202523.47,False,False
82,06/07,"['RPP INWARD INST TRF', 'CITY BEE SDN BHD', '/ 00141223']",3063.3,Credit,205586.77,False,False
83,06/07,"['LOCAL CHQ DEP', '612404 BMMB/']",3270.0,Credit,208856.77,False,False
84,06/07,"['RPP INWARD INST TRF', 'BUSONLINE TICKET SDN', '/ BSE 2006290705 BOT']",4184.33,Credit,213041.1,False,False
85,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,213041.0,False,False
86,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,213040.9,False,False
87,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,213040.8,False,False
88,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,213040.7,False,False
89,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,213040.6,False,False
90,06/07,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,213040.4,False,False
91,06/07,"['REFLEX- BULK IBG CHGS', '/']",0.8,Debit,213039.6,False,False
92,06/07,"['REFLEX BULK PYMT CHR', '/']",1.4,Debit,213038.2,False,False
93,06/07,"['REFLEX SINGLE IBG DR', 'PENANG SENTRAL SDN B', 'STAMPING AGREEMENT / 20070173304 6']",125.0,Debit,212913.2,False,False
94,06/07,"['REFLEX- BULK PYMT DR', '20070485098 1', '/ 0407201621']",419.67,Debit,212493.53,False,False
95,06/07,"['REFLEX SINGLE IBG DR', 'PRANGIN MALL-JMB', 'G14 SEPT20/ 20070379317 9']",436.0,Debit,212057.53,False,False
96,06/07,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 070720']",500.0,Debit,211557.53,False,False
97,06/07,"['REFLEX SINGLE IBG DR', 'CAY Chambers Of Gold', '110A-17-1 Jun rental/ 20062346011 1']",900.0,Debit,210657.53,False,False
98,06/07,"['REFLEX- BULK PYMT DR', '20070485097 4', '/ 0407201625']",1354.81,Debit,209302.72,False,False
99,06/07,"['REFLEX- BULK PYMT DR', '20070485096 1', '/ 0407201624']",1907.99,Debit,207394.73,False,False
100,06/07,"['REFLEX SINGLE IBG DR', 'LEE BEE BEE', 'SUMMERTO N JULY2020/ 20050192021 7']",2500.0,Debit,204894.73,False,False
101,06/07,"['REFLEX SINGLE IBG DR', 'Lim Peng Kooi', 'RENTAL G14/ 20070379322 5']",3000.0,Debit,201894.73,False,False
102,06/07,"['MBK INSTANT TRF DR', 'PETRON FUEL I S/B- FL', '/ Acc 700871']",5000.0,Debit,196894.73,False,False
103,06/07,"['MBK INSTANT TRF DR', 'PETRON FUEL I S/B- FL', '/ Acc 700871']",9999.0,Debit,186895.73,False,False
104,07/07,"['RPP INWARD INST TRF', 'WONG KAH YEW', '/ Wongkahyew']",15.0,Credit,186910.73,False,False
105,07/07,"['RPP INWARD INST TRF', 'TAN JIA SIM', '/ 43TLBQIH']",15.0,Credit,186925.73,False,False
106,07/07,"['CDT CASH DEPOSIT', '/']",30.0,Credit,186955.73,False,False
107,07/07,"['RPP INWARD INST TRF', 'MUHAMAD FAIROLL BIN', '/ Ok']",33.0,Credit,186988.73,False,False
108,07/07,"['INWARD IBG', 'MELAKA SENTRAL SDN B', 'TIKET SALES/']",1336.35,Credit,188325.08,False,False
109,07/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,188324.98,False,False
