,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,133973.6,False,False
1,,['Deposits'],,,916233.65,False,False
2,,['Withdraws'],,,790554.73,False,False
3,,['Ending Balance'],,,259652.52,False,False
4,01/06,"['INWARD IBG', 'ENERGETIC POINT SDN.', 'Outward ACH/']",15.5,Credit,133989.1,False,False
5,01/06,"['RPP INWARD INST TRF', 'FINH LEGACY ENTERPRI', '/ Hantar barang']",30.0,Credit,134019.1,False,False
6,01/06,"['REFLEX SERVICE CHARG', '/']",0.0,,134019.1,False,False
7,01/06,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134019.0,False,False
8,01/06,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134018.9,False,False
9,01/06,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134018.8,False,False
10,01/06,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134018.7,False,False
11,01/06,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134018.6,False,False
12,01/06,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,134018.4,False,False
13,01/06,"['REFLEX BULK PYMT CHR', '/']",0.3,Debit,134018.1,False,False
14,01/06,"['REFLEX- BULK PYMT DR', '20053073686 4', '/ 3005201502']",275.07,Debit,133743.03,False,False
15,01/06,"['REFLEX- BULK PYMT DR', '20053073687 3', '/ 3005201504']",644.44,Debit,133098.59,False,False
16,01/06,"['REFLEX SINGLE IBG DR', 'Lee Fang Ze', '6-13-18 Jun rental/ 20052559093 2']",900.0,Debit,132198.59,False,False
17,01/06,"['REFLEX SINGLE IBG', 'Pua Yoke Fang & Them', 'RENTAL 560C 20053073582 1', 'DR', 'june2020/']",1400.0,Debit,130798.59,False,False
18,01/06,"['REFLEX- FUNDS TFR DR', 'KEAN CHIEW HAR', 'SSM,travel,ex penses/']",2747.5,Debit,128051.09,False,False
19,01/06,"['REFLEX SINGLE IBG DR', 'Moores Rowland Consu', 'BSES FormE,Form CP8D/ 20053073481']",2867.04,Debit,125184.05,False,False
20,01/06,"['REFLEX SINGLE IBG DR', 'Bank of America (Mal', '303144 Apr outstandi/ 20051838148 7']",6705.95,Debit,118478.1,False,False
21,01/06,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TRANSP', 'NCC-1st&2nd Jan2020/']",22118.5,Debit,96359.6,False,False
22,01/06,"['REFLEX SINGLE IBG DR', 'Shell Malaysia Tradi', 'MY00017484 Apr usage/ 20052968307 8']",24895.04,Debit,71464.56,False,False
23,02/06,"['INWARD IBG', 'ENERGETIC POINT SDN.', 'Outward ACH/']",120.5,Credit,71585.06,False,False
24,02/06,"['RPP INWARD INST TRF', 'BUSONLINE TICKET SDN', '/ BSEPG 2005250531 BOT']",265.86,Credit,71850.92,False,False
25,02/06,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",612.8,Credit,72463.72,False,False
26,02/06,"['LOCAL CHQ DEP', '126606 CIMB/']",876.5,Credit,73340.22,False,False
27,02/06,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",1145.6,Credit,74485.82,False,False
