,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,524315.15,False,False
1,,['Deposits'],,,1469385.04,False,False
2,,['Withdraws'],,,1877313.38,False,False
3,,['Ending Balance'],,,116386.81,False,False
4,01/02,"['JOMPAY NON RHB DR', 'Red One Network Sdn.', '202467754/ 202467754']",45.0,Debit,524270.15,False,False
5,01/02,"['MBK FUND TRF DR', 'MOHD DELMI BIN MAT I', '/ CED5111 bal trip']",208.0,Debit,524062.15,False,False
6,01/02,"['MBK FUND TRF DR', 'FAZLI BIN DAHAMAN', '/ DBT2255 bal trip']",408.3,Debit,523653.85,False,False
7,01/02,"['MBK FUND TRF DR', 'MOHD TAUFIK BIN MD Y', '/ AHG8599 bal trip']",959.8,Debit,522694.05,False,False
8,01/02,"['MBK FUND TRF DR', 'MOHD ZAMANI BIN POHM', '/ WB3011C bal trip']",1139.4,Debit,521554.65,False,False
9,01/02,"['MBK FUND TRF DR', 'MOHAMAD HASYAFI BIN', '/ AHD6855 bal trip']",1201.8,Debit,520352.85,False,False
10,01/02,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 010220']",2500.0,Debit,517852.85,False,False
11,02/02,"['REFLEX- FUNDS TFR DR', 'LIM CHEE CHUN', '2020 Jan FHSP/']",2320.25,Debit,515532.6,False,False
12,02/02,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 020220']",2500.0,Debit,513032.6,False,False
13,03/02,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",349.0,Credit,513381.6,False,False
14,03/02,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",1328.0,Credit,514709.6,False,False
15,03/02,"['ATM INST CR AT MEPS', 'RABIATUL ADAWIYAH BI', 'ATM9603 SERV CHRG RM   ./ Vellfire PPD3111']",5500.0,Credit,520209.6,False,False
16,03/02,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 30/01/2020/']",12891.4,Credit,533101.0,False,False
17,03/02,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 31/01/2020/']",18130.0,Credit,551231.0,False,False
18,03/02,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 01/02/2020/']",18455.4,Credit,569686.4,False,False
19,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569686.3,False,False
20,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569686.2,False,False
21,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569686.1,False,False
22,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569686.0,False,False
23,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569685.9,False,False
24,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569685.8,False,False
25,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569685.7,False,False
26,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,569685.6,False,False
27,03/02,"['JOMPAY RHB DR', 'TM UNIFI', '1038231781/ 1038231781']",72.45,Debit,569613.15,False,False
28,03/02,"['MBK FUND TRF DR', 'MOHD NADHIR MUZAINI', '/ W6604G bal trip']",109.4,Debit,569503.75,False,False
29,03/02,"['REFLEX- FUNDS TFR DR', 'MUHAMMAD FARIZAL BIN', 'advance salary/']",150.0,Debit,569353.75,False,False
30,03/02,"['MBK INSTANT TRF DR', 'SITI NUR ALIEYA FATI', '/ BND9711 bal trip']",206.5,Debit,569147.25,False,False
31,03/02,"['MBK FUND TRF DR', 'FAZLI BIN DAHAMAN', '/ DBT2255 bal trip']",255.0,Debit,568892.25,False,False
32,03/02,"['MBK INSTANT TRF DR', 'ADI BIN ABDUL HASSAN', '/ PNQ3111 bal trip']",500.5,Debit,568391.75,False,False
33,03/02,"['MBK INSTANT TRF DR', 'NIZAM BIN ABD HASSAN', '/ AHE9559 bal trip']",663.4,Debit,567728.35,False,False
34,03/02,"['REFLEX SINGLE IBG DR', 'LEE CHIN TEE', 'WVP6622/ 20010258386 0']",750.0,Debit,566978.35,False,False
35,03/02,"['MBK FUND TRF DR', 'MOHD TAUFIK BIN MD Y', '/ AHG8599 bal trip']",766.6,Debit,566211.75,False,False
36,03/02,"['MBK INSTANT TRF DR', 'ROSLI BIN ABD KADIR', '/ AHD6855 bal trip']",854.93,Debit,565356.82,False,False
37,03/02,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TRANSP', 'MBPP- PARKING567 8910/']",2250.0,Debit,563106.82,False,False
38,03/02,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 040220']",2500.0,Debit,560606.82,False,False
39,03/02,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 030220']",2500.0,Debit,558106.82,False,False
40,03/02,"['REFLEX SINGLE IBG DR', 'LERO MAJU TRAVEL & T', 'CNY EXTRA BUS/ 20013153218 6']",4600.0,Debit,553506.82,False,False
41,03/02,"['REFLEX SINGLE IBG DR', 'JIAXI CREDIT SDN BHD', 'VAB5711/ VAB7211/ 20013047562 0']",7718.0,Debit,545788.82,False,False
42,03/02,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TOURS', 'MBPP K28/K39/K40/']",7800.0,Debit,537988.82,False,False
43,03/02,"['IBK INSTANT TRF DR', 'SURES A/L RAMASAMY', '/ CNY trips']",9050.0,Debit,528938.82,False,False
44,03/02,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TRANSP', 'CHAMPAX/']",11077.0,Debit,517861.82,False,False
45,03/02,"['REFLEX SINGLE IBG DR', 'Hap Seng Credit Sdn', 'BQA6111 FEB2020/ 20013047561 7']",14080.0,Debit,503781.82,False,False
46,03/02,"['REFLEX SINGLE IBG DR', 'Hap Seng Credit Sdn', 'PPC9111 FEB2020/ 20013047561 9']",14080.0,Debit,489701.82,False,False
47,03/02,"['REFLEX SINGLE IBG DR', 'LEE ENG HIN', 'NOTED/ 20012845266 5']",15000.0,Debit,474701.82,False,False
48,03/02,"['REFLEX SINGLE IBG DR', 'Bank of America (Mal', '303144 top up RM20k/ 20020360451 0']",20000.0,Debit,454701.82,False,False
49,03/02,"['REFLEX- FUNDS TFR DR', 'BILLION STARS TOURS', 'MBPP/']",24770.0,Debit,429931.82,False,False
50,03/02,"['REFLEX SINGLE IBG DR', 'SINCERELE E TELECOMM U', 'NOTED/ 20012845267 4']",40000.0,Debit,389931.82,False,False
51,04/02,"['INWARD IBG', 'ENERGETIC POINT SDN', 'Outward ACH/']",675.0,Credit,390606.82,False,False
