,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,132967.14,False,False
1,,['Deposits'],,,786774.66,False,False
2,,['Withdraws'],,,681445.49,False,False
3,,['Ending Balance'],,,238296.31,False,False
4,01/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",489.5,Credit,133456.64,False,False
5,01/04,"['ATM INST CR AT MEPS', 'MUHAMAD ZUBAIR BIN A', 'ATM9603 SERV CHRG RM   ./ PPD 3111']",5500.0,Credit,138956.64,False,False
6,01/04,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 27- 29/03/2020/']",39517.0,Credit,178473.64,False,False
7,01/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,178473.54,False,False
8,01/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,178473.44,False,False
9,01/04,"['MBK FUND TRF DR', 'PARIMALA DEVI A/P RA', '/ K28 modal 010420']",500.0,Debit,177973.44,False,False
10,01/04,"['REFLEX SINGLE IBG DR', 'ROCK AUTO LUBE SDN B', 'JAN2020/ 20030972971 9']",15045.0,Debit,162928.44,False,False
11,01/04,"['REFLEX SINGLE IBG DR', 'SCANIA CREDIT (MALAY', 'MAR INSTALLMEN T/ 20033128793 2']",58562.0,Debit,104366.44,False,False
12,02/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",618.35,Credit,104984.79,False,False
13,02/04,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'BILLION_831/']",8263.04,Credit,113247.83,False,False
14,02/04,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 30- 31/03/2020/']",21673.3,Credit,134921.13,False,False
15,02/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134921.03,False,False
16,02/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134920.93,False,False
17,02/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,134920.83,False,False
18,02/04,"['REFLEX BULK PYMT CHR', '/']",0.2,Debit,134920.63,False,False
19,02/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,134920.43,False,False
20,02/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,134920.23,False,False
21,02/04,"['REFLEX BULK PYMT CHR', '/']",0.3,Debit,134919.93,False,False
22,02/04,"['REFLEX- BULK IBG CHGS', '/']",0.4,Debit,134919.53,False,False
23,02/04,"['REFLEX BULK PYMT CHR', '/']",0.7,Debit,134918.83,False,False
24,02/04,"['REFLEX BULK PYMT CHR', '/']",0.7,Debit,134918.13,False,False
25,02/04,"['REFLEX- FUNDS TFR DR', 'LOO KAI BOON', 'advance 100/']",100.0,Debit,134818.13,False,False
26,02/04,"['REFLEX- BULK PYMT DR', '20033025168 8', '20033025168 8/ 3003201641']",309.5,Debit,134508.63,False,False
27,02/04,"['REFLEX- BULK PYMT DR', '20040234913 5', '20040234913 5/ 0204201642']",408.36,Debit,134100.27,False,False
28,02/04,"['REFLEX- BULK PYMT DR', '20040132704 2', '20040132704 2/ 0104202230']",439.02,Debit,133661.25,False,False
29,02/04,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 020420']",500.0,Debit,133161.25,False,False
30,02/04,"['REFLEX- BULK PYMT DR', '20033128585 6', '20033128585 6/ 3103201701']",690.91,Debit,132470.34,False,False
31,02/04,"['REFLEX- BULK PYMT DR', '20033025159 7', '20033025159 7/ 3003201640']",818.55,Debit,131651.79,False,False
32,02/04,"['REFLEX SINGLE IBG DR', 'kean chiew har', '17-31 Mar expenses/ 20033126177 0']",1000.0,Debit,130651.79,False,False
33,02/04,"['REFLEX- BULK PYMT DR', '20040234914 7', '20040234914 7/ 0204201645']",1395.38,Debit,129256.41,False,False
34,02/04,"['REFLEX- BULK PYMT DR', '20033128581 9', '20033128581 9/ 3103201659']",2510.62,Debit,126745.79,False,False
35,02/04,"['REFLEX SINGLE IBG DR', 'Lisa Service Station', '28-29 Mar cash pump/ 20033126040 6']",4105.05,Debit,122640.74,False,False
36,02/04,"['REFLEX SINGLE IBG DR', 'kean chiew har', '1-16 Mar Expenses/ 20031601679 8']",9286.7,Debit,113354.04,False,False
37,03/04,"['RFLX-BULK PYMT REJ C', 'Payment Not Successf/ 4']",119.27,Credit,113473.31,False,False
38,03/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",565.0,Credit,114038.31,False,False
39,03/04,"['LOCAL CHQ DEP', '611282 BMMB/']",5297.0,Credit,119335.31,False,False
40,03/04,"['ATM INST CR AT MEPS', 'MUHAMAD ZUBAIR BIN A', 'ATM9603 SERV CHRG RM   ./ Vellfire DDQ8111']",5500.0,Credit,124835.31,False,False
41,03/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,124835.21,False,False
42,03/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,124835.11,False,False
43,03/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,124834.91,False,False
44,03/04,"['REFLEX BULK PYMT CHR', '/']",0.4,Debit,124834.51,False,False
45,03/04,"['JOMPAY NON RHB DR', 'TT dotCom Sdn Bhd', '42736431071 810/ 42736431071 810']",199.45,Debit,124635.06,False,False
46,03/04,"['JOMPAY RHB DR', 'TM unifi home', '1038231781/ 1038231781']",295.75,Debit,124339.31,False,False
47,03/04,"['JOMPAY RHB DR', 'TM unifi home', '1041565308/ 1041565308']",382.45,Debit,123956.86,False,False
48,03/04,"['MBK FUND TRF DR', 'ZAIWAWI BIN ZAIDI', '/ DBT1155 trip cost']",400.0,Debit,123556.86,False,False
49,03/04,"['REFLEX- BULK PYMT DR', '20040337326 2', '20040337326 2/ 0304201541']",773.55,Debit,122783.31,False,False
50,03/04,"['REFLEX SINGLE IBG DR', 'NG BEE LIN', 'DRIVER HOSTEL/ 20030354023 0']",850.0,Debit,121933.31,False,False
51,03/04,"['REFLEX- BULK PYMT DR', '20040337343 8', '20040337343 8/ 0304201537']",934.56,Debit,120998.75,False,False
52,03/04,"['REFLEX- FUNDS TFR DR', 'LIM CHEE HSIA', 'FEB & MARCH2020/']",3840.0,Debit,117158.75,False,False
53,03/04,"['REFLEX- FUNDS TFR DR', 'BAN', 'resubmit/']",4134.0,Debit,113024.75,False,False
54,03/04,"['REFLEX SINGLE IBG DR', 'KIFFAH AUTO SERVICES', 'JAN2020/ 20040337199 4']",7579.0,Debit,105445.75,False,False
55,04/04,"['MBK FUND TRF DR', 'HAMZAH BIN ISMAIL', '/ WVH1551 trip cost']",300.0,Debit,105145.75,False,False
56,04/04,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 050420']",500.0,Debit,104645.75,False,False
57,05/04,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 050420']",500.0,Debit,104145.75,False,False
58,06/04,"['LOCAL CHQ DEP', '611277 BMMB/']",1155.0,Credit,105300.75,False,False
59,06/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,105300.65,False,False
60,06/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,105300.55,False,False
61,06/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,105300.45,False,False
62,06/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,105300.35,False,False
63,06/04,"['JOMPAY NON RHB DR', 'COWAY (MALAYSIA) SDN', '29430477/ 29430477']",132.0,Debit,105168.35,False,False
64,06/04,"['REFLEX SINGLE IBG DR', 'WONG KAM FOOK', 'MARCH2020/ 20040338060 5']",450.0,Debit,104718.35,False,False
65,06/04,"['REFLEX SINGLE IBG DR', 'LEE BEE BEE', 'SUMMERTO N APRIL2020/ 20012026049 1']",2500.0,Debit,102218.35,False,False
66,06/04,"['REFLEX SINGLE IBG DR', 'LIM PENG HOO', '6-20 MARCH2020/ 20040338060 9']",10613.8,Debit,91604.55,False,False
67,06/04,"['REFLEX SINGLE IBG DR', 'SINCERELE E TELECOMM U', 'NOTED/ 20040337223 8']",60000.0,Debit,31604.55,False,False
68,07/04,"['RPP INWARD INST TRF', 'MOHD NIZAR BIN ABD H', '/ Transfer']",300.0,Credit,31904.55,False,False
69,07/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",941.25,Credit,32845.8,False,False
70,07/04,"['MBK FUND TFR CR', 'NORMAN YEOW BOON LEO', '/ Fund Transfer']",1000.0,Credit,33845.8,False,False
71,07/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",1716.95,Credit,35562.75,False,False
72,07/04,"['RPP INWARD INST TRF', 'LIM CHEE AIK', '/ 888']",22222.22,Credit,57784.97,False,False
73,07/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,57784.87,False,False
74,07/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,57784.77,False,False
75,07/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,57784.67,False,False
76,07/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,57784.57,False,False
77,07/04,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,57784.47,False,False
78,07/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,57784.27,False,False
79,07/04,"['REFLEX- BULK IBG CHGS', '/']",0.3,Debit,57783.97,False,False
80,07/04,"['REFLEX BULK PYMT CHR', '/']",0.5,Debit,57783.47,False,False
81,07/04,"['REFLEX BULK PYMT CHR', '/']",1.0,Debit,57782.47,False,False
82,07/04,"['MBK FUND TRF DR', 'MAZLEE BIN SAHID', '/ K28 Extra modal 0704']",50.0,Debit,57732.47,False,False
83,07/04,"['REFLEX- BULK PYMT DR', '20040744897 8', '20040744897 8/ 0704201609']",274.13,Debit,57458.34,False,False
84,07/04,"['REFLEX- BULK PYMT DR', '20040641919 4', '20040641919 4/ 0604201549']",341.63,Debit,57116.71,False,False
85,07/04,"['REFLEX SINGLE IBG DR', 'MUHAMMAD JUHARI BIN', 'Salary MAR2020 (SHSP/ 20040744502 6']",367.82,Debit,56748.89,False,False
86,07/04,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 070420']",500.0,Debit,56248.89,False,False
87,07/04,"['MBK FUND TRF DR', 'NORMAN YEOW BOON LEO', '/ K28 modal 080420']",500.0,Debit,55748.89,False,False
88,07/04,"['REFLEX SINGLE IBG DR', 'PUSPA A/P GURUVELU', 'Salary Mar2020/ 20040744643 1']",500.0,Debit,55248.89,False,False
89,07/04,"['REFLEX SINGLE IBG DR', 'MUHAMMAD DANEIL BIN', 'Salary MAR2020 (SHSP/ 20040744517 6']",616.39,Debit,54632.5,False,False
90,07/04,"['REFLEX SINGLE IBG DR', 'WONG KENG WAH', 'Salary MAR2020 (SHSP/ 20040744634 8']",755.0,Debit,53877.5,False,False
91,07/04,"['REFLEX- BULK PYMT DR', '20040641924 3', '20040641924 3/ 0604201547']",2205.19,Debit,51672.31,False,False
92,07/04,"['REFLEX SINGLE IBG DR', 'PENINSULA RESOURCE S', 'MARCH2020/ 20040338061 9']",3000.0,Debit,48672.31,False,False
93,07/04,"['REFLEX- BULK PYMT DR', '20040744893 6', '20040744893 6/ 0704201607']",4061.59,Debit,44610.72,False,False
94,07/04,"['MBK INSTANT TRF DR', 'PETRON FUEL I S/B- FL', '/ Acc 700871']",5000.0,Debit,39610.72,False,False
95,07/04,"['REFLEX- PAYROLL PYMT', '20040743678 9', '20040743678 9/']",35469.11,Debit,4141.61,False,False
96,08/04,"['INWARD IBG', 'PENANG SENTRAL SDN B', '/']",512.2,Credit,4653.81,False,False
97,08/04,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 04- 05/04/2020/']",12814.7,Credit,17468.51,False,False
98,08/04,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 01- 02/04/2020/']",17779.9,Credit,35248.41,False,False
99,09/04,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', '3176 BILLION STARS/']",593.42,Credit,35841.83,False,False
100,09/04,"['INWARD IBG', 'EASYBOOK (M) SDN BHD', 'BILLION_831/']",4838.5,Credit,40680.33,False,False
101,09/04,"['INWARD IBG', 'MAJU TMAS SDN BHD', 'RFBO- 06- 07/04/2020/']",12629.6,Credit,53309.93,False,False
102,09/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,53309.73,False,False
103,09/04,"['REFLEX- BULK IBG CHGS', '/']",0.2,Debit,53309.53,False,False
