,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,148735.48,False,False
1,,['Deposits'],,,58252.77,False,False
2,,['Withdraws'],,,192235.14,False,False
3,,['Ending Balance'],,,14753.11,False,False
4,02/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,148735.38,False,False
5,02/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,148735.28,False,False
6,02/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,148735.18,False,False
7,02/12,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'SAL 1611 TO 301119/ 19120264850 8']",1362.44,Debit,147372.74,False,False
8,02/12,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SAL 1611 T0 301119/ 19120264837 3']",2018.7,Debit,145354.04,False,False
9,02/12,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 1611 TO 301119/ 19120264861 8']",3031.68,Debit,142322.36,False,False
10,03/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,142322.26,False,False
11,03/12,"['CHQ SVC CHARGE- CLRG', '20191203034 91227710156 537/']",0.5,Debit,142321.76,False,False
12,03/12,"['REFLEX SINGLE IBG DR', 'LEE BOON KIONG', 'ROAD TAX BKS2122/ 19120371575 2']",928.0,Debit,141393.76,False,False
13,03/12,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",20000.0,Debit,121393.76,False,False
14,03/12,"['CLEARING CHQ', '20191203034 91227710156 537/']",80000.0,Debit,41393.76,False,False
15,05/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,41393.66,False,False
16,05/12,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19120578551 9']",2000.0,Debit,39393.66,False,False
17,06/12,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",5000.0,Debit,34393.66,False,False
18,08/12,"['ATM INST CR AT MEPS', 'SHEN DONG ENTERPRIS E', 'ATM9603 SERV CHRG RM   ./ LKF00006- 1119']",21526.93,Credit,55920.59,False,False
19,09/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55920.49,False,False
20,09/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55920.39,False,False
21,09/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55920.29,False,False
22,09/12,"['REFLEX SINGLE IBG DR', 'HNP TAXATION SERVICE', 'TS2020/192/ 19120989852 7']",148.4,Debit,55771.89,False,False
23,09/12,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', '19111676 19120031/ 19120989817 8']",751.0,Debit,55020.89,False,False
24,09/12,"['REFLEX SINGLE IBG DR', 'TRANSBAG FORWARDI NG', '19/12 42 43 41 DEC19/ 19120989800 6']",900.0,Debit,54120.89,False,False
25,12/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,54120.79,False,False
26,12/12,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19121201780 1']",4000.0,Debit,50120.79,False,False
27,16/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,50120.69,False,False
28,16/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,50120.59,False,False
29,16/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,50120.49,False,False
30,16/12,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SALARY 151219/ 19121615511 3']",360.51,Debit,49759.98,False,False
31,16/12,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 0112 TO 151219/ 19121615494 1']",899.26,Debit,48860.72,False,False
32,16/12,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'SAL 0112 TO 151219/ 19121615501 7']",1514.72,Debit,47346.0,False,False
33,17/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,47345.9,False,False
34,17/12,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'repayment/ 19121717764 3']",1000.0,Debit,46345.9,False,False
35,17/12,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,31345.9,False,False
36,19/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,31345.8,False,False
37,19/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,31345.7,False,False
38,19/12,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR 3LORR/ 19121923508 1']",2000.0,Debit,29345.7,False,False
39,19/12,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19121923503 1']",3000.0,Debit,26345.7,False,False
40,23/12,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,11345.7,False,False
41,24/12,"['RPP INWARD INST TRF', 'NATURAL PREMIUM MINE', '/ 00380183']",3475.2,Credit,14820.9,False,False
42,24/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,14820.8,False,False
43,24/12,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19122435467 6']",2000.0,Debit,12820.8,False,False
44,26/12,"['INWARD IBG', 'SHEN DONG ENTERPRIS E', 'LKF00002/12 19/']",33250.64,Credit,46071.44,False,False
45,26/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,46071.34,False,False
46,26/12,"['REFLEX SINGLE IBG DR', 'ALM MIRACLE ENTERPRI', 'INV0723 BKS2122/ 19122640703 7']",160.0,Debit,45911.34,False,False
47,26/12,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,30911.34,False,False
48,30/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,30911.24,False,False
49,30/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,30911.14,False,False
50,30/12,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19123051482 2']",2000.0,Debit,28911.14,False,False
51,30/12,"['REFLEX SINGLE IBG DR', 'LKF MARKETING SDN BH', 'FUND TRSF/ 19123051495 9']",5000.0,Debit,23911.14,False,False
52,31/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,23911.04,False,False
53,31/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,23910.94,False,False
54,31/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,23910.84,False,False
55,31/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,23910.74,False,False
56,31/12,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,23910.64,False,False
57,31/12,"['REFLEX- FUNDS TFR DR', 'ZAINAL BIN SUMAN', 'COMMISSIO N FROM/']",462.93,Debit,23447.71,False,False
58,31/12,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SAL 1612 TO 311219/ 19123154311 8']",822.17,Debit,22625.54,False,False
59,31/12,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 1612 TO 31122019/ 19123154324 9']",1309.93,Debit,21315.61,False,False
60,31/12,"['REFLEX SINGLE IBG DR', 'GAN TZE WEI', 'SALARY DEC19/ 19123153469 0']",1471.65,Debit,19843.96,False,False
61,31/12,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'SALARY DEC19/ 19123153479 5']",1500.0,Debit,18343.96,False,False
62,31/12,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'SALARY FOR DEC19/ 19123153454 6']",3590.85,Debit,14753.11,False,False
