,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,22779.75,False,False
1,,['Deposits'],,,167517.95,False,False
2,,['Withdraws'],,,175206.87,False,False
3,,['Ending Balance'],,,15090.83,False,False
4,03/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,22779.65,False,False
5,03/02,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20020359710 4']",2000.0,Debit,20779.65,False,False
6,04/02,"['RPP INWARD INST TRF', 'LKF MARKETING SDN. B', '/ FUND TRANSFER']",20000.0,Credit,40779.65,False,False
7,04/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,40779.55,False,False
8,04/02,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR 3LORR/ 20020463045 7']",5000.0,Debit,35779.55,False,False
9,04/02,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",20000.0,Debit,15779.55,False,False
10,06/02,"['RPP INWARD INST TRF', 'LKF MARKETING SDN. B', '/ FUND TRANSFER']",40000.0,Credit,55779.55,False,False
11,06/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55779.45,False,False
12,06/02,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20020673511 2']",3000.0,Debit,52779.45,False,False
13,06/02,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,37779.45,False,False
14,07/02,"['RPP INWARD INST TRF', 'NKY GLOBAL ENTERPRIS', '/ RAJAN']",4826.32,Credit,42605.77,False,False
15,07/02,"['RPP INWARD INST TRF', 'NATURAL PREMIUM MINE', '/ 00129067']",28342.8,Credit,70948.57,False,False
16,07/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,70948.47,False,False
17,07/02,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR EPF/ 20020779179 5']",3000.0,Debit,67948.47,False,False
18,10/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,67948.37,False,False
19,10/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,67948.27,False,False
20,10/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,67948.17,False,False
21,10/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,67948.07,False,False
22,10/02,"['REFLEX SINGLE IBG DR', 'CHONG WEI FOOK', 'COMMISSIO N FOR INV/ 20020779754 8']",56.12,Debit,67891.95,False,False
23,10/02,"['REFLEX SINGLE IBG DR', 'TRANSBAG FORWARDI NG', '20200251 52 50 feb20/ 20021081792 1']",900.0,Debit,66991.95,False,False
24,10/02,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20021082159 2']",4000.0,Debit,62991.95,False,False
25,10/02,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,47991.95,False,False
26,10/02,"['REFLEX SINGLE IBG DR', 'HENG LIEONG TRANSPOR', 'INV 00002389/ 20021081810 3']",34911.54,Debit,13080.41,False,False
27,12/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,13080.31,False,False
28,12/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,13080.21,False,False
29,12/02,"['REFLEX SINGLE IBG DR', 'SRI SELATAN AUTO DAN', 'JAN N FEB20/ 20021291688 1']",341.0,Debit,12739.21,False,False
30,12/02,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', '1401 0102 0602 2122/ 20021291667 4']",590.0,Debit,12149.21,False,False
31,13/02,"['ATM FUND TRF CR', 'LEE POH LING', '/ FUNDS TRF VIA ATM']",3000.0,Credit,15149.21,False,False
32,13/02,"['RPP INWARD INST TRF', 'LEE POH TENG', '/ ADVANCE TO LKF']",10000.0,Credit,25149.21,False,False
33,13/02,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,25149.11,False,False
34,13/02,"['REFLEX SINGLE IBG DR', 'WARE INTERNATIO NAL S', 'INV00001886 / 20021397627 1']",12153.98,Debit,12995.13,False,False
