,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Deposits'],,,169207.96,False,False
1,,['Beginning Balance'],,,120.2,False,False
2,,['Deposits'],,,169207.96,False,False
3,,['Withdraws'],,,161181.32,False,False
4,,['Ending Balance'],,,22779.75,False,False
5,03/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Credit,14753.01,False,True
6,03/01,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20010364293 5']",2000.0,Debit,12753.01,False,False
7,06/01,"['INWARD IBG', 'SHEN DONG ENTERPRIS E', 'LKF00008- 1219/']",18120.3,Credit,30873.31,False,False
8,06/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,30873.21,False,False
9,06/01,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR EPF/ 20010670596 2']",3500.0,Debit,27373.21,False,False
10,08/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,27373.11,False,False
11,08/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,27373.01,False,False
12,08/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,27372.91,False,False
13,08/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,27372.81,False,False
14,08/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,27372.71,False,False
15,08/01,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', 'DEC19 BILL BKS2122/ 20010883317 2']",631.0,Debit,26741.71,False,False
16,08/01,"['REFLEX SINGLE IBG DR', 'TRANSBAG FORWARDI NG', '20/0131 32 BKS2122/ 20010883334 5']",900.0,Debit,25841.71,False,False
17,08/01,"['REFLEX SINGLE IBG DR', 'ACETRACK SDN BHD', 'IV20520 GPS annual f/ 20010883304 3']",1398.0,Debit,24443.71,False,False
18,08/01,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20010883345 7']",2000.0,Debit,22443.71,False,False
19,08/01,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'BONUS YR 2019/ 20010883355 1']",3500.0,Debit,18943.71,False,False
20,10/01,"['RENTAS CREDIT', 'ASIA INTEGRAL RESOUR', '/ROC/TT/']",38000.0,Credit,56943.71,False,False
21,10/01,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,41943.71,False,False
22,14/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,41943.61,False,False
23,14/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,41943.51,False,False
24,14/01,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR 3LORR/ 20011403375 4']",2000.0,Debit,39943.51,False,False
25,14/01,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20011403381 7']",2000.0,Debit,37943.51,False,False
26,16/01,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",20000.0,Debit,17943.51,False,False
27,17/01,"['REFLEX- FUNDS TFR CR', 'LAPAN CEMERLAN G SDN', '/ REPAYMENT OF A/C']",20000.0,Credit,37943.51,False,False
28,17/01,"['REFLEX- FUNDS TFR DR', 'PERSATUAN KEBAJIKAN', 'DONATION/']",500.0,Debit,37443.51,False,False
29,18/01,"['RPP INWARD INST TRF', 'NKY GLOBAL ENTERPRIS', '/ LKF']",18086.66,Credit,55530.17,False,False
30,20/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55530.07,False,False
31,20/01,"['REFLEX SINGLE IBG DR', 'CHONG WEI FOOK', 'COMMISSIO N FOR/ 20011821186 4']",210.36,Debit,55319.71,False,False
32,20/01,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",20000.0,Debit,35319.71,False,False
33,21/01,"['INWARD IBG', 'MADAM LEE POH TENG', 'ADVANCE TO LKF/']",10000.0,Credit,45319.71,False,False
34,21/01,"['RPP INWARD INST TRF', 'LEE POH TENG', '/ ADVANCE TO LKF']",10000.0,Credit,55319.71,False,False
35,21/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55319.61,False,False
36,21/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55319.51,False,False
37,21/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55319.41,False,False
38,21/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55319.31,False,False
39,21/01,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,55319.21,False,False
