,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,326753.24,False,False
1,,['Deposits'],,,136446.39,False,False
2,,['Withdraws'],,,436385.12,False,False
3,,['Ending Balance'],,,26814.51,False,False
4,01/07,"['INWARD IBG', 'ALASKA RESOURCE S SDN', 'PAYMENT/']",85000.0,Credit,411753.24,False,False
5,01/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,411753.14,False,False
6,01/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,411753.04,False,False
7,01/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,411752.94,False,False
8,01/07,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SAL 160620 to 300620/ 20070173306 0']",2519.7,Debit,409233.24,False,False
9,01/07,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 1606 to 300620/ 20070173288 2']",3080.13,Debit,406153.11,False,False
10,01/07,"['REFLEX SINGLE IBG DR', 'SY SERVICE & ENTERPR', 'SALE ORDER 200701/ 20070170819 5']",6340.0,Debit,399813.11,False,False
11,02/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,399813.01,False,False
12,02/07,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 20070275658 5']",3000.0,Debit,396813.01,False,False
13,02/07,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",30000.0,Debit,366813.01,False,False
14,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,366812.91,False,False
15,03/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,366812.81,False,False
16,03/07,"['RFLX INSTANT TRF SC', '/']",0.5,Debit,366812.31,False,False
17,03/07,"['RFLX INSTANT TRF SC', '/']",0.5,Debit,366811.81,False,False
18,03/07,"['RFLX INSTANT TRF DR', 'JAMAIN BIN AYUB', '20070383208 0/ COM TG LANGSAT T KTN']",278.23,Debit,366533.58,False,False
19,03/07,"['REFLEX SINGLE IBG DR', 'HNP CORPORAT E ADVISO', 'HS1912096 2001272/ 20070380952 5']",1453.7,Debit,365079.88,False,False
20,03/07,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', 'MAR20 N MAY20/ 20070380970 3']",6220.0,Debit,358859.88,False,False
21,03/07,"['RFLX INSTANT TRF DR', 'CHUA KAR HOE', '20070383182 9/ COMM INVLKF00005 0620']",8573.27,Debit,350286.61,False,False
22,03/07,"['RFLX INSTANT TRF DR', 'SHEN DONG ENTERPRIS E', '20070380863 3/ INV LKF070120']",24985.36,Debit,325301.25,False,False
23,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,325301.15,False,False
24,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,325301.05,False,False
25,06/07,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,325300.95,False,False
