,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,125481.06,False,False
1,,['Deposits'],,,138191.71,False,False
2,,['Withdraws'],,,114937.29,False,False
3,,['Ending Balance'],,,148735.48,False,False
4,01/11,"['ATM INST CR AT MEPS', 'SD SPEED ENTERPRIS E', 'ATM9603 SERV CHRG RM   ./ LKF0007- SENAI']",25991.13,Credit,151472.19,False,False
5,01/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,151472.09,False,False
6,01/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,151471.99,False,False
7,01/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,151471.89,False,False
8,01/11,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SAL 1610 TO 311019/ 19110171083 8']",243.18,Debit,151228.71,False,False
9,01/11,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'SAL 1610 TO 311019/ 19110171098 4']",734.4,Debit,150494.31,False,False
10,01/11,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'sal 1610 TO 311019/ 19110171059 9']",900.05,Debit,149594.26,False,False
11,04/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,149594.16,False,False
12,04/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,149594.06,False,False
13,04/11,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19110479089 9']",3000.0,Debit,146594.06,False,False
14,04/11,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR EXPEN/ 19110479099 0']",5000.0,Debit,141594.06,False,False
15,05/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,141593.96,False,False
16,05/11,"['REFLEX SINGLE IBG DR', 'LKF MARKETING SDN BH', 'FUND TRSF FOR CAR/ 19110583619 2']",10000.0,Debit,131593.96,False,False
17,07/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,131593.86,False,False
18,07/11,"['REFLEX SINGLE IBG DR', 'TRANSBAG FORWARDI NG', '2019/11 44 NOV19/ 19110792107 5']",900.0,Debit,130693.86,False,False
19,14/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,130693.76,False,False
20,14/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,130693.66,False,False
21,14/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,130693.56,False,False
22,14/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,130693.46,False,False
23,14/11,"['REFLEX SINGLE IBG DR', 'TWINCO FAR EAST SDN', 'CS J0005539 BLJ9026/ 19111413310 6']",152.0,Debit,130541.46,False,False
24,14/11,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', 'OCT19 TO NOV19/ 19111413297 7']",1561.5,Debit,128979.96,False,False
25,14/11,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19111413324 7']",2000.0,Debit,126979.96,False,False
26,14/11,"['REFLEX SINGLE IBG DR', 'HARSOON ENGINEERI NG', 'I0I002878 BLJ9026/ 19111413279 1']",2838.5,Debit,124141.46,False,False
27,16/11,"['ATM INST CR AT MEPS', 'SD SPEED ENTERPRIS E', 'ATM9603 SERV CHRG RM   ./ LKF0001- 1119']",35009.12,Credit,159150.58,False,False
28,18/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,159150.48,False,False
29,18/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,159150.38,False,False
30,18/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,159150.28,False,False
31,18/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,159150.18,False,False
32,18/11,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', '19101505 bal BkW1122/ 19111823830 4']",195.0,Debit,158955.18,False,False
33,18/11,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'GAJI 0111 TO 151119/ 19111823841 9']",247.75,Debit,158707.43,False,False
34,18/11,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SAL 0111 TO 1511119/ 19111823851 1']",367.32,Debit,158340.11,False,False
35,18/11,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 0111 TO 151119/ 19111823859 0']",915.74,Debit,157424.37,False,False
36,18/11,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'INV19100015 /']",10000.0,Debit,147424.37,False,False
37,20/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,147424.27,False,False
38,20/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,147424.17,False,False
39,20/11,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'advance SALARY NOV19/ 19112030005 0']",1000.0,Debit,146424.17,False,False
40,20/11,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19112030166 7']",5000.0,Debit,141424.17,False,False
41,20/11,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'INV19110002 /']",20000.0,Debit,121424.17,False,False
42,21/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,121424.07,False,False
43,21/11,"['REFLEX SINGLE IBG DR', 'KONG CHOOI WOON', 'R TAX INSURANCE FOR/ 19112134012 9']",5169.65,Debit,116254.42,False,False
44,23/11,"['RPP INWARD INST TRF', 'SHEN DONG ENTERPRIS E', '/ LKF00002- 1119']",20271.48,Credit,136525.9,False,False
45,25/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,136525.8,False,False
46,25/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,136525.7,False,False
47,25/11,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'REPAYMENT FOR EXPENS/ 19112540958 2']",5000.0,Debit,131525.7,False,False
48,25/11,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19112540950 0']",7000.0,Debit,124525.7,False,False
49,25/11,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",20000.0,Debit,104525.7,False,False
50,27/11,"['REFLEX- FUNDS TFR CR', 'LAPAN CEMERLAN G SDN', '/ REFUND OF OVERPAY']",4036.74,Credit,108562.44,False,False
51,27/11,"['REFLEX- FUNDS TFR CR', 'LAPAN CEMERLAN G SDN', '/ PAYMENT OF NOV A/C']",45157.04,Credit,153719.48,False,False
52,27/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,153719.38,False,False
53,27/11,"['REFLEX SINGLE IBG DR', 'LEE BOON KIONG', 'ROAD TAX BKW1122/ 19112750487 0']",928.0,Debit,152791.38,False,False
54,28/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,152791.28,False,False
55,28/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,152791.18,False,False
56,28/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,152791.08,False,False
57,28/11,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', '19111205 blj9026/ 19112852899 6']",351.0,Debit,152440.08,False,False
58,28/11,"['REFLEX SINGLE IBG DR', 'TWINCO FAR EAST SDN', 'CSJ0005989/ 19112852910 4']",368.0,Debit,152072.08,False,False
59,28/11,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR EXPEN/ 19112852918 9']",5000.0,Debit,147072.08,False,False
60,29/11,"['INWARD IBG', 'NATURAL PREMIUM MINE', 'PRIVATE TRANSACTI ON/']",7726.2,Credit,154798.28,False,False
61,29/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,154798.18,False,False
62,29/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,154798.08,False,False
63,29/11,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,154797.98,False,False
64,29/11,"['REFLEX SINGLE IBG DR', 'GAN TZE WEI', 'SALARY NOV19/ 19112958920 9']",971.65,Debit,153826.33,False,False
65,29/11,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'SALARY NOV19/ 19112958926 1']",1500.0,Debit,152326.33,False,False
66,29/11,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'SALARY FOR NOV19/ 19112958914 4']",3590.85,Debit,148735.48,False,False
