,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Beginning Balance'],,,140332.44,False,False
1,,['Deposits'],,,209657.83,False,False
2,,['Withdraws'],,,224509.21,False,False
3,,['Ending Balance'],,,125481.06,False,False
4,01/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,140332.34,False,False
5,01/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,140332.24,False,False
6,01/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,140332.14,False,False
7,01/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,140332.04,False,False
8,01/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,140331.94,False,False
9,01/10,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'SAL 1609 TO 300919/ 19100176042 2']",1261.95,Debit,139069.99,False,False
10,01/10,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 1609 TO 300919/ 19100176056 6']",2636.3,Debit,136433.69,False,False
11,01/10,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SALARY 1609 to 3009/ 19100176022 7']",2721.4,Debit,133712.29,False,False
12,01/10,"['REFLEX SINGLE IBG DR', 'LEONG SHALL AI', 'BKS2122 INSURANCE/ 19100176079 3']",4500.0,Debit,129212.29,False,False
13,01/10,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'P CASH FOR EPF SOCSO/ 19100176111 9']",5000.0,Debit,124212.29,False,False
14,02/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,124212.19,False,False
15,02/10,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19100280932 6']",8000.0,Debit,116212.19,False,False
16,04/10,"['RENTAS CREDIT', 'ASIA INTEGRAL RESOUR', '/ROC/TT/']",100000.0,Credit,216212.19,False,False
17,07/10,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",30000.0,Debit,186212.19,False,False
18,08/10,"['ATM INST CR AT MEPS', 'PB RELIABLE RESOURCE', 'ATM9603 SERV CHRG RM   ./ Transportatio n']",10000.0,Credit,196212.19,False,False
19,08/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,196212.09,False,False
20,08/10,"['REFLEX SINGLE IBG DR', 'LEE BOON KIONG', 'repayment/ 19100801883 9']",10000.0,Debit,186212.09,False,False
21,11/10,"['ATM INST CR AT MEPS', 'PAM BROTHER RESOURCE', 'ATM9603 SERV CHRG RM   ./ MEPS FUND TRANSFER']",3000.0,Credit,189212.09,False,False
22,11/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,189211.99,False,False
23,11/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,189211.89,False,False
24,11/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,189211.79,False,False
25,11/10,"['REFLEX SINGLE IBG DR', 'TWINCO FAR EAST SDN', 'NRJ0005179 BKS2122/ 19101111319 4']",100.0,Debit,189111.79,False,False
26,11/10,"['REFLEX SINGLE IBG DR', 'SRI SELATAN AUTO DAN', 'CSSO000232 BKW1122/ 19101111340 8']",382.0,Debit,188729.79,False,False
27,11/10,"['REFLEX SINGLE IBG DR', 'KING LEONG SOON WELD', 'INV015364 BKS2122/ 19101111386 5']",3003.2,Debit,185726.59,False,False
28,12/10,"['ATM INST CR AT MEPS', 'PAM BROTHER RESOURCE', 'ATM9603 SERV CHRG RM   ./ MEPS FUND TRANSFER']",2000.0,Credit,187726.59,False,False
29,12/10,"['RPP INWARD INST TRF', 'PAM KIAN HONG', '/ sewa lori']",3000.0,Credit,190726.59,False,False
30,14/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,190726.49,False,False
31,14/10,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19101419627 1']",6000.0,Debit,184726.49,False,False
32,15/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,184726.39,False,False
33,15/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,184726.29,False,False
34,15/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,184726.19,False,False
35,15/10,"['REFLEX SINGLE IBG DR', 'TRANSBAG FORWARDI NG', '2019/10 45 47 44/ 19101522878 4']",900.0,Debit,183826.19,False,False
36,15/10,"['REFLEX SINGLE IBG DR', 'WARE INTERNATIO NAL S', 'INV00001751 / 19101522924 2']",7862.4,Debit,175963.79,False,False
37,15/10,"['REFLEX SINGLE IBG DR', 'ASIA INTEGRAL RESOUR', 'REFUND TRANSPORT FEE/ 19101525190 4']",31308.92,Debit,144654.87,False,False
38,16/10,"['ATM INST CR AT MEPS', 'SHEN DONG ENTERPRIS E', 'ATM9603 SERV CHRG RM   ./ LKF00002- 1019']",12552.29,Credit,157207.16,False,False
39,16/10,"['ATM INST CR AT MEPS', 'SHEN DONG ENTERPRIS E', 'ATM9603 SERV CHRG RM   ./ LKF00004- 0919']",16925.54,Credit,174132.7,False,False
40,16/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,174132.6,False,False
41,16/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,174132.5,False,False
42,16/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,174132.4,False,False
43,16/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,174132.3,False,False
44,16/10,"['REFLEX SINGLE IBG DR', 'SAN HUP ENGINEERI NG', 'IV1910205 BKW1122/ 19101626757 3']",1356.8,Debit,172775.5,False,False
45,16/10,"['REFLEX SINGLE IBG DR', 'LIM HOI LEONG', 'SAL 0110 TO 151019/ 19101628325 5']",2126.41,Debit,170649.09,False,False
46,16/10,"['REFLEX SINGLE IBG DR', 'MOHD YUNUS BIN RAHMA', 'SALARY 0110 TO 1510/ 19101628312 3']",2890.67,Debit,167758.42,False,False
47,16/10,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR 3LORR/ 19101628334 8']",5000.0,Debit,162758.42,False,False
48,17/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,162758.32,False,False
49,17/10,"['REFLEX SINGLE IBG DR', 'MOHAMAD KURAIS BIN Y', 'SAL 0110 TO 151019/ 19101730046 9']",789.36,Debit,161968.96,False,False
50,17/10,"['REFLEX- FUNDS TFR DR', 'LAPAN CEMERLAN G SDN', 'ADVANCE PAYMENT/']",15000.0,Debit,146968.96,False,False
51,21/10,"['CHQ SVC CHARGE- CLRG', '20191021023 31223610127 204/']",0.5,Debit,146968.46,False,False
52,21/10,"['CLEARING CHQ', '20191021023 31223610127 204/']",60000.0,Debit,86968.46,False,False
53,22/10,"['RENTAS STP', 'PAM BROTHER RESOURCE', '/ROC/JPJ/TT S/RENTAS/0 031/']",62180.0,Credit,149148.46,False,False
54,22/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,149148.36,False,False
55,22/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,149148.26,False,False
56,22/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,149148.16,False,False
57,22/10,"['REFLEX SINGLE IBG DR', 'KZ CANVAS TRADING', 'INVI002158 BLJ9026/ 19102241502 8']",286.0,Debit,148862.16,False,False
58,22/10,"['REFLEX SINGLE IBG DR', 'MOUNT AUSTIN ENGINEE', 'INVC04535 BKS2122/ 19102241508 4']",400.0,Debit,148462.16,False,False
59,22/10,"['REFLEX SINGLE IBG DR', 'TRANSFOR MER HEAVY LI', '19100966 Bkw1122/ 19102241496 9']",768.0,Debit,147694.16,False,False
60,24/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,147694.06,False,False
61,24/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,147693.96,False,False
62,24/10,"['REFLEX SINGLE IBG DR', 'LEE POH TENG', 'PETTY CASH FOR 3LORR/ 19102447586 6']",5000.0,Debit,142693.96,False,False
63,24/10,"['REFLEX SINGLE IBG DR', 'PETRON FUEL INTERNAT', 'ACC NO 704738 PETROL/ 19102447573 8']",5000.0,Debit,137693.96,False,False
64,31/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,137693.86,False,False
65,31/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,137693.76,False,False
66,31/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,137693.66,False,False
67,31/10,"['REFLEX SINGLE IBG CH', '/']",0.1,Debit,137693.56,False,False
68,31/10,"['REFLEX SINGLE IBG DR', 'GAN TZE WEI', 'SALARY OCT19/ 19103164236 7']",971.65,Debit,136721.91,False,False
69,31/10,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'REPAYMENT FOR/ 19103164266 4']",3000.0,Debit,133721.91,False,False
70,31/10,"['REFLEX SINGLE IBG DR', 'LIM CHAI KUEN', 'SALARY FOR OCT19/ 19103164249 6']",3590.85,Debit,130131.06,False,False
71,31/10,"['REFLEX SINGLE IBG DR', 'LEONG SHALL AI', 'BLJ9026 INS MV088994/ 19103167407 9']",4650.0,Debit,125481.06,False,False
