,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,70410.0,False,False
1,01/03,"['ODS Sweep Trf CR', '2293033929', '2293033929']",14223.44,Credit,84633.44,False,False
2,01/03,"['ODS Sweep Trf CR', '2293033929', '2293033929']",0.22,Credit,84633.66,False,False
3,01/03,"['ODS Sweep Trf DR', '2293033929', '2293033929']",14223.66,Debit,70410.0,False,False
4,02/03,"['ODS Sweep Trf CR', '2293033929', '2293033929']",14223.66,Credit,84633.66,False,False
5,02/03,"['IBG CR', 'I-000646 07/01/20', 'I-000626 30/12/19', 'HLBB PARAGON PETS LOVER SDN BHD']",10018.0,Credit,94651.66,False,False
6,02/03,"['IBG CR', 'INV000619', 'Interbank GIRO', 'OCBC VINPET']",1860.0,Credit,96511.66,False,False
7,02/03,"['IBG CR', 'I000748', 'CIMB V I PET']",657.0,Credit,97168.66,False,False
8,02/03,"['IBG Debit', 'AMITY']",6000.0,Debit,91168.66,False,False
9,02/03,"['IBG Debit', 'SALARY']",5285.45,Debit,85883.21,False,False
10,02/03,"['Fund Trf EB', 'I-015161']",50000.0,Debit,35883.21,False,False
11,02/03,"['Cheque Deposit CIMB', '000330']",4361.4,Credit,40244.61,False,False
12,02/03,"['DuitNow/Instant Trf', 'payment', 'PBB P.A.W.S PET GROOMING SALON']",636.0,Credit,40880.61,False,False
13,03/03,"['Cheque Deposit ABMB', '000384']",4026.0,Credit,44906.61,False,False
14,03/03,"['Cheque Deposit MBB', '829138']",2000.0,Credit,46906.61,False,False
15,03/03,"['Cheque Deposit AMBG', '386357']",1946.4,Credit,48853.01,False,False
16,,['BALANCE C/F'],,,48853.01,False,False
17,,['BALANCE B/F'],,,48853.01,False,False
18,05/03,"['IBG CR', 'I-000675', 'Interbank GIRO', 'OCBC K & K PET AVENUE']",1941.5,Credit,50794.51,False,False
19,05/03,"['DuitNow/Instant Trf', 'Cash', 'Amity', 'BIMB ZARA GBP EMPIRE']",1393.83,Credit,52188.34,False,False
20,05/03,"['ODS Sweep Trf DR', '2293033929', '2293033929']",2188.34,Debit,50000.0,False,False
21,06/03,"['ODS Sweep Trf CR', '2293033929', '2293033929']",2188.34,Credit,52188.34,False,False
22,06/03,"['DuitNow/Instant Trf', '750', 'PBB DWITASIK PET HOUSE']",362.3,Credit,52550.64,False,False
23,06/03,"['Fund Trf EB', 'R0579604']",38.9,Debit,52511.74,False,False
24,06/03,"['Fund Trf EB', 'I-015161, CS-003534']",11499.4,Debit,41012.34,False,False
25,06/03,"['DuitNow/Instant Trf', 'MIX', 'MBB CHAN TOONG SOON']",320.0,Credit,41332.34,False,False
26,06/03,"['FPX Debit', 'LEMBAGA HASIL DALAM', 'PE6C20004078']",305.4,Debit,41026.94,False,False
27,06/03,"['FPX Debit', 'KUMPULAN WANG SIMPAN', '0320200021815659C111']",840.0,Debit,40186.94,False,False
28,06/03,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200306170454_66780']",77.6,Debit,40109.34,False,False
29,06/03,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200306170756_24801']",13.8,Debit,40095.54,False,False
30,06/03,"['DuitNow/Instant Trf', 'qqpet', 'Pay For 3rd Party', 'SCB NG JUN LOONG']",1179.6,Credit,41275.14,False,False
31,06/03,['Cheque 0527256'],1500.0,Debit,39775.14,False,False
32,06/03,"['Chq Processing Fee', 'Total 1 Cheque(s)']",0.5,Debit,39774.64,False,False
33,10/03,"['Fund Trf EB', 'I-015617']",20000.0,Debit,19774.64,False,False
34,10/03,"['IBG CR', 'I-000768', 'I-000768', 'CIMB RASA SAYANG BANTING PET', 'HOUSE']",436.5,Credit,20211.14,False,False
35,12/03,"['IBG Debit', 'C0011976']",110.0,Debit,20101.14,False,False
36,,['BALANCE C/F'],,,20101.14,False,False
