,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,5788.86,False,False
1,01/01,"['ODS Sweep Trf CR', '2293033929', '2293033929']",0.94,Credit,5789.8,False,False
2,02/01,"['DuitNow/Instant Trf', 'Transfer From Barking lot', 'ABMB THE BARKING LOT']",15000.0,Credit,20789.8,False,False
3,02/01,"['Cheque Deposit MBB', '740809']",750.12,Credit,21539.92,False,False
4,02/01,"['DuitNow/Instant Trf', '471 495 515 519 571', '00034244', 'MBB UNIQUE PETS CARE SDN BHD']",1925.4,Credit,23465.32,False,False
5,03/01,"['DuitNow/Instant Trf', 'paybackoctcupsdeposit', 'paybackoctcupsdeposit', 'PBB NG BEE CHIN']",10000.0,Credit,33465.32,False,False
6,03/01,"['DuitNow/Instant Trf', 'paybackoctcupsdeposit', 'paybackoctcupsdeposit', 'PBB NG BEE CHIN']",10000.0,Credit,43465.32,False,False
7,03/01,"['DuitNow/Instant Trf', 'Payment', 'Payment', 'MBB ANG CHIN GUAN']",209.35,Credit,43674.67,False,False
8,03/01,"['IBG Debit', 'CONTRACT WAGES']",4890.0,Debit,38784.67,False,False
9,03/01,"['DuitNow/Instant Trf', 'barking lot', 'Transfer From ABMB', 'ABMB THE BARKING LOT']",2339.0,Credit,41123.67,False,False
10,03/01,"['IBG Debit', 'SALARY']",5535.25,Debit,35588.42,False,False
11,03/01,"['Cheque Deposit MBB', '447515']",11371.0,Credit,46959.42,False,False
12,06/01,"['Returned Cheque MBB', '447515']",11371.0,Debit,35588.42,False,False
13,06/01,"['DuitNow/Instant Trf', 'I 000582', 'DJ Pet House', 'PBB DJ PET HOUSE']",3580.8,Credit,39169.22,False,False
14,,['BALANCE C/F'],,,39169.22,False,False
15,,['BALANCE B/F'],,,39169.22,False,False
16,07/01,"['IBG CR', 'BEBK010628338687', 'CS108', 'PBB TEYEN OFFICE FURNITURE SDN.', 'BHD.']",80.0,Credit,39249.22,False,False
17,07/01,"['DuitNow/Instant Trf', 'I000477', 'MBB CANINE PET SHOP']",1380.0,Credit,40629.22,False,False
18,07/01,"['IBG CR', 'I-000568', 'HLBB POWER GREEN PET V INSPIRATION']",792.0,Credit,41421.22,False,False
19,08/01,['CDM Cash Deposit'],2000.0,Credit,43421.22,False,False
20,08/01,"['IBG CR', 'I-000610', 'Interbank GIRO', 'OCBC K & K PET AVENUE']",2050.4,Credit,45471.62,False,False
21,08/01,"['Fund Trf EB', 'I-014869 n CS-003394']",25000.0,Debit,20471.62,False,False
22,08/01,"['FPX Debit', 'LEMBAGA HASIL DALAM', 'PE8A20004407']",55.6,Debit,20416.02,False,False
23,08/01,"['FPX Debit', 'KUMPULAN WANG SIMPAN', '0120200021815659C111']",840.0,Debit,19576.02,False,False
