,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,39166.97,False,False
1,03/05,"['ODS Sweep Trf CR', '2293033929', '2293033929']",1.17,Credit,39168.14,False,False
2,02/05,"['DuitNow/Instant Trf', 'Amity bravery sdn bh', 'I 000837', 'MBB RANIA PET SHOP']",4909.17,Credit,44077.31,False,False
3,03/05,"['DuitNow/Instant Trf', 'payment', 'PBB P.A.W.S PET GROOMING SALON']",1237.2,Credit,45314.51,False,False
4,04/05,"['IBG Debit', 'SALARY']",5465.9,Debit,39848.61,False,False
5,05/05,"['DuitNow/Instant Trf', '2 PAYMENT', 'MBB IKAN IKAN ENTERPRISE']",4000.0,Credit,43848.61,False,False
6,05/05,"['IBG Debit', 'AMITY CP204']",1500.0,Debit,42348.61,False,False
7,06/05,"['FPX Debit', 'KUMPULAN WANG SIMPAN', '0520200021815659C112']",700.0,Debit,41648.61,False,False
8,06/05,"['FPX Debit', 'LEMBAGA HASIL DALAM', 'PE6E20001169']",264.95,Debit,41383.66,False,False
9,06/05,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200506114602_74254']",77.6,Debit,41306.06,False,False
10,06/05,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200506114936_25476']",13.8,Debit,41292.26,False,False
11,06/05,"['DuitNow/Instant Trf', 'qqpet', '3rd Party Transfer', 'SCB NG JUN LOONG']",1122.6,Credit,42414.86,False,False
12,06/05,"['Cheque Deposit CIMB', '007367']",1701.0,Credit,44115.86,False,False
13,06/05,"['Cheque Deposit HLBB', '044105']",1768.7,Credit,45884.56,False,False
14,07/05,"['DuitNow/Instant Trf', '00104762', 'MBB JF PAW DOGGIE HOUSE SDN B']",2358.0,Credit,48242.56,False,False
15,,['BALANCE C/F'],,,48242.56,False,False
16,,['BALANCE B/F'],,,48242.56,False,False
17,08/05,"['IBG CR', 'SAP VENTURE SDN.BHD.', ""FEB'20-MAR'20"", 'INVOICES']",3984.0,Credit,52226.56,False,False
18,08/05,"['Cheque Deposit MBB', '171469']",9919.2,Credit,62145.76,False,False
19,08/05,"['ODS Sweep Trf DR', '2293033929', '2293033929']",2226.56,Debit,59919.2,False,False
20,10/05,"['ODS Sweep Trf CR', '2293033929', '2293033929']",2226.56,Credit,62145.76,False,False
21,09/05,"['DuitNow/Instant Trf', '2 PAYMENT', 'MBB IKAN IKAN ENTERPRISE']",3000.0,Credit,65145.76,False,False
22,10/05,"['ODS Sweep Trf DR', '2293033929', '2293033929']",5226.56,Debit,59919.2,False,False
23,11/05,"['ODS Sweep Trf CR', '2293033929', '2293033929']",5226.56,Credit,65145.76,False,False
24,11/05,"['ODS Sweep Trf DR', '2293033929', '2293033929']",5226.56,Debit,59919.2,False,False
25,12/05,"['ODS Sweep Trf CR', '2293033929', '2293033929']",5226.56,Credit,65145.76,False,False
26,12/05,"['IBG Debit', 'AMITY']",4686.0,Debit,60459.76,False,False
27,12/05,"['IBG CR', 'I-000765 04/03/20', 'HLBB PARAGON PETS LOVER SDN BHD']",2548.7,Credit,63008.46,False,False
28,12/05,"['IBG Debit', '8800536767']",45.05,Debit,62963.41,False,False
29,12/05,"['IBG Debit', 'PO-2005/001']",1353.0,Debit,61610.41,False,False
