,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,14544.74,False,False
1,02/02,"['ODS Sweep Trf CR', '2293033929', '2293033929']",0.17,Credit,14544.91,False,False
2,03/02,"['IBG CR', 'VISTA VALLEY', 'INV 644', 'CIMB RASA SAYANG PET MART SDN BHD']",1384.8,Credit,15929.71,False,False
3,03/02,"['Cheque Deposit CIMB', '007301']",1263.0,Credit,17192.71,False,False
4,03/02,"['Cheque Deposit RHB', '050104']",4003.2,Credit,21195.91,False,False
5,04/02,"['IBG CR', 'I-000686', 'I-000686', 'CIMB RASA SAYANG BANTING PET', 'HOUSE']",633.35,Credit,21829.26,False,False
6,04/02,"['IBG Debit', 'INV0008']",2720.0,Debit,19109.26,False,False
7,04/02,"['Fund Trf EB', 'R0537910']",575.5,Debit,18533.76,False,False
8,04/02,"['IBG Debit', 'SALARY']",3335.85,Debit,15197.91,False,False
9,05/02,"['DuitNow/Instant Trf', 'Dog food', 'June chong', 'PBB CHONG PAU KHYUN']",158.0,Credit,15355.91,False,False
10,05/02,"['DuitNow/Instant Trf', 'INV000654', '00079748', 'MBB UNIQUE PETS CARE SDN BHD']",1599.6,Credit,16955.51,False,False
11,05/02,"['DuitNow/Instant Trf', 'INV000655', '00079750', 'MBB UNIQUE PETS CARE SDN BHD']",754.2,Credit,17709.71,False,False
12,05/02,"['DuitNow/Instant Trf', 'INV000660', '00079751', 'MBB UNIQUE PETS CARE SDN BHD']",177.0,Credit,17886.71,False,False
13,05/02,"['Fund Trf EB', 'I-015161']",14000.0,Debit,3886.71,False,False
14,,['BALANCE C/F'],,,3886.71,False,False
15,,['BALANCE B/F'],,,3886.71,False,False
16,06/02,"['DuitNow/Instant Trf', 'I687', 'INSTANT TRANSFER', 'ABB ZAREENAH BINTI SALLE']",1169.7,Credit,5056.41,False,False
17,06/02,"['Cheque Deposit HLBB', '043075']",3419.0,Credit,8475.41,False,False
18,07/02,"['IBG CR', 'SAP VENTURE SDN.BHD.', 'I-000572', 'I-000587']",3834.0,Credit,12309.41,False,False
19,07/02,"['IBG CR', 'I000879', 'CIMB CUTE Q MART']",75.0,Credit,12384.41,False,False
20,07/02,"['IBG CR', 'PAYMENT', 'CIMB CUTE Q MART']",350.0,Credit,12734.41,False,False
21,07/02,"['DuitNow/Instant Trf', 'Dog Food', 'Gan 57', 'PBB GAN HOCK CHUAN']",930.0,Credit,13664.41,False,False
22,10/02,"['FPX Debit', 'LEMBAGA HASIL DALAM', 'PEAB20005327']",255.0,Debit,13409.41,False,False
23,10/02,"['FPX Debit', 'KUMPULAN WANG SIMPAN', '0220200021815659C111']",840.0,Debit,12569.41,False,False
24,10/02,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200210150727_63218']",77.6,Debit,12491.81,False,False
25,10/02,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200210151016_24492']",13.8,Debit,12478.01,False,False
26,11/02,"['DuitNow/Instant Trf', 'dog food', 'PBB KEE KIM CHONG']",7120.0,Credit,19598.01,False,False
27,11/02,"['Cheque Deposit ABMB', '000372']",2268.0,Credit,21866.01,False,False
28,11/02,"['Cheque Deposit RHB', '000711']",2661.0,Credit,24527.01,False,False
29,11/02,"['Cheque Deposit PBB', '012651']",1911.6,Credit,26438.61,False,False
30,11/02,['Cheque 0527255'],1500.0,Debit,24938.61,False,False
31,11/02,"['Chq Processing Fee', 'Total 1 Cheque(s)']",0.5,Debit,24938.11,False,False
32,12/02,"['IBG CR', 'I-000708', 'I-000708', 'CIMB RASA SAYANG BANTING PET', 'HOUSE']",450.0,Credit,25388.11,False,False
33,12/02,"['IBG Debit', 'CONTRACT WAGES']",4147.7,Debit,21240.41,False,False
34,12/02,"['Fund Trf EB', 'I-015161']",10000.0,Debit,11240.41,False,False
35,,['BALANCE C/F'],,,11240.41,False,False
36,,['BALANCE B/F'],,,11240.41,False,False
37,12/02,"['Misc DR', 'SC Audit Cfm']",30.0,Debit,11210.41,False,False
38,12/02,"['IBG CR', 'BEBK021266107593', 'i000709', 'PBB PAW PET']",1584.45,Credit,12794.86,False,False
39,13/02,"['DuitNow/Instant Trf', 'qqpet', 'Pay For 3rd Party', 'SCB NG JUN LOONG']",1134.0,Credit,13928.86,False,False
40,13/02,"['DuitNow/Instant Trf', 'Amity', 'MBB CHIA BEN SON']",505.2,Credit,14434.06,False,False
41,17/02,"['IBG CR', 'SEMENYIH TESCO', 'INV 685', 'CIMB RASA SAYANG PET MART SDN BHD']",1266.7,Credit,15700.76,False,False
42,17/02,"['Cheque Deposit CIMB', '007239']",3672.0,Credit,19372.76,False,False
43,18/02,"['DuitNow/Instant Trf', 'DOG FOOD 16 BAG', 'I-000705', 'MBB LAI WEN HAUR']",1776.68,Credit,21149.44,False,False
44,18/02,"['DuitNow/Instant Trf', 'HAPPY PAWS', 'INV I-000683', 'PBB HAPPY PAWS']",450.0,Credit,21599.44,False,False
45,19/02,"['IBG CR', 'I-000637', 'HLBB POWER GREEN PET V INSPIRATION']",2431.2,Credit,24030.64,False,False
46,20/02,"['DuitNow/Instant Trf', 'Dog food', 'Dog food', 'MBB TEH CHWEE LEE']",105.0,Credit,24135.64,False,False
47,20/02,"['DuitNow/Instant Trf', 'payment', 'PBB P.A.W.S PET GROOMING SALON']",933.0,Credit,25068.64,False,False
