,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,50000.0,False,False
1,01/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",14492.19,Credit,64492.19,False,False
2,01/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",0.35,Credit,64492.54,False,False
3,01/04,"['IBG CR', 'IV000744 21/02/20', 'IV000612 19/12/19', 'HLBB PARAGON PETS LOVER SDN BHD']",4212.75,Credit,68705.29,False,False
4,01/04,"['IBG Debit', 'SALARY']",5307.85,Debit,63397.44,False,False
5,01/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",13397.44,Debit,50000.0,False,False
6,02/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",13397.44,Credit,63397.44,False,False
7,02/04,"['IBG CR', 'BEBK040286203212', 'I000802', 'PBB PAW PET']",693.5,Credit,64090.94,False,False
8,02/04,"['IBG CR', 'INV000679', 'Interbank GIRO', 'OCBC VINPET']",1375.8,Credit,65466.74,False,False
9,02/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",15466.74,Debit,50000.0,False,False
10,03/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",15466.74,Credit,65466.74,False,False
11,03/04,"['IBG Debit', '1912/00239']",8688.2,Debit,56778.54,False,False
12,03/04,"['IBG Debit', 'WAGES']",800.0,Debit,55978.54,False,False
13,03/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",5978.54,Debit,50000.0,False,False
14,,['BALANCE C/F'],,,50000.0,False,False
15,,['BALANCE B/F'],,,50000.0,False,False
16,05/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",5978.54,Credit,55978.54,False,False
17,05/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",5978.54,Debit,50000.0,False,False
18,06/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",5978.54,Credit,55978.54,False,False
19,06/04,"['IBG CR', 'I-000754', 'Interbank GIRO', 'OCBC K & K PET AVENUE']",3384.7,Credit,59363.24,False,False
20,06/04,"['IBG CR', 'SEMENYIH TESCO', 'INV 764', 'CIMB RASA SAYANG PET MART SDN BHD']",3600.0,Credit,62963.24,False,False
21,06/04,"['IBG Debit', 'AMITY CP204']",1500.0,Debit,61463.24,False,False
22,06/04,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200406121950_70246']",77.6,Debit,61385.64,False,False
23,06/04,"['FPX Debit', 'PERTUBUHAN KESELAMAT', '20200406122236_25115']",13.8,Debit,61371.84,False,False
24,06/04,"['FPX Debit', 'LEMBAGA HASIL DALAM', 'PE6D20001817']",283.0,Debit,61088.84,False,False
25,06/04,"['FPX Debit', 'KUMPULAN WANG SIMPAN', '0420200021815659C112']",840.0,Debit,60248.84,False,False
26,06/04,"['DuitNow/Instant Trf', 'Py', 'Pet', 'PBB YEOH BOON KIAT']",175.0,Credit,60423.84,False,False
27,06/04,"['Cheque Deposit HLBB', '044104']",16497.81,Credit,76921.65,False,False
28,06/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",10423.84,Debit,66497.81,False,False
29,07/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",10423.84,Credit,76921.65,False,False
30,07/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",26921.65,Debit,50000.0,False,False
31,08/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",26921.65,Credit,76921.65,False,False
32,08/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",26921.65,Debit,50000.0,False,False
33,,['BALANCE C/F'],,,50000.0,False,False
34,,['BALANCE B/F'],,,50000.0,False,False
35,09/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",26921.65,Credit,76921.65,False,False
36,09/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",26921.65,Debit,50000.0,False,False
37,10/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",26921.65,Credit,76921.65,False,False
38,10/04,"['DuitNow/Instant Trf', 'Kee', 'PBB KEE KIM CHONG']",9000.0,Credit,85921.65,False,False
39,10/04,"['IBG CR', 'I-000700 -CN2004-001', 'I-000700 -CN2004-001', 'CIMB PARAGON GENESIS SDN BHD']",12857.18,Credit,98778.83,False,False
40,10/04,"['IBG CR', 'INV000713-728-', 'CN2002-006', 'OCBC VINPET']",2742.6,Credit,101521.43,False,False
41,10/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",51521.43,Debit,50000.0,False,False
42,12/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",51521.43,Credit,101521.43,False,False
43,12/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",51521.43,Debit,50000.0,False,False
44,13/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",51521.43,Credit,101521.43,False,False
45,13/04,"['DuitNow/Instant Trf', 'LOOSE', 'MBB CHAN TOONG SOON']",375.0,Credit,101896.43,False,False
46,13/04,"['ODS Sweep Trf DR', '2293033929', '2293033929']",51896.43,Debit,50000.0,False,False
47,14/04,"['ODS Sweep Trf CR', '2293033929', '2293033929']",51896.43,Credit,101896.43,False,False
