,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'POSINT: LMS RBK CR INT', 'TRF CR MEMO']",0.07,Credit,39892.76,False,False
1,01/04,"['IBG CR', 'Payment For Account', 'DEC2019', 'MBB SHENG YI AUTO', 'SERVICE PARTS']",1870.0,Credit,41762.76,False,False
2,02/04,"['FPX Debit', '0420200021196460C112', 'KUMPULAN WANG', 'SIMPAN', 'GEB']",3792.0,Debit,37970.76,False,False
3,02/04,"['FPX Debit', '20200402105952_66735', 'PERTUBUHAN', 'KESELAMAT', 'GEB']",259.8,Debit,37710.96,False,False
4,02/04,"['FPX Debit', '20200402110608_24797', 'PERTUBUHAN', 'KESELAMAT', 'GEB']",46.2,Debit,37664.76,False,False
5,02/04,"['IBG Debit', 'TOP FIVE', 'TOP FIVE', 'POWERLITE']",1170.0,Debit,36494.76,False,False
6,02/04,"['IBG Debit', 'CA VISION', 'CA VISION', 'POWERLITE']",4050.0,Debit,32444.76,False,False
7,03/04,"['IBG CR', ""PYM-JAN'2020"", 'HLBB K FIVE MARKETING', 'SDN BHD']",2265.0,Credit,34709.76,False,False
8,06/04,"['IBG CR', 'PAYMENT - NOV 19 INV', 'HLBB SUCCESS AUTO', 'PARTS SUPPLY']",6083.0,Credit,40792.76,False,False
9,06/04,"['IBG CR', 'PAYMENT OF A/C', ""DEC'19"", 'HLBB HYUNKIA AUTO', 'PARTS SDN. BHD.']",3300.0,Credit,44092.76,False,False
10,09/04,"['IBG CR', 'OTC', 'SL GLOBAL', 'PBB SL GLOBAL AUTO', 'PARTS']",4294.0,Credit,48386.76,False,False
11,10/04,"['DuitNow/Instant Trf 710.00', 'jan 2020', 'PBB TEO AUTO SPARE', 'SDN BHD', 'PBB TEO AUTO SPARE', 'SDN BHD']",710.0,Credit,49096.76,False,False
12,13/04,"['Cheque Deposit', 'PBB 448823']",1002.0,Credit,50098.76,False,False
13,13/04,"['Cheque Deposit', 'PBB 441443']",6914.0,Credit,57012.76,False,False
14,13/04,"['Cheque Deposit', 'PBB 101704']",1290.0,Credit,58302.76,False,False
15,14/04,"['FPX Debit', 'CP2004011382', 'LEMBAGA HASIL DALAM', 'GEB']",505.85,Debit,57796.91,False,False
16,14/04,"['IBG Debit', ""PYM-DEC'19"", ""PYM-DEC'19"", 'POWERLITE']",7820.2,Debit,49976.71,False,False
17,14/04,"['IBG Debit', ""PYM-DEC'19"", ""PYM-DEC'19"", 'POWERLITE']",2189.2,Debit,47787.51,False,False
18,14/04,"['DuitNow/Instant Trf 2,700.00', 'INSTANT TRANSFER', 'Powerlite', 'CIMB AUTOPART', 'MACHINERY JERTEH']",2700.0,Credit,50487.51,False,False
19,14/04,"['IBG CR', 'TO ONLINE', 'POWERLITE MARKETING', 'MBB SUM HOE &', 'COMPANY']",850.0,Credit,51337.51,False,False
20,14/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",1337.51,Debit,50000.0,False,False
21,15/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",1337.51,Credit,51337.51,False,False
22,15/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",1337.51,Debit,50000.0,False,False
23,16/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",1337.51,Credit,51337.51,False,False
24,16/04,"['ODS Sweep Trf DR', '2403014542', '2403014542']",1337.51,Debit,50000.0,False,False
25,17/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",1337.51,Credit,51337.51,False,False
26,17/04,"['IBG Debit', 'PRUBIZ', 'PM04600', 'POWERLITE']",371.0,Debit,50966.51,False,False
27,17/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",966.51,Debit,50000.0,False,False
28,19/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",966.51,Credit,50966.51,False,False
29,19/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",966.51,Debit,50000.0,False,False
30,20/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",966.51,Credit,50966.51,False,False
31,20/04,"['Cheque Deposit', 'OCBC 004942']",1020.0,Credit,51986.51,False,False
32,20/04,"['IBG CR', 'CS00149', 'SL GLOBAL', 'PBB SL GLOBAL AUTO', 'PARTS']",525.0,Credit,52511.51,False,False
33,20/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",1491.51,Debit,51020.0,False,False
34,21/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",1491.51,Credit,52511.51,False,False
35,21/04,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",2511.51,Debit,50000.0,False,False
36,22/04,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",2511.51,Credit,52511.51,False,False
