,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,30/11,"['DuitNow/Instant Trf', '00460743', ""JUL'19 PAYMENT"", 'MBB TOP ONE AUTO', 'PARTS TRADIN', 'MBB TOP ONE AUTO', ""PARTS TRADIN JUL'19"", 'PAYMENT']",1432.0,Credit,16377.34,False,False
1,02/12,"['IBG CR', 'PV 2948 LEEDS AUTO P', 'ARTS 8/19', 'BIMB TETUAN LEEDS', 'AUTO PARTS']",1200.0,Credit,17577.34,False,False
2,02/12,"['IBG CR', 'CS-00115', 'HLBB SUPER ONE AUTO', 'PARTS SDN. BHD.']",120.0,Credit,17697.34,False,False
3,02/12,"['IBG CR', 'PAYMENT OF A/C', ""AUG'19"", 'HLBB HYUNKIA AUTO', 'PARTS SDN. BHD.']",3870.0,Credit,21567.34,False,False
4,02/12,"['IBG CR', ""Aug'19"", 'HLBB HAP YEE', 'AUTOPARTS SD']",2380.0,Credit,23947.34,False,False
5,02/12,"['IBG CR', 'AUG A/C', '20191130E0009042', 'PBB SRI SOON HOE AUTO', 'PARTS']",4245.0,Credit,28192.34,False,False
6,02/12,"['IBG CR', 'MATSUBASHI A/C', 'AUG A/C', 'PBB MATSUBASHI AUTO', 'PARTS SUPPLY (M) SDN']",25381.0,Credit,53573.34,False,False
7,02/12,"['IBG CR', 'SHMJ AUG ACC BAL', 'RHB SOON HOE MAJU', 'JAYA AUTO PARTS SDN', 'BH']",1810.0,Credit,55383.34,False,False
8,02/12,"['DuitNow/Instant Trf', 'Fund transfer', 'PATMENT AUG-SEP 2019', 'HLB LEOW WEI MING', 'HLB LEOW WEI', 'MING PATMENT AUG-SEP', '2019']",195.0,Credit,55578.34,False,False
9,02/12,"['Cheque Deposit', 'PBB 042100']",2071.0,Credit,57649.34,False,False
10,02/12,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'AUG AC', 'PBB FL SOON YI AUTO', 'PARTS']",8670.0,Credit,66319.34,False,False
11,02/12,"['Cheque Deposit', 'PBB 408255']",2269.0,Credit,68588.34,False,False
12,02/12,"['Cheque Deposit', 'HLBB 011590']",1992.0,Credit,70580.34,False,False
13,02/12,"['Cheque Deposit', 'PBB 014448']",1815.0,Credit,72395.34,False,False
14,02/12,"['Cheque Deposit', 'RHB 006013']",750.0,Credit,73145.34,False,False
15,02/12,"['Cheque Deposit', 'RHB 141252']",2495.0,Credit,75640.34,False,False
16,02/12,"['Cheque Deposit', 'BMMB 000796']",1289.0,Credit,76929.34,False,False
17,02/12,"['Cheque Deposit', 'ABMB 237668']",280.0,Credit,77209.34,False,False
18,02/12,"['Cheque Deposit', 'MBB 443451']",2049.0,Credit,79258.34,False,False
19,02/12,"['Cheque Deposit', 'PBB 227548']",10550.0,Credit,89808.34,False,False
20,02/12,"['Cheque Deposit', 'PBB 395879']",3570.0,Credit,93378.34,False,False
21,02/12,"['Cheque Deposit', 'HLBB 389716']",1550.0,Credit,94928.34,False,False
22,02/12,"['Cheque Deposit', 'HLBB 380475']",1060.0,Credit,95988.34,False,False
23,02/12,"['Cheque Deposit', 'PBB 044548']",1300.0,Credit,97288.34,False,False
24,02/12,"['Cheque Deposit', 'RHB 926390']",1865.0,Credit,99153.34,False,False
25,02/12,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",14248.34,Debit,84905.0,False,False
26,03/12,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",14248.34,Credit,99153.34,False,False
27,03/12,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",750.0,Debit,98403.34,False,False
28,03/12,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",250.0,Debit,98153.34,False,False
29,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-OCT'2019"", 'POWERLITE']",300.0,Debit,97853.34,False,False
30,03/12,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019""]",1580.0,Debit,96273.34,False,False
31,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-JUL'2019"", 'POWERLITE']",250.0,Debit,96023.34,False,False
32,03/12,"['IBG Debit', ""PYM-AUG'2019"", ""PYM-AUG'2019"", 'POWERLITE']",820.0,Debit,95203.34,False,False
33,03/12,"['IBG Debit', 'VINWAY AUTO', ""PYM-AUG'2019"", 'POWERLITE']",340.0,Debit,94863.34,False,False
34,03/12,"['IBG Debit', 'V GLOBAL', ""PYM-AUG'2019"", 'POWERLITE']",520.0,Debit,94343.34,False,False
35,03/12,"['IBG Debit', 'UILFU AUTO', ""PYM-AUG'2019"", 'POWERLITE']",2292.0,Debit,92051.34,False,False
36,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",790.0,Debit,91261.34,False,False
37,03/12,"['IBG Debit', 'PURCHASES', ""PYM-AUG'2019"", 'POWERLITE']",5310.0,Debit,85951.34,False,False
38,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",610.0,Debit,85341.34,False,False
39,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",675.0,Debit,84666.34,False,False
40,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",250.0,Debit,84416.34,False,False
41,03/12,"['IBG Debit', 'LMS AUTO', ""PYM-AUG'2019"", 'POWERLITE']",729.5,Debit,83686.84,False,False
42,03/12,"['IBG Debit', 'KHA ENT', ""PYM-AUG'2019"", 'POWERLITE']",270.0,Debit,83416.84,False,False
43,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",432.0,Debit,82984.84,False,False
44,03/12,"['IBG Debit', 'HUP YIP', ""PYM-AUG'2019"", 'POWERLITE']",4575.0,Debit,78409.84,False,False
45,03/12,"['IBG Debit', 'HONGGOLL', ""PYM-AUG'2019"", 'POWERLITE']",640.0,Debit,77769.84,False,False
46,03/12,"['IBG Debit', 'GAO NENG', ""PYM-AUG'2019"", 'POWERLITE']",1220.0,Debit,76549.84,False,False
47,03/12,"['IBG Debit', 'F.DING', ""PYM-AUG'2019""]",750.0,Debit,75799.84,False,False
48,03/12,"['IBG Debit', 'F.YONG', ""PYM-AUG'2019"", 'POWERLITE']",2800.0,Debit,72999.84,False,False
49,03/12,"['IBG Debit', 'EOK', ""PYM-AUG'2019"", 'POWERLITE']",255.0,Debit,72744.84,False,False
50,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",5860.0,Debit,66884.84,False,False
51,03/12,"['IBG Debit', 'SUPPLIER', ""PYM-AUG'2019"", 'POWERLITE']",1550.0,Debit,65334.84,False,False
52,03/12,"['IBG Debit', 'EH AUTO', ""PYM-AUG'2019"", 'POWERLITE']",876.0,Debit,64458.84,False,False
53,03/12,"['IBG Debit', 'SUPPLIE', ""PYM-AUG'2019"", 'POWERLITE']",206.5,Debit,64252.34,False,False
54,03/12,"['IBG Debit', 'SHINNO', ""PYM-JUL'2019"", 'POWERLITE']",2025.0,Debit,62227.34,False,False
55,03/12,"['IBG Debit', 'PURCHASE', ""PYM-JUN'2019"", 'POWERLITE']",3015.0,Debit,59212.34,False,False
56,03/12,"['Fund Trf EB', ""PYM-AUG'2019"", ""PYM-AUG'2019"", 'POWERLITE']",6550.0,Debit,52662.34,False,False
57,03/12,"['Fund Trf EB', ""PYM-SEP'2019"", ""PYM-SEP'2019"", 'POWERLITE']",2757.0,Debit,49905.34,False,False
58,03/12,"['IBG Debit', 'MAXIS', 'MAXIS', 'POWERLITE']",720.66,Debit,49184.68,False,False
59,03/12,"['Cheque Deposit', 'MBB 484449']",1770.0,Credit,50954.68,False,False
60,03/12,"['Cheque Deposit', 'MBB 421333']",105.0,Credit,51059.68,False,False
61,03/12,"['Cheque Deposit', 'PBB 086582']",1550.0,Credit,52609.68,False,False
62,03/12,"['IBG CR', 'AUG A/C', '20191203E0005850', 'PBB HUP YIP AUTO', 'PARTS SDN BHD']",4715.0,Credit,57324.68,False,False
63,03/12,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",3899.68,Debit,53425.0,False,False
64,04/12,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",3899.68,Credit,57324.68,False,False
65,04/12,"['DuitNow/Instant Trf', 'INSTANT TRANSFER']",1250.0,Credit,58574.68,False,False
66,04/12,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'july 2019', 'CIMB YEE LABOK', 'MACHANG TRADING']",4285.0,Credit,62859.68,False,False
