,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,02/02,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",14479.54,Credit,95723.14,False,False
1,02/02,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'POSINT: LMS RBK CR INT', 'TRF CR MEMO']",0.23,Credit,95723.37,False,False
2,02/02,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DR MEMO']",14479.54,Debit,81243.83,False,False
3,02/02,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",14479.54,Credit,95723.37,False,False
4,01/02,"['DuitNow/Instant Trf', '00004670', 'OCT 2019', 'MBB CYK AUTOMOTIVE', 'PARTS SDN', 'MBB CYK AUTOMOTIVE', 'PARTS SDN OCT 2019']",760.0,Credit,96483.37,False,False
5,01/02,"['DuitNow/Instant Trf', 'OCT AC', 'PBB FL SOON YI AUTO', 'PARTS', 'PBB FL SOON YI AUTO', 'PARTS']",10103.0,Credit,106586.37,False,False
6,01/02,"['Fund Trf EB', ""PYM-JAN'2020"", ""PYM-JAN'2020"", 'POWERLITE']",416.0,Debit,106170.37,False,False
7,02/02,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",24926.77,Debit,81243.6,False,False
8,03/02,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",24926.77,Credit,106170.37,False,False
9,03/02,"['IBG Debit', 'SALARY', 'TAN SIEW NGO', 'POWERLITE']",1250.0,Debit,104920.37,False,False
10,03/02,"['IBG Debit', 'PETTY CASH', '3 COMPANY USED', 'POWERLITE']",3000.0,Debit,101920.37,False,False
11,03/02,"['IBG Debit', 'WORKER SALARY', 'WORKER SALARY', 'POWERLITE']",4500.0,Debit,97420.37,False,False
12,03/02,"['IBG Debit', 'SUPPLIER', ""PYM-OCT'2019"", 'POWERLITE']",35765.0,Debit,61655.37,False,False
13,03/02,"['IBG Debit', 'SALARY', ""SAL-JAN'2020"", 'POWERLITE']",588.46,Debit,61066.91,False,False
14,03/02,"['IBG CR', 'PV 2002-014 LAP 10/1', 'BIMB TETUAN LEEDS', 'AUTO PARTS']",6200.0,Credit,67266.91,False,False
15,03/02,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'Powerlite', 'CIMB AUTOPART', 'MACHINERY JERTEH']",3800.0,Credit,71066.91,False,False
16,03/02,"['Cheque Deposit', 'PBB 430485']",3875.0,Credit,74941.91,False,False
17,03/02,"['Cheque Deposit', 'PBB 232782']",4740.0,Credit,79681.91,False,False
18,03/02,"['Cheque Deposit', 'MBB 484650']",3220.0,Credit,82901.91,False,False
19,03/02,"['Cheque Deposit', 'HLBB 012628']",1373.0,Credit,84274.91,False,False
20,03/02,"['IBG CR', 'Interbank GIRO', 'OCBC LEXUN AUTO', 'PARTS']",960.0,Credit,85234.91,False,False
21,03/02,"['IBG CR', 'INV OCT 1910-3398', 'PAYMENT OCT 19', 'RHB CBNS CORPORATION', 'SDN BHD']",2830.0,Credit,88064.91,False,False
22,03/02,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",24856.91,Debit,63208.0,False,False
23,04/02,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",24856.91,Credit,88064.91,False,False
24,04/02,"['IBG Debit', 'SALARY', ""SAL-JAN'2020"", 'POWERLITE']",7328.35,Debit,80736.56,False,False
25,04/02,"['IBG Debit', 'SUPPLIER']",1023.0,Debit,79713.56,False,False
26,04/02,"['IBG Debit', 'SUPPLIER', ""PYM-DEC'2020"", 'POWERLITE']",5030.0,Debit,74683.56,False,False
27,04/02,"['IBG Debit', 'SUPPLIER', ""PYM-DEC'2020"", 'POWERLITE']",900.0,Debit,73783.56,False,False
28,04/02,"['IBG Debit', 'SUPPLIER', ""PYM-DEC'2020"", 'POWERLITE']",150.0,Debit,73633.56,False,False
29,04/02,"['IBG Debit', 'PURCHASES', ""PYM-DEC'2020"", 'POWERLITE']",1350.0,Debit,72283.56,False,False
30,04/02,"['IBG Debit', 'PURCHASES', ""PYM-OCT'2019"", 'POWERLITE']",206.0,Debit,72077.56,False,False
31,04/02,"['IBG Debit', 'PURCHASES', ""PYM-OCT'2019"", 'POWERLITE']",170.0,Debit,71907.56,False,False
32,04/02,"['IBG Debit', 'VINWAY AUTO', ""PYM-OCT'2019"", 'POWERLITE']",670.0,Debit,71237.56,False,False
33,04/02,"['IBG Debit', 'V GLOBAL', ""PYM-OCT'2019"", 'POWERLITE']",255.0,Debit,70982.56,False,False
34,04/02,"['IBG Debit', 'UILFU AUTO', ""PYM-OCT'2019"", 'POWERLITE']",1957.0,Debit,69025.56,False,False
35,04/02,"['IBG Debit', 'TNE AUTO', ""PYM-OCT'2019"", 'POWERLITE']",6901.0,Debit,62124.56,False,False
36,04/02,"['IBG Debit', 'KHA ENT', ""PYM-OCT'2019"", 'POWERLITE']",32.0,Debit,62092.56,False,False
37,04/02,"['IBG Debit', 'TENSO', ""PYM-OCT'2019"", 'POWERLITE']",8990.0,Debit,53102.56,False,False
38,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",620.0,Debit,52482.56,False,False
39,04/02,"['Fund Trf EB', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",4780.0,Debit,47702.56,False,False
40,04/02,"['IBG Debit', 'SUPPLIER', ""PYM-OCT'2019"", 'POWERLITE']",310.0,Debit,47392.56,False,False
41,04/02,"['IBG Debit', 'LMS AUTO', ""PYM-OCT'2019"", 'POWERLITE']",1212.0,Debit,46180.56,False,False
42,04/02,"['IBG Debit', ""PYM-OCT'2019""]",1591.2,Debit,44589.36,False,False
43,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",5503.0,Debit,39086.36,False,False
44,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",2465.0,Debit,36621.36,False,False
45,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",1815.0,Debit,34806.36,False,False
46,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",12620.0,Debit,22186.36,False,False
47,04/02,"['IBG Debit', ""PYM-OCT'2019"", ""PYM-OCT'2019"", 'POWERLITE']",1370.0,Debit,20816.36,False,False
48,04/02,"['IBG Debit', 'SUPPLIER', ""PYM-OCT'2019"", 'POWERLITE']",1360.0,Debit,19456.36,False,False
49,04/02,"['IBG Debit', ""PYM-SEPT'2019"", ""PYM-SEPT'2019"", 'POWERLITE']",424.0,Debit,19032.36,False,False
50,04/02,"['Returned Cheque', 'PBB 430485']",3875.0,Debit,15157.36,False,False
51,05/02,"['DuitNow/Instant Trf', '00071203', 'SEP19 A/C', 'MBB MAX TRANS AUTO', 'SDN BHD', 'MBB MAX TRANS AUTO', 'SDN BHD SEP19 A/C']",1100.0,Credit,16257.36,False,False
52,05/02,"['Cheque Deposit', 'PBB 094345']",1000.0,Credit,17257.36,False,False
53,05/02,"['IBG CR', 'CS-00134', 'HLBB SUPER ONE AUTO', 'PARTS SDN. BHD.']",130.0,Credit,17387.36,False,False
54,06/02,"['IBG Debit', 'OVERTIME', ""OT-JAN'2020"", 'POWERLITE']",608.0,Debit,16779.36,False,False
55,06/02,"['IBG Debit', 'CLAIM', ""CLAIM-JAN'2020"", 'POWERLITE']",1625.95,Debit,15153.41,False,False
56,06/02,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'sept 2019', 'CIMB YEE LABOK', 'MACHANG TRADING']",2990.0,Credit,18143.41,False,False
57,06/02,"['IBG CR', ""PAYMENT - SEP'19 INV"", 'HLBB SUCCESS AUTO', 'PARTS SUPPLY']",4963.0,Credit,23106.41,False,False
58,07/02,"['FPX Debit', '0220200021196460C111', 'KUMPULAN WANG', 'SIMPAN', 'GEB']",8796.0,Debit,14310.41,False,False
