,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/01,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'POSINT: LMS RBK CR INT', 'TRF CR MEMO']",0.06,Credit,72417.47,False,False
1,01/01,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'SEPT AC', 'PBB FL SOON YI AUTO', 'PARTS']",10405.0,Credit,82822.47,False,False
2,01/01,"['DuitNow/Instant Trf', 'heng meng kk', 'nov 2019', 'PBB HENG MENG KK', 'PARTS TRADI', 'PBB HENG MENG KK', 'PARTS TRADI nov 2019']",1355.0,Credit,84177.47,False,False
3,01/01,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",9777.47,Debit,74400.0,False,False
4,02/01,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",9777.47,Credit,84177.47,False,False
5,02/01,"['Cheque Deposit', 'RHB 926423']",1930.0,Credit,86107.47,False,False
6,02/01,"['IBG CR', ""PAYMENT - AUG'19 INV"", 'HLBB SUCCESS AUTO', 'PARTS SUPPLY']",6060.0,Credit,92167.47,False,False
7,02/01,"['Cheque Deposit', 'PBB 430415']",355.0,Credit,92522.47,False,False
8,02/01,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'Powerlite', 'CIMB AUTOPART', 'MACHINERY JERTEH']",1690.0,Credit,94212.47,False,False
9,02/01,"['ODS Sweep Trf DR', '2403014542']",41927.47,Debit,52285.0,False,False
10,03/01,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",41927.47,Credit,94212.47,False,False
11,03/01,"['IBG CR', ""PYM-SEP'2019"", ""PYM-OCT'2019"", 'HLBB K FIVE MARKETING', 'SDN BHD']",1440.1,Credit,95652.57,False,False
12,03/01,"['IBG Debit', 'PURCHASES', ""PYM-NOV'2019"", 'POWERLITE']",100.0,Debit,95552.57,False,False
13,03/01,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",180.0,Debit,95372.57,False,False
14,03/01,"['IBG Debit', 'PURCHASES', ""PYM-NOV'2019"", 'POWERLITE']",746.0,Debit,94626.57,False,False
15,03/01,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",500.0,Debit,94126.57,False,False
16,03/01,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",300.0,Debit,93826.57,False,False
17,03/01,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",260.0,Debit,93566.57,False,False
18,03/01,"['IBG Debit', 'EE HUAT', ""PYM-NOV'2019"", 'POWERLITE']",80.0,Debit,93486.57,False,False
19,03/01,"['IBG Debit', 'PURCHASES', ""PYM-NOV'2019"", 'POWERLITE']",150.0,Debit,93336.57,False,False
20,03/01,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019"", 'POWERLITE']",470.0,Debit,92866.57,False,False
21,03/01,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019"", 'POWERLITE']",65.0,Debit,92801.57,False,False
22,03/01,"['IBG Debit', 'VINWAY AUTO', ""PYM-SEP'2019"", 'POWERLITE']",110.0,Debit,92691.57,False,False
23,03/01,"['IBG Debit', 'SHY', ""PYM-SEP'2019"", 'POWERLITE']",455.0,Debit,92236.57,False,False
24,03/01,"['IBG Debit', 'PSS DISTR', ""PYM-SEP'2019"", 'POWERLITE']",220.0,Debit,92016.57,False,False
25,03/01,"['IBG Debit', 'LMS AUTO', ""PYM-SEP'2019""]",461.0,Debit,91555.57,False,False
26,03/01,"['IBG Debit', 'L S AUTO PARTS', ""PYM-SEP'2019"", 'POWERLITE']",900.0,Debit,90655.57,False,False
27,03/01,"['IBG Debit', 'DS ENGINE', ""PYM-SEP'2019"", 'POWERLITE']",231.5,Debit,90424.07,False,False
28,03/01,"['IBG Debit', 'KEONG SHENG', ""PYM-SEP'2019"", 'POWERLITE']",550.0,Debit,89874.07,False,False
29,03/01,"['IBG Debit', 'JINSEN', ""PYM-SEP'2019"", 'POWERLITE']",840.0,Debit,89034.07,False,False
30,03/01,"['IBG Debit', 'GXT', ""PYM-SEP'2019"", 'POWERLITE']",144.0,Debit,88890.07,False,False
31,03/01,"['IBG Debit', 'FOONG DING', ""PYM-SEP'2019"", 'POWERLITE']",526.0,Debit,88364.07,False,False
32,03/01,"['IBG Debit', 'EOK AUTO', ""PYM-SEP'2019"", 'POWERLITE']",902.0,Debit,87462.07,False,False
33,03/01,"['IBG Debit', 'UILFU AUTO', ""PYM-SEP'2019"", 'POWERLITE']",1740.0,Debit,85722.07,False,False
34,03/01,"['IBG Debit', 'TNE AUTO', ""PYM-SEP'2019"", 'POWERLITE']",8961.0,Debit,76761.07,False,False
35,03/01,"['IBG Debit', 'TENSO', ""PYM-SEP'2019"", 'POWERLITE']",7310.0,Debit,69451.07,False,False
36,03/01,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019"", 'POWERLITE']",8550.0,Debit,60901.07,False,False
37,03/01,"['IBG Debit', 'SWEE ENG', ""PYM-SEP'2019"", 'POWERLITE']",1020.0,Debit,59881.07,False,False
38,03/01,"['IBG Debit', 'JB AUTO', ""PYM-SEP'2019"", 'POWERLITE']",1241.6,Debit,58639.47,False,False
39,03/01,"['IBG Debit', 'HUP YIP', ""PYM-SEP'2019"", 'POWERLITE']",6511.0,Debit,52128.47,False,False
40,03/01,"['IBG Debit', 'GAO NENG', ""PYM-SEP'2019"", 'POWERLITE']",2145.0,Debit,49983.47,False,False
41,03/01,"['IBG Debit', 'EVERGROWN', ""PYM-SEP'2019"", 'POWERLITE']",3690.0,Debit,46293.47,False,False
42,03/01,"['IBG Debit', 'SUPPLIER', ""PYM-SEP'2019""]",4030.0,Debit,42263.47,False,False
43,03/01,"['IBG Debit', 'EH AUTO', ""PYM-SEP'2019"", 'POWERLITE']",2072.0,Debit,40191.47,False,False
44,03/01,"['IBG Debit', 'KEPONG AUTO', ""PYM-NOV'2019"", 'POWERLITE']",400.0,Debit,39791.47,False,False
