,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/03,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",17831.86,Credit,77643.86,False,False
1,01/03,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'POSINT: LMS RBK CR INT', 'TRF CR MEMO']",0.41,Credit,77644.27,False,False
2,01/03,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'oct 2019', 'CIMB YEE LABOK', 'MACHANG TRADING']",4065.0,Credit,81709.27,False,False
3,01/03,"['ODS Sweep Trf DR', '2403014542', '2403014542', 'SWPSEC: LMS SWEEP', 'TRANSFER DEBIT']",21897.27,Debit,59812.0,False,False
4,02/03,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",21897.27,Credit,81709.27,False,False
5,02/03,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019"", 'POWERLITE']",155.0,Debit,81554.27,False,False
6,02/03,"['IBG Debit', 'PURCHASES', ""PYM-SEP'2019"", 'POWERLITE']",36482.0,Debit,45072.27,False,False
7,02/03,"['IBG Debit', 'SALARY', ""SAL-FEB'2020"", 'POWERLITE']",7092.35,Debit,37979.92,False,False
8,02/03,"['IBG Debit', 'SALARY', ""SAL-FEB'2020"", 'POWERLITE']",2631.25,Debit,35348.67,False,False
9,02/03,"['IBG Debit', 'SALARY', ""SAL-FEB'2020"", 'POWERLITE']",2428.95,Debit,32919.72,False,False
10,02/03,"['IBG Debit', 'CLAIM', ""SAL-FEB'2020"", 'POWERLITE']",1250.0,Debit,31669.72,False,False
11,02/03,"['IBG Debit', 'SALARY', ""SAL-FEB'2020"", 'POWERLITE']",862.35,Debit,30807.37,False,False
12,02/03,"['IBG Debit', 'SYC-CLAIM', 'PETTY CASH', 'POWERLITE']",3000.0,Debit,27807.37,False,False
13,02/03,"['IBG CR', 'WOIE J PYMT', 'P006', 'ABMB WOIE J AUTO SDN', 'BHD']",660.0,Credit,28467.37,False,False
14,02/03,"['IBG CR', 'PAYMENT OF A/C', ""NOV'19"", 'HLBB HYUNKIA AUTO', 'PARTS SDN. BHD.']",600.0,Credit,29067.37,False,False
15,02/03,"['IBG CR', '1912-3350', 'purchases', 'HLBB ALAT-ALAT GANTI', 'KENDERAAN LIAN']",480.0,Credit,29547.37,False,False
16,02/03,"['IBG CR', 'NOV A/C', '20200229E0010562', 'PBB SRI SOON HOE AUTO', 'PARTS']",750.0,Credit,30297.37,False,False
17,02/03,"['IBG CR', 'NOV19 PAYMENT', 'SL GLOBAL', 'PBB SL GLOBAL AUTO', 'PARTS']",1636.0,Credit,31933.37,False,False
18,02/03,"['IBG CR', 'Payment For Account', 'Nov2019', 'MBB SHENG YI AUTO', 'SERVICE PARTS']",300.0,Credit,32233.37,False,False
19,02/03,"['IBG CR', 'IG200226452528', 'Outward ACH from REP', 'MBB REPSON (M) SDN', 'BHD']",810.0,Credit,33043.37,False,False
20,02/03,"['DuitNow/Instant Trf', 'NOV AC', 'PBB FL SOON YI AUTO', 'PARTS', 'PBB FL SOON YI AUTO', 'PARTS']",5213.0,Credit,38256.37,False,False
21,02/03,"['Cheque Deposit', 'RHB 141495']",1510.0,Credit,39766.37,False,False
22,02/03,"['Cheque Deposit', 'PBB 441334']",10720.0,Credit,50486.37,False,False
23,02/03,"['Cheque Deposit', 'HLBB 391805']",581.0,Credit,51067.37,False,False
24,02/03,"['Cheque Deposit', 'RHB 000859']",1335.0,Credit,52402.37,False,False
25,02/03,"['Cheque Deposit', 'RHB 001730']",690.0,Credit,53092.37,False,False
26,02/03,"['Cheque Deposit', 'BMMB 000815']",1446.2,Credit,54538.57,False,False
27,02/03,"['Cheque Deposit', 'ABMB 237896']",2765.0,Credit,57303.57,False,False
28,02/03,"['Fund Trf EB', ""PYM-FEB'2020"", ""PYM-FEB'2020"", 'POWERLITE']",3076.5,Debit,54227.07,False,False
29,03/03,"['IBG Debit', 'SALARY', ""SAL-FEB'2020"", 'POWERLITE']",1678.05,Debit,52549.02,False,False
30,03/03,"['Cheque Deposit', 'RHB 926488']",3295.0,Credit,55844.02,False,False
31,03/03,"['Returned Cheque', 'PBB 441334']",10720.0,Debit,45124.02,False,False
32,03/03,"['IBG CR', ""PAYMENT - OCT'19 INV"", 'HLBB SUCCESS AUTO', 'PARTS SUPPLY']",2060.0,Credit,47184.02,False,False
33,03/03,"['Cheque Deposit', 'MBB 484713']",1420.0,Credit,48604.02,False,False
34,03/03,"['Cheque Deposit', 'PBB 448764']",1745.0,Credit,50349.02,False,False
35,03/03,"['Cheque Deposit', 'RHB 995683']",1595.0,Credit,51944.02,False,False
36,03/03,"['Cheque Deposit', 'PBB 097958']",385.0,Credit,52329.02,False,False
37,03/03,"['DuitNow/Instant Trf', 'IN OCT 19', 'IN OCT 19', 'MBB SWEE LEE AUTO', 'PARTS SUPPL', 'MBB SWEE LEE AUTO', 'PARTS SUPPL IN OCT 19']",575.0,Credit,52904.02,False,False
38,04/03,"['IBG CR', ""PYM-DEC'2019"", 'HLBB K FIVE MARKETING', 'SDN BHD']",1850.0,Credit,54754.02,False,False
39,04/03,"['Cheque Deposit', 'RHB 001245']",457.0,Credit,55211.02,False,False
40,04/03,"['IBG Debit', 'UPV-2002/44', ""PYM-OCT'2019"", 'POWERLITE']",560.0,Debit,54651.02,False,False
41,04/03,"['IBG Debit', 'UPV-2002/13', ""PYM-JAN'2020"", 'POWERLITE']",180.0,Debit,54471.02,False,False
42,04/03,"['IBG Debit', 'UPV-2002/16', ""PYM-NOV'2019"", 'POWERLITE']",350.0,Debit,54121.02,False,False
43,04/03,"['IBG Debit', 'UPV-2002/17', ""PYM-NOV'2019"", 'POWERLITE']",1230.0,Debit,52891.02,False,False
44,04/03,"['IBG Debit', 'UPV-2002/18', ""PYM-NOV'2019"", 'POWERLITE']",480.0,Debit,52411.02,False,False
45,04/03,"['IBG Debit', 'V GLOBAL', ""PYM-NOV'2019"", 'POWERLITE']",393.0,Debit,52018.02,False,False
46,04/03,"['IBG Debit', 'SHY']",140.0,Debit,51878.02,False,False
47,04/03,"['IBG Debit', 'SWEE ENG HUP', ""PYM-NOV'2019"", 'POWERLITE']",400.0,Debit,51478.02,False,False
48,04/03,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",1182.0,Debit,50296.02,False,False
49,04/03,"['IBG Debit', 'LMS AUTO', ""PYM-NOV'2019"", 'POWERLITE']",1341.0,Debit,48955.02,False,False
50,04/03,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",1045.0,Debit,47910.02,False,False
51,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",1248.0,Debit,46662.02,False,False
52,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",8701.0,Debit,37961.02,False,False
53,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",1350.0,Debit,36611.02,False,False
54,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",3530.0,Debit,33081.02,False,False
55,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",1200.0,Debit,31881.02,False,False
56,04/03,"['IBG Debit', ""PYM-NOV'2019"", ""PYM-NOV'2019"", 'POWERLITE']",2450.0,Debit,29431.02,False,False
57,04/03,"['IBG Debit', 'SUPPLIER', ""PYM-NOV'2019"", 'POWERLITE']",2000.0,Debit,27431.02,False,False
